Site_Count,state,county
2,55,001
8,55,003
22,55,005
6,55,007
15,55,009
2,55,011
2,55,013
4,55,017
3,55,019
1,55,021
2,55,023
5,55,025
4,55,027
13,55,031
2,55,033
2,55,035
1,55,037
1,55,039
5,55,041
9,55,043
5,55,049
2,55,051
3,55,053
8,55,055
8,55,057
6,55,059
2,55,061
4,55,063
4,55,065
4,55,067
1,55,069
7,55,071
7,55,073
5,55,075
1,55,078
49,55,079
9,55,081
8,55,083
3,55,085
3,55,087
6,55,095
3,55,097
4,55,099
2,55,101
2,55,105
4,55,107
2,55,111
8,55,113
2,55,115
29,55,117
1,55,119
1,55,121
10,55,123
2,55,125
2,55,127
5,55,129
1,55,131
2,55,133
1,55,135
4,55,137
3,55,139
8,55,141
