Site_Count,state,county
5,54,001
10,54,003
9,54,005
12,54,007
6,54,009
21,54,011
8,54,013
9,54,015
3,54,017
23,54,019
7,54,021
4,54,023
20,54,025
8,54,027
8,54,029
10,54,031
29,54,033
1,54,035
2,54,037
34,54,039
10,54,041
17,54,043
13,54,045
6,54,049
1,54,051
3,54,053
12,54,047
8,54,055
15,54,059
2,54,061
8,54,063
4,54,065
16,54,067
1,54,069
6,54,071
2,54,073
8,54,075
5,54,077
16,54,079
31,54,081
19,54,083
5,54,085
5,54,087
6,54,089
4,54,091
10,54,093
2,54,095
15,54,097
6,54,099
5,54,101
2,54,103
2,54,107
5,54,109
