,Age Chart-alias,State1-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(Percent Positive)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,375,1051,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,35.68030447193149,64.78888326425398,64.8,0.98
1,True,Wisconsin,2683,8285,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,32.383826191913094,45.5061374770434,45.5,0.38
2,True,West Virginia,973,2491,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,39.0606182256122,54.57220272591798,54.6,0.82
3,True,Washington,3736,10902,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,34.268941478627774,48.27689227068347,48.3,0.6
4,True,Virginia,3991,12060,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,33.09286898839138,46.1799753166817,46.2,0.44
5,True,Vermont,305,901,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,33.85127635960045,47.245070247997894,47.2,0.52
6,True,Utah,1971,5724,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,34.43396226415094,59.04777597195905,59.0,0.9
7,True,Texas,13685,38536,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,35.51224828731576,46.34593383940994,46.3,0.46
8,True,Tennessee,3294,9544,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,34.5138306789606,47.22433047970687,47.2,0.5
9,True,South Dakota,447,1244,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,35.932475884244376,49.92316077268098,49.9,0.68
10,True,South Carolina,2258,6312,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,35.77313054499366,43.500834665040685,43.5,0.22
11,True,Rhode Island,370,1184,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,31.25,33.77114119075218,33.8,0
12,True,Pennsylvania,5380,16155,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,33.30238316310739,41.49935791699758,41.5,0.14
13,True,Oregon,1943,5965,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,32.57334450963956,45.75904553649125,45.8,0.4
14,True,Oklahoma,1981,5661,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,34.99381734675852,49.69098029693684,49.7,0.66
15,True,Ohio,5616,15854,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,35.42323703797149,47.6739549696745,47.7,0.58
16,True,North Dakota,367,1046,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,35.08604206500956,47.358016279802,47.4,0.54
17,True,North Carolina,4146,12432,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,33.34942084942085,39.294250244664994,39.3,0.08
18,True,New York,8277,24927,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,33.20495847875797,41.7273457490966,41.7,0.16
19,True,New Mexico,959,2454,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,39.07905460472698,45.32399567649726,45.3,0.36
20,True,New Jersey,3563,10830,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),9267130,32.89935364727609,38.44771790187469,38.4,0.06
21,True,New Hampshire,611,1797,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),1388992,34.001112966054535,43.98873427636732,44.0,0.24
22,True,Nevada,1641,4348,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),3143991,37.741490340386385,52.194805901161935,52.2,0.74
23,True,Nebraska,903,2844,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),1963692,31.751054852320674,45.98480820821188,46.0,0.42
24,True,Montana,544,1491,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),1104271,36.48558014755198,49.263269614071184,49.3,0.64
25,True,Missouri,2734,7929,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),6168187,34.48101904401564,44.32420742107851,44.3,0.28
26,True,Mississippi,1306,3735,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),2949965,34.96653279785809,44.27171169827439,44.3,0.26
27,True,Minnesota,2550,7817,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),5707390,32.62121018293463,44.678916282223575,44.7,0.32
28,True,Michigan,4497,13166,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),10050811,34.156159805559774,44.742658080029564,44.7,0.34
29,True,Massachusetts,2678,8426,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),6984723,31.782577735580347,38.34081895588415,38.3,0.04
30,True,Maryland,2486,7576,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),6165129,32.814149947201685,40.32356824974789,40.3,0.12
31,True,Maine,700,2065,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),1372247,33.89830508474576,51.01122465561958,51.0,0.7
