,Age Chart-alias,State1-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(Percent Positive)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,155,303,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,51.15511551155115,26.779405082558313,26.8,0.92
1,True,Wisconsin,1161,2423,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,47.91580685101115,19.69162341067737,19.7,0.4
2,True,West Virginia,393,685,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,57.372262773722625,22.042009939656495,22.0,0.62
3,True,Washington,1630,3263,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,49.95403003371131,21.062991006748945,21.1,0.56
4,True,Virginia,1744,3611,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,48.29687067294378,20.17987395447078,20.2,0.44
5,True,Vermont,145,313,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,46.325878594249204,22.460771101507195,22.5,0.7
6,True,Utah,782,1592,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,49.120603015075375,23.427377377002525,23.4,0.78
7,True,Texas,6438,12645,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,50.91340450771056,21.803077972825808,21.8,0.6
8,True,Tennessee,1250,2431,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,51.41916906622789,17.920586854776438,17.9,0.12
9,True,South Dakota,214,396,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,54.04040404040404,23.90057361376673,23.9,0.82
10,True,South Carolina,953,1897,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,50.237216657880865,18.359741114164645,18.4,0.14
11,True,Rhode Island,151,329,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,45.8966565349544,13.782276540009674,13.8,0
12,True,Pennsylvania,2199,4647,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,47.320852162685604,16.96228402592522,17.0,0.04
13,True,Oregon,782,1618,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,48.331273176761435,18.41666166213904,18.4,0.16
14,True,Oklahoma,785,1603,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,48.970679975046785,19.690772101512074,19.7,0.38
15,True,Ohio,2406,4913,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,48.97211479747609,20.42441874234986,20.4,0.48
16,True,North Dakota,147,295,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,49.83050847457628,18.969014695179546,19.0,0.24
17,True,North Carolina,1827,3664,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,49.86353711790393,17.31562836396598,17.3,0.06
18,True,New York,3895,7956,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,48.95676219205631,19.636101448922467,19.6,0.36
19,True,New Mexico,406,761,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,53.350854139290405,19.18826094333461,19.2,0.3
20,True,New Jersey,1727,3562,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),9267130,48.48399775407074,18.635758859539038,18.6,0.18
21,True,New Hampshire,264,574,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),1388992,45.99303135888502,19.006588950836292,19.0,0.28
22,True,Nevada,697,1312,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),3143991,53.125,22.16927465759285,22.2,0.64
23,True,Nebraska,417,841,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),1963692,49.58382877526754,21.23550943834369,21.2,0.58
24,True,Montana,248,464,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),1104271,53.44827586206896,22.458255265238332,22.5,0.68
25,True,Missouri,1188,2428,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),6168187,48.92915980230643,19.260116465340626,19.3,0.32
26,True,Mississippi,528,995,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),2949965,53.06532663316583,17.898517440037423,17.9,0.1
27,True,Minnesota,1202,2635,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),5707390,45.616698292220114,21.060414655385387,21.1,0.54
28,True,Michigan,2045,4128,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),10050811,49.53972868217054,20.346616805350333,20.3,0.46
29,True,Massachusetts,1215,2506,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),6984723,48.48363926576217,17.395106434428396,17.4,0.08
30,True,Maryland,1168,2420,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),6165129,48.264462809917354,18.945264567862246,18.9,0.22
31,True,Maine,310,630,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),1372247,49.2063492063492,22.59068520463153,22.6,0.74
32,True,Louisiana,750,1371,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),4624047,54.70459518599562,16.219558321963422,16.2,0.02
33,True,Kentucky,849,1734,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),4509394,48.96193771626297,18.827363499397038,18.8,0.2
34,True,Kansas,614,1202,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),2934582,51.08153078202995,20.92291167873312,20.9,0.5
35,True,Iowa,720,1425,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),3193079,50.526315789473685,22.548768758931427,22.5,0.72
36,True,Indiana,1835,3618,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),6805985,50.71862907683803,26.961563976411934,27.0,0.94
37,True,Illinois,2512,5100,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),12671469,49.254901960784316,19.824063019054854,19.8,0.42
38,True,Idaho,489,976,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),1900923,50.10245901639344,25.724345489007185,25.7,0.86
39,True,Hawaii,425,865,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),1441553,49.13294797687861,29.482093270243965,29.5,0.98
40,True,Georgia,2470,4812,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),10799566,51.33000831255195,22.871289457372637,22.9,0.76
41,True,Florida,4132,8228,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),21781128,50.21876519202723,18.97055102013082,19.0,0.26
42,True,District of Columbia,150,292,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),670050,51.369863013698634,22.386389075442132,22.4,0.66
43,True,Delaware,293,587,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),1003384,49.91482112436116,29.20118319606452,29.2,0.96
44,True,Connecticut,706,1503,41.6227,41.62,-72.7028,-72.70,%null%,Breakdown by County (All Years),3605597,46.972721224218226,19.580668610496403,19.6,0.34
45,True,Colorado,1368,2723,39,39.00,-105.5,-105.50,%null%,Breakdown by County (All Years),5812069,50.23870730811605,23.53722916916506,23.5,0.8
46,True,California,8241,16967,37.25,37.25,-119.75,-119.75,%null%,Breakdown by County (All Years),39237836,48.570754994990274,21.002687304162237,21.0,0.52
47,True,Arkansas,725,1449,34.75,34.75,-92.5,-92.50,%null%,Breakdown by County (All Years),3025891,50.03450655624568,23.959884873579384,24.0,0.84
48,True,Arizona,1877,3594,34.5,34.50,-111.5,-111.50,%null%,Breakdown by County (All Years),7276316,52.22593210907067,25.796020953460516,25.8,0.88
49,True,Alaska,371,771,64,64.00,-150,-150.00,%null%,Breakdown by County (All Years),732673,48.119325551232166,50.63650496196803,50.6,1
50,True,Alabama,1339,2605,32.75,32.75,-86.75,-86.75,%null%,Breakdown by County (All Years),5039877,51.40115163147792,26.568108705827544,26.6,0.9
