,Age Chart-alias,State1-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(Percent Positive)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,1182,3488,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,33.887614678899084,204.21456004892855,204.2,0.92
1,True,Wisconsin,9647,29048,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,33.21054805838612,163.62195610922015,163.6,0.32
2,True,West Virginia,3252,8614,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,37.75249593684699,182.39342576021096,182.4,0.76
3,True,Washington,13918,40191,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,34.629643452514244,179.84951462081705,179.8,0.72
4,True,Virginia,14718,43755,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,33.63729859444635,170.30239957677807,170.3,0.44
5,True,Vermont,1088,3235,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,33.63214837712519,168.53323419613676,168.5,0.42
6,True,Utah,7186,21638,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,33.21009335428413,215.28022229046056,215.3,0.96
7,True,Texas,49525,139961,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,35.38485721022285,167.72249714262162,167.7,0.4
8,True,Tennessee,11655,34779,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,33.51160182868973,167.0915518339355,167.1,0.36
9,True,South Dakota,1582,4484,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,35.280999107939344,176.6855488643877,176.7,0.66
10,True,South Carolina,8076,22819,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,35.39155966519129,155.58580192863977,155.6,0.18
11,True,Rhode Island,1465,4338,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,33.77132319041033,133.71546444446474,133.7,0.02
12,True,Pennsylvania,19683,58975,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,33.37515896566342,151.82748362086681,151.8,0.14
13,True,Oregon,7576,21723,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,34.87547760438245,178.42024137131122,178.4,0.68
14,True,Oklahoma,7010,19882,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,35.25802233175737,175.837340677197,175.8,0.6
15,True,Ohio,20743,57590,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,36.01840597325925,176.08633332192983,176.1,0.62
16,True,North Dakota,1333,3811,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,34.97769614274468,172.0115414195533,172.0,0.5
17,True,North Carolina,15706,47051,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,33.38079955792651,148.85564262969328,148.9,0.1
18,True,New York,29564,87792,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,33.67505011846182,149.04279929035783,149.0,0.12
19,True,New Mexico,3298,8656,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,38.100739371534196,155.86917386974764,155.9,0.2
20,True,New Jersey,13188,39810,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),9267130,33.12735493594574,142.30943129102536,142.3,0.04
21,True,New Hampshire,2123,6517,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),1388992,32.576338806199175,152.84465281297517,152.8,0.16
22,True,Nevada,5843,15212,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),3143991,38.41046542203523,185.8465879832353,185.8,0.78
23,True,Nebraska,3399,10456,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),1963692,32.507651109410865,173.09231793988062,173.1,0.52
24,True,Montana,1948,5348,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),1104271,36.42483171278983,176.40597280921077,176.4,0.64
25,True,Missouri,9845,28773,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),6168187,34.216105376568315,159.60929848592463,159.6,0.3
26,True,Mississippi,4617,13575,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),2949965,34.01104972375691,156.51033147850907,156.5,0.24
27,True,Minnesota,9789,29669,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),5707390,32.994034177087194,171.51447509281826,171.5,0.46
28,True,Michigan,16525,48523,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),10050811,34.05601467345383,164.4145930114495,164.4,0.34
29,True,Massachusetts,10152,31554,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),6984723,32.17341699942955,145.34577820766836,145.3,0.08
30,True,Maryland,9619,28600,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),6165129,33.63286713286713,156.02268825194088,156.0,0.22
31,True,Maine,2395,6938,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),1372247,34.520034592101474,174.53126150029843,174.5,0.58
32,True,Louisiana,5767,16300,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),4624047,35.38036809815951,124.71759045701741,124.7,0
33,True,Kentucky,7846,22406,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),4509394,35.017406051950374,173.99233688606495,174.0,0.56
34,True,Kansas,5335,15021,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),2934582,35.516942946541505,181.79761206195636,181.8,0.74
35,True,Iowa,5702,16494,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),3193079,34.5701467200194,178.57372147698192,178.6,0.7
36,True,Indiana,14268,41160,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),6805985,34.66472303206997,209.6390162481992,209.6,0.94
37,True,Illinois,20066,60252,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),12671469,33.303458806346676,158.35575180746605,158.4,0.26
38,True,Idaho,3742,10127,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),1900923,36.95072578256147,196.85173991792408,196.9,0.84
39,True,Hawaii,3117,8657,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),1441553,36.005544645951254,216.22514052553046,216.2,0.98
40,True,Georgia,18529,51859,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),10799566,35.72957442295455,171.57170945573185,171.6,0.48
41,True,Florida,31601,90967,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),21781128,34.73897127529764,145.08431335603922,145.1,0.06
42,True,District of Columbia,1164,4244,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),670050,27.426955702167767,173.71837922543094,173.7,0.54
43,True,Delaware,2031,5938,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),1003384,34.2034355001684,202.41502754678166,202.4,0.88
44,True,Connecticut,5733,17406,41.6227,41.62,-72.7028,-72.70,%null%,Breakdown by County (All Years),3605597,32.93691830403309,159.00279482149557,159.0,0.28
45,True,Colorado,11838,33642,39,39.00,-105.5,-105.50,%null%,Breakdown by County (All Years),5812069,35.18815766006777,203.6796190822924,203.7,0.9
46,True,California,65801,193262,37.25,37.25,-119.75,-119.75,%null%,Breakdown by County (All Years),39237836,34.04756237646304,167.6978312463511,167.7,0.38
47,True,Arkansas,5631,15317,34.75,34.75,-92.5,-92.50,%null%,Breakdown by County (All Years),3025891,36.76307370895084,186.09394720431106,186.1,0.8
48,True,Arizona,14492,39564,34.5,34.50,-111.5,-111.50,%null%,Breakdown by County (All Years),7276316,36.62925892225255,199.16672118143302,199.2,0.86
49,True,Alaska,2572,6759,64,64.00,-150,-150.00,%null%,Breakdown by County (All Years),732673,38.052966415150166,351.04337132663545,351.0,1
50,True,Alabama,9633,26176,32.75,32.75,-86.75,-86.75,%null%,Breakdown by County (All Years),5039877,36.800886308068456,191.1356170001768,191.1,0.82
