,Age Chart-alias,State1-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(Percent Positive)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,648,2352,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,27.55102040816326,111.9551902806309,112.0,0.96
1,True,Wisconsin,4954,19286,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,25.68702685886135,84.02437758526762,84.0,0.36
2,True,West Virginia,1856,5967,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,31.10440757499581,104.09661691603678,104.1,0.88
3,True,Washington,7027,26176,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,26.84520171149144,90.80345877572076,90.8,0.56
4,True,Virginia,7522,28704,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,26.20540691192865,87.03727745729886,87.0,0.46
5,True,Vermont,557,2108,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,26.42314990512334,86.28034140372074,86.3,0.44
6,True,Utah,4056,15079,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,26.898335433384172,121.51079621626884,121.5,0.98
7,True,Texas,24763,89902,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,27.544437276145135,83.86294188274083,83.9,0.34
8,True,Tennessee,6951,25387,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,27.38015519754205,99.65279938204083,99.7,0.82
9,True,South Dakota,755,2932,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,25.750341064120054,84.32211718875645,84.3,0.42
10,True,South Carolina,4276,15344,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,27.867570385818563,82.37801994141451,82.4,0.26
11,True,Rhode Island,729,2840,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,25.66901408450704,66.53827548123876,66.5,0.02
12,True,Pennsylvania,10823,40032,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,27.03587130295763,83.48467485793027,83.5,0.3
13,True,Oregon,4013,14449,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,27.773548342445842,94.50903228921224,94.5,0.68
14,True,Oklahoma,3957,13708,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,28.866355412897576,99.2565416632908,99.3,0.8
15,True,Ohio,11026,37861,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,29.122315839518237,93.5991858076266,93.6,0.64
16,True,North Dakota,679,2503,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,27.127447063523775,87.61878216344839,87.6,0.5
17,True,North Carolina,8078,31469,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,25.66970669547809,76.5602878621331,76.6,0.14
18,True,New York,14736,57490,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,25.6322838754566,74.28949703499909,74.3,0.12
19,True,New Mexico,1752,5718,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,30.640083945435464,82.80254476039958,82.8,0.28
20,True,New Jersey,6414,25304,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),9267130,25.347771103382865,69.21236671979351,69.2,0.04
21,True,New Hampshire,1115,4244,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),1388992,26.27238454288407,80.2740404552366,80.3,0.2
22,True,Nevada,3059,9768,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),3143991,31.316543816543817,97.29671618016718,97.3,0.76
23,True,Nebraska,1763,6985,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),1963692,25.239799570508232,89.77986364460415,89.8,0.54
24,True,Montana,1021,3616,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),1104271,28.235619469026545,92.45918800729169,92.5,0.58
25,True,Missouri,5186,19009,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),6168187,27.281813877636907,84.07656901452566,84.1,0.38
26,True,Mississippi,2730,9825,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),2949965,27.78625954198473,92.54347085473896,92.5,0.6
27,True,Minnesota,4562,18114,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),5707390,25.184939825549296,79.93145728607998,79.9,0.18
28,True,Michigan,8409,31813,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),10050811,26.43259045044479,83.66489032576575,83.7,0.32
29,True,Massachusetts,5107,20813,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),6984723,24.53754864747994,73.11671486471259,73.1,0.1
30,True,Maryland,4483,18064,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),6165129,24.817316209034544,72.7154289877795,72.7,0.08
31,True,Maine,1207,4469,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),1372247,27.008279257104494,87.95792594190404,88.0,0.52
32,True,Louisiana,3031,10900,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),4624047,27.807339449541285,65.54864169849485,65.5,0
33,True,Kentucky,4198,15080,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),4509394,27.83819628647215,93.09454884625295,93.1,0.62
34,True,Kansas,2833,10044,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),2934582,28.20589406610912,96.53845079128816,96.5,0.72
35,True,Iowa,2786,10585,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),3193079,26.320264525271607,87.25120800330966,87.3,0.48
36,True,Indiana,7578,27765,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),6805985,27.293354943273908,111.34317809986358,111.3,0.94
37,True,Illinois,10238,39404,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),12671469,25.9821337935235,80.79568359438042,80.8,0.22
38,True,Idaho,1787,6212,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),1900923,28.766902768834512,94.00696398539026,94.0,0.66
39,True,Hawaii,1510,5430,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),1441553,27.808471454880294,104.74814314839621,104.7,0.9
40,True,Georgia,9085,33158,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),10799566,27.399119367875024,84.12375089887871,84.1,0.4
41,True,Florida,15682,58943,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),21781128,26.60536450469097,71.99810771967365,72.0,0.06
42,True,District of Columbia,679,3242,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),670050,20.94386181369525,101.33572121483472,101.3,0.84
43,True,Delaware,969,3646,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),1003384,26.577070762479433,96.57319630370826,96.6,0.74
44,True,Connecticut,2773,10817,41.6227,41.62,-72.7028,-72.70,%null%,Breakdown by County (All Years),3605597,25.635573634094484,76.908206879471,76.9,0.16
45,True,Colorado,6125,22118,39,39.00,-105.5,-105.50,%null%,Breakdown by County (All Years),5812069,27.692377249299216,105.38415837802339,105.4,0.92
46,True,California,31747,122861,37.25,37.25,-119.75,-119.75,%null%,Breakdown by County (All Years),39237836,25.839770146751206,80.90915105511935,80.9,0.24
47,True,Arkansas,2919,9884,34.75,34.75,-92.5,-92.50,%null%,Breakdown by County (All Years),3025891,29.53257790368272,96.46745371859065,96.5,0.7
48,True,Arizona,7381,25734,34.5,34.50,-111.5,-111.50,%null%,Breakdown by County (All Years),7276316,28.681899432657186,101.4386950759148,101.4,0.86
49,True,Alaska,1233,4094,64,64.00,-150,-150.00,%null%,Breakdown by County (All Years),732673,30.117244748412308,168.28789924017946,168.3,1
50,True,Alabama,4915,16975,32.75,32.75,-86.75,-86.75,%null%,Breakdown by County (All Years),5039877,28.95434462444772,97.52222127643195,97.5,0.78
