,Age Chart-alias,State1-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(Percent Positive)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,524,1103,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,47.50679963735268,90.53166621458423,90.5,0.82
1,True,Wisconsin,4611,9501,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,48.53173350173666,78.2067834165662,78.2,0.36
2,True,West Virginia,1357,2560,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,53.00781249999999,76.10943381199456,76.1,0.34
3,True,Washington,6756,13650,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,49.49450549450549,87.30157499484409,87.3,0.72
4,True,Virginia,7036,14650,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,48.02730375426621,81.41375753650023,81.4,0.48
5,True,Vermont,522,1098,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,47.540983606557376,80.8587759654259,80.9,0.46
6,True,Utah,3051,6377,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,47.843813705504154,91.4027217100188,91.4,0.86
7,True,Texas,24282,48782,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,49.776556926735275,82.23397628706992,82.2,0.58
8,True,Tennessee,4617,9114,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,50.658327847267934,66.19147960680226,66.2,0.06
9,True,South Dakota,806,1509,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,53.4128561961564,90.0180482836261,90.0,0.78
10,True,South Carolina,3734,7295,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,51.185743660041126,71.93627840534185,71.9,0.24
11,True,Rhode Island,715,1447,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,49.41257774706289,65.26044851726436,65.3,0.04
12,True,Pennsylvania,8689,18453,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,47.0871944941202,67.02377712654126,67.0,0.08
13,True,Oregon,3472,7076,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,49.06726964386659,81.76809372243831,81.8,0.54
