,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,98,227,%null%,291001,33.6768602169752,33.7,33.6768602169752,33.6768602169752,33.7
1,%null%,%null%,True,True,District of Columbia,District of Columbia,6,32,%null%,16480,36.407766990291265,36.4,36.407766990291265,36.407766990291265,36.4
2,%null%,%null%,True,True,Oklahoma,Oklahoma,123,272,%null%,235733,52.17767559060462,52.2,52.17767559060462,52.17767559060462,52.2
3,%null%,%null%,True,True,Alaska,Alaska,30,85,%null%,52262,57.40308445907161,57.4,57.40308445907161,57.40308445907161,57.4
4,%null%,%null%,True,True,Maine,Maine,14,45,%null%,24338,57.523214725942964,57.5,57.523214725942964,57.523214725942964,57.5
5,%null%,%null%,True,True,North Dakota,North Dakota,10,24,%null%,16837,59.393003504187206,59.4,59.393003504187206,59.393003504187206,59.4
6,%null%,%null%,True,True,Montana,Montana,21,38,%null%,28810,72.89135716765013,72.9,72.89135716765013,72.89135716765013,72.9
7,%null%,%null%,True,True,Louisiana,Louisiana,56,141,%null%,74216,75.4554274010995,75.5,75.4554274010995,75.4554274010995,75.5
8,%null%,%null%,True,True,Kansas,Kansas,63,141,%null%,81605,77.20115189020281,77.2,77.20115189020281,77.20115189020281,77.2
9,%null%,%null%,True,True,Vermont,Vermont,10,20,%null%,12316,81.19519324455993,81.2,81.19519324455993,81.19519324455993,81.2
10,%null%,%null%,True,True,South Dakota,South Dakota,17,30,%null%,20807,81.70327293699236,81.7,81.70327293699236,81.70327293699236,81.7
11,%null%,%null%,True,True,Oregon,Oregon,123,302,%null%,148706,82.7135421570078,82.7,82.7135421570078,82.7135421570078,82.7
12,%null%,%null%,True,True,Minnesota,Minnesota,116,279,%null%,139747,83.00714863288658,83.0,83.00714863288658,83.00714863288658,83.0
13,%null%,%null%,True,True,Washington,Washington,293,719,%null%,342530,85.53995270487258,85.5,85.53995270487258,85.53995270487258,85.5
14,%null%,%null%,True,True,Delaware,Delaware,22,58,%null%,25193,87.32584448060969,87.3,87.32584448060969,87.32584448060969,87.3
15,%null%,%null%,True,True,Rhode Island,Rhode Island,22,59,%null%,24311,90.49401505491342,90.5,90.49401505491342,90.49401505491342,90.5
16,%null%,%null%,True,True,Utah,Utah,69,179,%null%,76033,90.75006904896559,90.8,90.75006904896559,90.75006904896559,90.8
17,%null%,%null%,True,True,Michigan,Michigan,221,498,%null%,243379,90.80487634512427,90.8,90.80487634512427,90.80487634512427,90.8
18,%null%,%null%,True,True,Missouri,Missouri,131,307,%null%,143689,91.16912220142112,91.2,91.16912220142112,91.16912220142112,91.2
19,%null%,%null%,True,True,Tennessee,Tennessee,127,285,%null%,134263,94.59046796213403,94.6,94.59046796213403,94.59046796213403,94.6
20,%null%,%null%,True,True,Idaho,Idaho,39,89,%null%,41056,94.99220576773189,95.0,94.99220576773189,94.99220576773189,95.0
21,%null%,%null%,True,True,West Virginia,West Virginia,32,55,%null%,33519,95.4682418926579,95.5,95.4682418926579,95.4682418926579,95.5
22,%null%,%null%,True,True,Ohio,Ohio,264,551,%null%,274463,96.18782859620423,96.2,96.18782859620423,96.18782859620423,96.2
23,%null%,%null%,True,True,Kentucky,Kentucky,88,185,%null%,90573,97.15919755335476,97.2,97.15919755335476,97.15919755335476,97.2
24,%null%,%null%,True,True,North Carolina,North Carolina,221,535,%null%,225732,97.90370882285188,97.9,97.90370882285188,97.90370882285188,97.9
25,%null%,%null%,True,True,Pennsylvania,Pennsylvania,235,575,%null%,238808,98.40541355398479,98.4,98.40541355398479,98.40541355398479,98.4
26,%null%,%null%,True,True,Arkansas,Arkansas,63,134,%null%,63545,99.14234007396333,99.1,99.14234007396333,99.14234007396333,99.1
27,%null%,%null%,True,True,Connecticut,Connecticut,69,191,%null%,68017,101.44522692856198,101.4,101.44522692856198,101.44522692856198,101.4
28,%null%,%null%,True,True,Maryland,Maryland,168,411,%null%,161497,104.02670018638118,104.0,104.02670018638118,104.02670018638118,104.0
29,%null%,%null%,True,True,Virginia,Virginia,270,662,%null%,250775,107.6662346725152,107.7,107.6662346725152,107.6662346725152,107.7
30,%null%,%null%,True,True,Alabama,Alabama,93,218,%null%,86070,108.05158591843849,108.1,108.05158591843849,108.05158591843849,108.1
31,%null%,%null%,True,True,Iowa,Iowa,66,133,%null%,59427,111.060629007017,111.1,111.060629007017,111.060629007017,111.1
32,%null%,%null%,True,True,New York,New York,427,1071,%null%,378698,112.75475444813546,112.8,112.75475444813546,112.75475444813546,112.8
33,%null%,%null%,True,True,Georgia,Georgia,246,638,%null%,217873,112.90981443317897,112.9,112.90981443317897,112.90981443317897,112.9
34,%null%,%null%,True,True,California,California,1358,3503,%null%,1170491,116.01968746449141,116.0,116.01968746449141,116.01968746449141,116.0
35,%null%,%null%,True,True,Indiana,Indiana,166,356,%null%,139946,118.61718091263774,118.6,118.61718091263774,118.61718091263774,118.6
36,%null%,%null%,True,True,New Hampshire,New Hampshire,27,54,%null%,22716,118.85895404120444,118.9,118.85895404120444,118.85895404120444,118.9
37,%null%,%null%,True,True,Massachusetts,Massachusetts,164,393,%null%,137083,119.63554926577328,119.6,119.63554926577328,119.63554926577328,119.6
38,%null%,%null%,True,True,South Carolina,South Carolina,119,225,%null%,98263,121.10356899341564,121.1,121.10356899341564,121.10356899341564,121.1
39,%null%,%null%,True,True,Nebraska,Nebraska,50,104,%null%,40407,123.74093597643972,123.7,123.74093597643972,123.74093597643972,123.7
40,%null%,%null%,True,True,Wisconsin,Wisconsin,136,282,%null%,109888,123.76237623762377,123.8,123.76237623762377,123.76237623762377,123.8
41,%null%,%null%,True,True,Wyoming,Wyoming,14,33,%null%,11050,126.69683257918551,126.7,126.69683257918551,126.69683257918551,126.7
42,%null%,%null%,True,True,Mississippi,Mississippi,49,82,%null%,37834,129.51313633239943,129.5,129.51313633239943,129.51313633239943,129.5
43,%null%,%null%,True,True,Illinois,Illinois,293,705,%null%,224432,130.55179297069935,130.6,130.55179297069935,130.55179297069935,130.6
44,%null%,%null%,True,True,Nevada,Nevada,156,365,%null%,118795,131.31865819268486,131.3,131.31865819268486,131.31865819268486,131.3
45,%null%,%null%,True,True,Florida,Florida,519,1198,%null%,390375,132.9490874159462,132.9,132.9490874159462,132.9490874159462,132.9
46,%null%,%null%,True,True,Colorado,Colorado,202,449,%null%,144152,140.12986292247072,140.1,140.12986292247072,140.12986292247072,140.1
47,%null%,%null%,True,True,Arizona,Arizona,235,540,%null%,163394,143.82413062903169,143.8,143.82413062903169,143.82413062903169,143.8
48,%null%,%null%,True,True,New Mexico,New Mexico,52,128,%null%,33832,153.70063844880588,153.7,153.70063844880588,153.70063844880588,153.7
49,%null%,%null%,True,True,Texas,Texas,750,1777,%null%,473467,158.40597127149306,158.4,158.40597127149306,158.40597127149306,158.4
50,%null%,%null%,True,True,New Jersey,New Jersey,242,557,%null%,152237,158.96267004736035,159.0,158.96267004736035,158.96267004736035,159.0
