,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Mexico,New Mexico,82,202,%null%,186151,44.05026027257441,44.1,44.05026027257441,44.05026027257441,44.1
1,%null%,%null%,True,True,Alaska,Alaska,62,181,%null%,109039,56.86038940195709,56.9,56.86038940195709,56.86038940195709,56.9
2,%null%,%null%,True,True,North Carolina,North Carolina,72,172,%null%,115825,62.162745521260526,62.2,62.162745521260526,62.162745521260526,62.2
3,%null%,%null%,True,True,South Dakota,South Dakota,50,126,%null%,73258,68.25193152966229,68.3,68.25193152966229,68.25193152966229,68.3
4,%null%,%null%,True,True,Oklahoma,Oklahoma,241,682,%null%,339826,70.91864660149605,70.9,70.91864660149605,70.91864660149605,70.9
5,%null%,%null%,True,True,Montana,Montana,47,113,%null%,66192,71.00555958423979,71.0,71.00555958423979,71.00555958423979,71.0
6,%null%,%null%,True,True,Arizona,Arizona,206,672,%null%,279130,73.80073800738008,73.8,73.80073800738008,73.80073800738008,73.8
7,%null%,%null%,True,True,North Dakota,North Dakota,37,75,%null%,40207,92.02377695426169,92.0,92.02377695426169,92.02377695426169,92.0
8,%null%,%null%,True,True,Oregon,Oregon,47,142,%null%,46873,100.27094489364879,100.3,100.27094489364879,100.27094489364879,100.3
9,%null%,%null%,True,True,Washington,Washington,96,253,%null%,95740,100.27156883225402,100.3,100.27156883225402,100.27156883225402,100.3
10,%null%,%null%,True,True,Rhode Island,Rhode Island,5,18,%null%,4633,107.92143319663286,107.9,107.92143319663286,107.92143319663286,107.9
11,%null%,%null%,True,True,Louisiana,Louisiana,35,72,%null%,30358,115.29086237565056,115.3,115.29086237565056,115.29086237565056,115.3
12,%null%,%null%,True,True,Wisconsin,Wisconsin,63,149,%null%,52520,119.95430312261995,120.0,119.95430312261995,119.95430312261995,120.0
13,%null%,%null%,True,True,Minnesota,Minnesota,74,188,%null%,60687,121.93715293225895,121.9,121.93715293225895,121.93715293225895,121.9
14,%null%,%null%,True,True,Nevada,Nevada,34,86,%null%,26502,128.29220436193495,128.3,128.29220436193495,128.29220436193495,128.3
15,%null%,%null%,True,True,South Carolina,South Carolina,25,66,%null%,19363,129.11222434540102,129.1,129.11222434540102,129.11222434540102,129.1
