,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,443,1313,%null%,942292,47.01302780878963,47.0,47.01302780878963,47.01302780878963,47.0
1,%null%,%null%,True,True,Massachusetts,Massachusetts,264,822,%null%,520119,50.757615084240335,50.8,50.757615084240335,50.757615084240335,50.8
2,%null%,%null%,True,True,California,California,3139,9416,%null%,6136428,51.15353753030264,51.2,51.15353753030264,51.15353753030264,51.2
3,%null%,%null%,True,True,North Carolina,North Carolina,186,524,%null%,353832,52.56732008410771,52.6,52.56732008410771,52.56732008410771,52.6
4,%null%,%null%,True,True,Illinois,Illinois,415,1209,%null%,756590,54.85137260603497,54.9,54.85137260603497,54.85137260603497,54.9
5,%null%,%null%,True,True,Maryland,Maryland,245,692,%null%,421227,58.16341307655967,58.2,58.16341307655967,58.16341307655967,58.2
6,%null%,%null%,True,True,Pennsylvania,Pennsylvania,294,826,%null%,503783,58.358459892453695,58.4,58.358459892453695,58.358459892453695,58.4
7,%null%,%null%,True,True,Ohio,Ohio,184,536,%null%,313413,58.70847731268326,58.7,58.70847731268326,58.70847731268326,58.7
8,%null%,%null%,True,True,Virginia,Virginia,368,1083,%null%,614516,59.88452700987443,59.9,59.88452700987443,59.88452700987443,59.9
9,%null%,%null%,True,True,Washington,Washington,491,1429,%null%,813284,60.37251439841433,60.4,60.37251439841433,60.37251439841433,60.4
10,%null%,%null%,True,True,Michigan,Michigan,207,624,%null%,341843,60.55411402310418,60.6,60.55411402310418,60.55411402310418,60.6
11,%null%,%null%,True,True,Texas,Texas,960,2695,%null%,1584396,60.59091287784115,60.6,60.59091287784115,60.59091287784115,60.6
12,%null%,%null%,True,True,Oregon,Oregon,141,388,%null%,221414,63.68161001562684,63.7,63.68161001562684,63.68161001562684,63.7
13,%null%,%null%,True,True,Tennessee,Tennessee,90,265,%null%,139839,64.3597279728831,64.4,64.3597279728831,64.3597279728831,64.4
14,%null%,%null%,True,True,New York,New York,1172,3133,%null%,1812286,64.66970445062204,64.7,64.66970445062204,64.66970445062204,64.7
15,%null%,%null%,True,True,Georgia,Georgia,322,864,%null%,490433,65.65626701302726,65.7,65.65626701302726,65.65626701302726,65.7
16,%null%,%null%,True,True,Connecticut,Connecticut,121,367,%null%,179054,67.5773788912842,67.6,67.5773788912842,67.5773788912842,67.6
17,%null%,%null%,True,True,Missouri,Missouri,98,281,%null%,144420,67.85763744633708,67.9,67.85763744633708,67.85763744633708,67.9
18,%null%,%null%,True,True,Hawaii,Hawaii,471,1367,%null%,651433,72.30214005124088,72.3,72.30214005124088,72.30214005124088,72.3
19,%null%,%null%,True,True,Minnesota,Minnesota,226,624,%null%,305845,73.89363893475453,73.9,73.89363893475453,73.89363893475453,73.9
20,%null%,%null%,True,True,New Hampshire,New Hampshire,32,80,%null%,42740,74.8713149274684,74.9,74.8713149274684,74.8713149274684,74.9
21,%null%,%null%,True,True,Nevada,Nevada,220,556,%null%,292101,75.31641452785168,75.3,75.31641452785168,75.31641452785168,75.3
22,%null%,%null%,True,True,Florida,Florida,512,1308,%null%,650132,78.75323780401519,78.8,78.75323780401519,78.75323780401519,78.8
23,%null%,%null%,True,True,Rhode Island,Rhode Island,32,100,%null%,39360,81.30081300813008,81.3,81.30081300813008,81.30081300813008,81.3
24,%null%,%null%,True,True,Iowa,Iowa,75,227,%null%,91780,81.71714970581826,81.7,81.71714970581826,81.71714970581826,81.7
25,%null%,%null%,True,True,Wisconsin,Wisconsin,152,436,%null%,185474,81.95218736857996,82.0,81.95218736857996,81.95218736857996,82.0
26,%null%,%null%,True,True,Nebraska,Nebraska,45,134,%null%,54128,83.13626958321017,83.1,83.13626958321017,83.13626958321017,83.1
27,%null%,%null%,True,True,Oklahoma,Oklahoma,86,228,%null%,102892,83.5827858336897,83.6,83.5827858336897,83.5827858336897,83.6
28,%null%,%null%,True,True,Louisiana,Louisiana,79,192,%null%,85860,92.01024924295365,92.0,92.01024924295365,92.01024924295365,92.0
29,%null%,%null%,True,True,Utah,Utah,114,347,%null%,119717,95.22457128060343,95.2,95.22457128060343,95.22457128060343,95.2
30,%null%,%null%,True,True,Kansas,Kansas,92,240,%null%,94576,97.27626459143968,97.3,97.27626459143968,97.27626459143968,97.3
31,%null%,%null%,True,True,South Carolina,South Carolina,102,225,%null%,100149,101.84824611329121,101.8,101.84824611329121,101.84824611329121,101.8
32,%null%,%null%,True,True,Arizona,Arizona,285,787,%null%,270631,105.30944348577952,105.3,105.30944348577952,105.30944348577952,105.3
33,%null%,%null%,True,True,New Mexico,New Mexico,39,110,%null%,35760,109.06040268456375,109.1,109.06040268456375,109.06040268456375,109.1
34,%null%,%null%,True,True,Colorado,Colorado,233,634,%null%,206559,112.80070101036509,112.8,112.80070101036509,112.80070101036509,112.8
35,%null%,%null%,True,True,Kentucky,Kentucky,90,220,%null%,78406,114.78713363773181,114.8,114.78713363773181,114.78713363773181,114.8
36,%null%,%null%,True,True,Mississippi,Mississippi,51,133,%null%,33735,151.17830146731882,151.2,151.17830146731882,151.17830146731882,151.2
37,%null%,%null%,True,True,Delaware,Delaware,68,178,%null%,41957,162.0706914221703,162.1,162.0706914221703,162.0706914221703,162.1
38,%null%,%null%,True,True,North Dakota,North Dakota,22,54,%null%,13076,168.247170388498,168.2,168.247170388498,168.247170388498,168.2
39,%null%,%null%,True,True,Arkansas,Arkansas,113,271,%null%,64245,175.88917425480582,175.9,175.88917425480582,175.88917425480582,175.9
40,%null%,%null%,True,True,District of Columbia,District of Columbia,53,134,%null%,29628,178.88483866612663,178.9,178.88483866612663,178.88483866612663,178.9
41,%null%,%null%,True,True,Vermont,Vermont,26,69,%null%,12952,200.74119827053738,200.7,200.74119827053738,200.74119827053738,200.7
42,%null%,%null%,True,True,Idaho,Idaho,73,171,%null%,31829,229.35059222721418,229.4,229.35059222721418,229.35059222721418,229.4
43,%null%,%null%,True,True,South Dakota,South Dakota,38,74,%null%,15358,247.42805052741244,247.4,247.42805052741244,247.42805052741244,247.4
44,%null%,%null%,True,True,West Virginia,West Virginia,43,110,%null%,15762,272.80801928689255,272.8,272.80801928689255,272.80801928689255,272.8
45,%null%,%null%,True,True,Montana,Montana,36,75,%null%,11461,314.10871651688336,314.1,314.10871651688336,314.10871651688336,314.1
46,%null%,%null%,True,True,Indiana,Indiana,582,1500,%null%,183573,317.0400875945809,317.0,317.0400875945809,317.0400875945809,317.0
47,%null%,%null%,True,True,Alaska,Alaska,200,494,%null%,58213,343.56587016645767,343.6,343.56587016645767,343.56587016645767,343.6
48,%null%,%null%,True,True,Alabama,Alabama,276,639,%null%,78576,351.2522907758094,351.3,351.2522907758094,351.2522907758094,351.3
49,%null%,%null%,True,True,Maine,Maine,75,205,%null%,18886,397.1195594620354,397.1,397.1195594620354,397.1195594620354,397.1
50,%null%,%null%,True,True,Wyoming,Wyoming,40,102,%null%,6184,646.8305304010349,646.8,646.8305304010349,646.8305304010349,646.8
