,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Rhode Island,Rhode Island,41,127,%null%,187776,21.834526244035448,21.83,21.834526244035448,21.834526244035448,21.8
1,%null%,%null%,True,True,District of Columbia,District of Columbia,17,89,%null%,76919,22.10117136208219,22.10,22.10117136208219,22.10117136208219,22.1
2,%null%,%null%,True,True,North Dakota,North Dakota,8,32,%null%,34335,23.29983981360128,23.30,23.29983981360128,23.29983981360128,23.3
3,%null%,%null%,True,True,Hawaii,Hawaii,41,127,%null%,160134,25.60355702099492,25.60,25.60355702099492,25.60355702099492,25.6
4,%null%,%null%,True,True,West Virginia,West Virginia,11,26,%null%,33684,32.65645410283815,32.66,32.65645410283815,32.65645410283815,32.7
5,%null%,%null%,True,True,Florida,Florida,1939,5697,%null%,5830908,33.25382599073763,33.25,33.25382599073763,33.25382599073763,33.3
6,%null%,%null%,True,True,Louisiana,Louisiana,87,218,%null%,258338,33.676810999543235,33.68,33.676810999543235,33.676810999543235,33.7
7,%null%,%null%,True,True,New York,New York,1310,3817,%null%,3868268,33.86528544557926,33.87,33.86528544557926,33.86528544557926,33.9
8,%null%,%null%,True,True,Washington,Washington,363,1051,%null%,1059156,34.27257174580515,34.27,34.27257174580515,34.27257174580515,34.3
9,%null%,%null%,True,True,Oklahoma,Oklahoma,162,428,%null%,467249,34.671021232790224,34.67,34.671021232790224,34.671021232790224,34.7
10,%null%,%null%,True,True,Maryland,Maryland,241,647,%null%,684437,35.211421942413985,35.21,35.211421942413985,35.211421942413985,35.2
11,%null%,%null%,True,True,Connecticut,Connecticut,226,590,%null%,637112,35.472569971998645,35.47,35.472569971998645,35.472569971998645,35.5
12,%null%,%null%,True,True,New Mexico,New Mexico,377,906,%null%,1059242,35.59148900817755,35.59,35.59148900817755,35.59148900817755,35.6
13,%null%,%null%,True,True,California,California,5652,16429,%null%,15754605,35.87522505324634,35.88,35.87522505324634,35.87522505324634,35.9
14,%null%,%null%,True,True,New Jersey,New Jersey,719,2001,%null%,1991638,36.10093802186943,36.10,36.10093802186943,36.10093802186943,36.1
15,%null%,%null%,True,True,Pennsylvania,Pennsylvania,392,1106,%null%,1084634,36.14122367545181,36.14,36.14122367545181,36.14122367545181,36.1
16,%null%,%null%,True,True,South Dakota,South Dakota,15,49,%null%,41288,36.33016857198218,36.33,36.33016857198218,36.33016857198218,36.3
17,%null%,%null%,True,True,Oregon,Oregon,220,663,%null%,596517,36.880759475421485,36.88,36.880759475421485,36.880759475421485,36.9
18,%null%,%null%,True,True,Idaho,Idaho,93,280,%null%,251919,36.91662796375025,36.92,36.91662796375025,36.91662796375025,36.9
19,%null%,%null%,True,True,Massachusetts,Massachusetts,333,945,%null%,897349,37.109307526948825,37.11,37.109307526948825,37.109307526948825,37.1
20,%null%,%null%,True,True,New Hampshire,New Hampshire,23,87,%null%,60873,37.7835822121466,37.78,37.7835822121466,37.7835822121466,37.8
21,%null%,%null%,True,True,Virginia,Virginia,345,1035,%null%,882402,39.09782616086545,39.10,39.09782616086545,39.09782616086545,39.1
