,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Louisiana,Louisiana,513,1346,%null%,1499002,34.22276954934016,34.2,34.22276954934016,34.22276954934016,34.2
1,%null%,%null%,True,True,West Virginia,West Virginia,22,79,%null%,64063,34.34119538579211,34.3,34.34119538579211,34.34119538579211,34.3
2,%null%,%null%,True,True,South Carolina,South Carolina,512,1456,%null%,1352562,37.85408728028733,37.9,37.85408728028733,37.85408728028733,37.9
3,%null%,%null%,True,True,Tennessee,Tennessee,444,1236,%null%,1158262,38.33329592095743,38.3,38.33329592095743,38.33329592095743,38.3
4,%null%,%null%,True,True,District of Columbia,District of Columbia,114,377,%null%,295889,38.527961499075666,38.5,38.527961499075666,38.527961499075666,38.5
5,%null%,%null%,True,True,Alabama,Alabama,522,1360,%null%,1336172,39.066826725900555,39.1,39.066826725900555,39.066826725900555,39.1
6,%null%,%null%,True,True,Missouri,Missouri,293,819,%null%,711459,41.18297751521873,41.2,41.18297751521873,41.18297751521873,41.2
7,%null%,%null%,True,True,Arkansas,Arkansas,193,550,%null%,466227,41.396143938467745,41.4,41.396143938467745,41.396143938467745,41.4
8,%null%,%null%,True,True,North Carolina,North Carolina,937,2834,%null%,2248971,41.663498551115154,41.7,41.663498551115154,41.663498551115154,41.7
9,%null%,%null%,True,True,Florida,Florida,1428,3863,%null%,3386309,42.16980789408173,42.2,42.16980789408173,42.16980789408173,42.2
10,%null%,%null%,True,True,New York,New York,1210,3545,%null%,2857575,42.343595531175914,42.3,42.343595531175914,42.343595531175914,42.3
11,%null%,%null%,True,True,Rhode Island,Rhode Island,29,67,%null%,68125,42.56880733944954,42.6,42.56880733944954,42.56880733944954,42.6
12,%null%,%null%,True,True,Pennsylvania,Pennsylvania,606,1701,%null%,1416684,42.77594721193999,42.8,42.77594721193999,42.77594721193999,42.8
13,%null%,%null%,True,True,Michigan,Michigan,596,1652,%null%,1383769,43.0707726506375,43.1,43.0707726506375,43.0707726506375,43.1
14,%null%,%null%,True,True,New Jersey,New Jersey,540,1463,%null%,1205848,44.78176353901984,44.8,44.78176353901984,44.78176353901984,44.8
15,%null%,%null%,True,True,Georgia,Georgia,1563,4372,%null%,3451256,45.28786041951104,45.3,45.28786041951104,45.28786041951104,45.3
16,%null%,%null%,True,True,Illinois,Illinois,817,2164,%null%,1791229,45.61114184730149,45.6,45.61114184730149,45.61114184730149,45.6
