,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,1459,5255,%null%,4960795,29.410608581890607,29.41,29.410608581890607,29.410608581890607,29.4
1,%null%,%null%,True,True,Louisiana,Louisiana,841,2736,%null%,2676273,31.424297894870964,31.42,31.424297894870964,31.424297894870964,31.4
2,%null%,%null%,True,True,Rhode Island,Rhode Island,252,852,%null%,771405,32.66766484531472,32.67,32.66766484531472,32.66766484531472,32.7
3,%null%,%null%,True,True,New York,New York,3677,11976,%null%,10858889,33.861659328132006,33.86,33.861659328132006,33.861659328132006,33.9
4,%null%,%null%,True,True,Massachusetts,Massachusetts,1711,5621,%null%,4894728,34.95597712477588,34.96,34.95597712477588,34.95597712477588,35.0
5,%null%,%null%,True,True,Florida,Florida,4202,12987,%null%,11467951,36.641244804760674,36.64,36.641244804760674,36.641244804760674,36.6
6,%null%,%null%,True,True,California,California,5074,16447,%null%,13815325,36.727329975950624,36.73,36.727329975950624,36.727329975950624,36.7
7,%null%,%null%,True,True,Connecticut,Connecticut,894,3056,%null%,2330326,38.36373108311884,38.36,38.36373108311884,38.36373108311884,38.4
8,%null%,%null%,True,True,New Hampshire,New Hampshire,477,1553,%null%,1238184,38.52416119090539,38.52,38.52416119090539,38.52416119090539,38.5
9,%null%,%null%,True,True,Illinois,Illinois,2937,9706,%null%,7597266,38.658643780538945,38.66,38.658643780538945,38.658643780538945,38.7
10,%null%,%null%,True,True,Maryland,Maryland,1173,3807,%null%,3020582,38.83357578109119,38.83,38.83357578109119,38.83357578109119,38.8
11,%null%,%null%,True,True,New Mexico,New Mexico,296,905,%null%,759740,38.960697080580196,38.96,38.960697080580196,38.960697080580196,39.0
12,%null%,%null%,True,True,North Carolina,North Carolina,2590,8628,%null%,6528578,39.6717324967244,39.67,39.6717324967244,39.6717324967244,39.7
