,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Louisiana,Louisiana,1707,4967,%null%,4624047,36.91571474078875,36.92,36.91571474078875,36.91571474078875,36.9
1,%null%,%null%,True,True,New Jersey,New Jersey,3823,11798,%null%,9267130,41.253333016802394,41.25,41.253333016802394,41.253333016802394,41.3
2,%null%,%null%,True,True,Rhode Island,Rhode Island,460,1331,%null%,1095610,41.98574310201622,41.99,41.98574310201622,41.98574310201622,42.0
3,%null%,%null%,True,True,Massachusetts,Massachusetts,3039,9294,%null%,6984723,43.50924152611349,43.51,43.50924152611349,43.50924152611349,43.5
4,%null%,%null%,True,True,New York,New York,8731,25824,%null%,19835913,44.016123684349694,44.02,44.016123684349694,44.016123684349694,44.0
5,%null%,%null%,True,True,Florida,Florida,9589,27680,%null%,21781128,44.024349886745995,44.02,44.024349886745995,44.024349886745995,44.0
6,%null%,%null%,True,True,New Hampshire,New Hampshire,617,1930,%null%,1388992,44.420702207068146,44.42,44.420702207068146,44.420702207068146,44.4
7,%null%,%null%,True,True,New Mexico,New Mexico,956,2537,%null%,2115877,45.18221049711301,45.18,45.18221049711301,45.18221049711301,45.2
8,%null%,%null%,True,True,North Carolina,North Carolina,4858,14901,%null%,10551162,46.04232216318923,46.04,46.04232216318923,46.04232216318923,46.0
9,%null%,%null%,True,True,Pennsylvania,Pennsylvania,6009,17925,%null%,12964056,46.35123452104804,46.35,46.35123452104804,46.35123452104804,46.4
10,%null%,%null%,True,True,Missouri,Missouri,2892,8620,%null%,6168187,46.88573806209183,46.89,46.88573806209183,46.88573806209183,46.9
11,%null%,%null%,True,True,Illinois,Illinois,5966,18112,%null%,12671469,47.082149670255276,47.08,47.082149670255276,47.082149670255276,47.1
12,%null%,%null%,True,True,South Carolina,South Carolina,2468,7116,%null%,5190705,47.54652788012419,47.55,47.54652788012419,47.54652788012419,47.5
13,%null%,%null%,True,True,Maryland,Maryland,2935,8753,%null%,6165129,47.606465331057954,47.61,47.606465331057954,47.606465331057954,47.6
14,%null%,%null%,True,True,Wisconsin,Wisconsin,2825,8874,%null%,5895908,47.9145875410539,47.91,47.9145875410539,47.9145875410539,47.9
15,%null%,%null%,True,True,Connecticut,Connecticut,1778,5511,%null%,3605597,49.312222081391795,49.31,49.312222081391795,49.312222081391795,49.3
16,%null%,%null%,True,True,Michigan,Michigan,4959,14950,%null%,10050811,49.339302072240734,49.34,49.339302072240734,49.339302072240734,49.3
17,%null%,%null%,True,True,California,California,19571,56877,%null%,39237836,49.8778780766605,49.88,49.8778780766605,49.8778780766605,49.9
