,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Mexico,New Mexico,309,732,%null%,186151,165.99427346616457,166,165.99427346616457,165.99427346616457,166.0
1,%null%,%null%,True,True,Alaska,Alaska,262,650,%null%,109039,240.28100037601223,240,240.28100037601223,240.28100037601223,240.3
2,%null%,%null%,True,True,Oklahoma,Oklahoma,856,2350,%null%,339826,251.89361614473287,252,251.89361614473287,251.89361614473287,251.9
3,%null%,%null%,True,True,North Carolina,North Carolina,296,700,%null%,115825,255.5579538096266,256,255.5579538096266,255.5579538096266,255.6
4,%null%,%null%,True,True,Arizona,Arizona,736,1880,%null%,279130,263.6764231719987,264,263.6764231719987,263.6764231719987,263.7
5,%null%,%null%,True,True,Montana,Montana,181,433,%null%,66192,273.4469422286681,273,273.4469422286681,273.4469422286681,273.4
6,%null%,%null%,True,True,South Dakota,South Dakota,206,461,%null%,73258,281.19795790220866,281,281.19795790220866,281.19795790220866,281.2
7,%null%,%null%,True,True,North Dakota,North Dakota,131,272,%null%,40207,325.8139130002238,326,325.8139130002238,325.8139130002238,325.8
8,%null%,%null%,True,True,Wyoming,Wyoming,49,118,%null%,12146,403.42499588341843,403,403.42499588341843,403.42499588341843,403.4
9,%null%,%null%,True,True,Louisiana,Louisiana,138,264,%null%,30358,454.57540022399365,455,454.57540022399365,454.57540022399365,454.6
10,%null%,%null%,True,True,Nevada,Nevada,121,278,%null%,26502,456.56931552335675,457,456.56931552335675,456.56931552335675,456.6
11,%null%,%null%,True,True,Washington,Washington,440,993,%null%,95740,459.57802381449756,460,459.57802381449756,459.57802381449756,459.6
12,%null%,%null%,True,True,Utah,Utah,153,368,%null%,31014,493.3255948926291,493,493.3255948926291,493.3255948926291,493.3
