,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,1692,5090,%null%,942292,179.5621739333455,179.6,179.5621739333455,179.5621739333455,179.6
1,%null%,%null%,True,True,Massachusetts,Massachusetts,992,3140,%null%,520119,190.72558395290307,190.7,190.72558395290307,190.72558395290307,190.7
2,%null%,%null%,True,True,California,California,12003,35464,%null%,6136428,195.60239279268004,195.6,195.60239279268004,195.60239279268004,195.6
3,%null%,%null%,True,True,Illinois,Illinois,1507,4559,%null%,756590,199.18317715010772,199.2,199.18317715010772,199.18317715010772,199.2
4,%null%,%null%,True,True,Pennsylvania,Pennsylvania,1028,3043,%null%,503783,204.05611146068844,204.1,204.05611146068844,204.05611146068844,204.1
5,%null%,%null%,True,True,North Carolina,North Carolina,724,2047,%null%,353832,204.61688032738704,204.6,204.61688032738704,204.61688032738704,204.6
6,%null%,%null%,True,True,Maryland,Maryland,872,2575,%null%,421227,207.0142702153471,207.0,207.0142702153471,207.0142702153471,207.0
7,%null%,%null%,True,True,Texas,Texas,3347,9651,%null%,1584396,211.24769312722324,211.2,211.24769312722324,211.24769312722324,211.2
8,%null%,%null%,True,True,Ohio,Ohio,675,1965,%null%,313413,215.3707727503326,215.4,215.3707727503326,215.3707727503326,215.4
9,%null%,%null%,True,True,New York,New York,3913,10769,%null%,1812286,215.91514805058364,215.9,215.91514805058364,215.91514805058364,215.9
10,%null%,%null%,True,True,Virginia,Virginia,1332,3937,%null%,614516,216.7559510248716,216.8,216.7559510248716,216.7559510248716,216.8
11,%null%,%null%,True,True,Washington,Washington,1806,5347,%null%,813284,222.0626497017032,222.1,222.0626497017032,222.0626497017032,222.1
12,%null%,%null%,True,True,Michigan,Michigan,765,2323,%null%,341843,223.78694312886324,223.8,223.78694312886324,223.78694312886324,223.8
13,%null%,%null%,True,True,Tennessee,Tennessee,322,925,%null%,139839,230.264804525204,230.3,230.264804525204,230.264804525204,230.3
14,%null%,%null%,True,True,Missouri,Missouri,339,938,%null%,144420,234.73203157457417,234.7,234.73203157457417,234.73203157457417,234.7
15,%null%,%null%,True,True,Connecticut,Connecticut,427,1261,%null%,179054,238.47554369073018,238.5,238.47554369073018,238.47554369073018,238.5
16,%null%,%null%,True,True,Oregon,Oregon,529,1486,%null%,221414,238.9189482146567,238.9,238.9189482146567,238.9189482146567,238.9
17,%null%,%null%,True,True,Georgia,Georgia,1174,3153,%null%,490433,239.38030271209317,239.4,239.38030271209317,239.38030271209317,239.4
18,%null%,%null%,True,True,Hawaii,Hawaii,1572,4383,%null%,651433,241.3141489608294,241.3,241.3141489608294,241.3141489608294,241.3
19,%null%,%null%,True,True,New Hampshire,New Hampshire,105,279,%null%,42740,245.6715021057557,245.7,245.6715021057557,245.6715021057557,245.7
20,%null%,%null%,True,True,Rhode Island,Rhode Island,99,283,%null%,39360,251.52439024390245,251.5,251.52439024390245,251.52439024390245,251.5
