,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Louisiana,Louisiana,1592,4202,%null%,1499002,106.20399439093477,106.2,106.20399439093477,106.20399439093477,106.2
1,%null%,%null%,True,True,Mississippi,Mississippi,1329,4005,%null%,1107951,119.95115307445907,120.0,119.95115307445907,119.95115307445907,120.0
2,%null%,%null%,True,True,South Carolina,South Carolina,1633,4604,%null%,1352562,120.73383697013519,120.7,120.73383697013519,120.73383697013519,120.7
3,%null%,%null%,True,True,Tennessee,Tennessee,1441,4103,%null%,1158262,124.4105392389632,124.4,124.4105392389632,124.4105392389632,124.4
4,%null%,%null%,True,True,Alabama,Alabama,1696,4473,%null%,1336172,126.92976652706389,126.9,126.92976652706389,126.92976652706389,126.9
5,%null%,%null%,True,True,Arkansas,Arkansas,593,1648,%null%,466227,127.19126090938535,127.2,127.19126090938535,127.19126090938535,127.2
6,%null%,%null%,True,True,North Carolina,North Carolina,2886,8466,%null%,2248971,128.32535412862148,128.3,128.32535412862148,128.32535412862148,128.3
7,%null%,%null%,True,True,District of Columbia,District of Columbia,389,1225,%null%,295889,131.46821950123189,131.5,131.46821950123189,131.46821950123189,131.5
8,%null%,%null%,True,True,Florida,Florida,4614,12387,%null%,3386309,136.25454735524727,136.3,136.25454735524727,136.25454735524727,136.3
9,%null%,%null%,True,True,Missouri,Missouri,996,2809,%null%,711459,139.99401230429302,140.0,139.99401230429302,139.99401230429302,140.0
10,%null%,%null%,True,True,New York,New York,4049,11452,%null%,2857575,141.6935688477118,141.7,141.6935688477118,141.6935688477118,141.7
11,%null%,%null%,True,True,Rhode Island,Rhode Island,98,259,%null%,68125,143.85321100917432,143.9,143.85321100917432,143.85321100917432,143.9
12,%null%,%null%,True,True,Michigan,Michigan,1993,5345,%null%,1383769,144.02692935020224,144.0,144.02692935020224,144.02692935020224,144.0
13,%null%,%null%,True,True,Georgia,Georgia,5058,13880,%null%,3451256,146.55534101208372,146.6,146.55534101208372,146.55534101208372,146.6
14,%null%,%null%,True,True,Illinois,Illinois,2641,7166,%null%,1791229,147.4406678319746,147.4,147.4406678319746,147.4406678319746,147.4
15,%null%,%null%,True,True,Virginia,Virginia,2462,7023,%null%,1657724,148.51688218304133,148.5,148.51688218304133,148.51688218304133,148.5
16,%null%,%null%,True,True,Pennsylvania,Pennsylvania,2110,5662,%null%,1416684,148.93935415378445,148.9,148.93935415378445,148.93935415378445,148.9
17,%null%,%null%,True,True,Maryland,Maryland,2790,7953,%null%,1862521,149.79696873216463,149.8,149.79696873216463,149.79696873216463,149.8
18,%null%,%null%,True,True,Kentucky,Kentucky,572,1549,%null%,377275,151.6135444967199,151.6,151.6135444967199,151.6135444967199,151.6
19,%null%,%null%,True,True,Ohio,Ohio,2296,6035,%null%,1510741,151.97840000370678,152.0,151.97840000370678,151.97840000370678,152.0
20,%null%,%null%,True,True,Texas,Texas,5567,15562,%null%,3630643,153.33372077618205,153.3,153.33372077618205,153.33372077618205,153.3
21,%null%,%null%,True,True,New Jersey,New Jersey,1858,4911,%null%,1205848,154.08243825092384,154.1,154.08243825092384,154.08243825092384,154.1
22,%null%,%null%,True,True,Massachusetts,Massachusetts,828,2188,%null%,522609,158.43584783270092,158.4,158.43584783270092,158.43584783270092,158.4
23,%null%,%null%,True,True,Wisconsin,Wisconsin,612,1473,%null%,378263,161.7921922048945,161.8,161.7921922048945,161.7921922048945,161.8
24,%null%,%null%,True,True,Oklahoma,Oklahoma,487,1306,%null%,296154,164.44147301741663,164.4,164.44147301741663,164.44147301741663,164.4
25,%null%,%null%,True,True,West Virginia,West Virginia,106,287,%null%,64063,165.4621232224529,165.5,165.4621232224529,165.4621232224529,165.5
26,%null%,%null%,True,True,New Mexico,New Mexico,69,198,%null%,41152,167.6710730948678,167.7,167.6710730948678,167.6710730948678,167.7
27,%null%,%null%,True,True,Connecticut,Connecticut,663,1806,%null%,382977,173.1174456951723,173.1,173.1174456951723,173.1174456951723,173.1
28,%null%,%null%,True,True,Indiana,Indiana,1162,3058,%null%,667291,174.13692077369544,174.1,174.13692077369544,174.13692077369544,174.1
29,%null%,%null%,True,True,California,California,3861,10698,%null%,2200126,175.4899492119997,175.5,175.4899492119997,175.4899492119997,175.5
30,%null%,%null%,True,True,Delaware,Delaware,399,1092,%null%,223935,178.17670306115613,178.2,178.17670306115613,178.17670306115613,178.2
31,%null%,%null%,True,True,Kansas,Kansas,322,869,%null%,168790,190.76959535517506,190.8,190.76959535517506,190.76959535517506,190.8
32,%null%,%null%,True,True,Nevada,Nevada,578,1394,%null%,301273,191.8525722517451,191.9,191.8525722517451,191.8525722517451,191.9
33,%null%,%null%,True,True,Minnesota,Minnesota,794,1975,%null%,409602,193.84670973286265,193.8,193.84670973286265,193.84670973286265,193.8
34,%null%,%null%,True,True,New Hampshire,New Hampshire,42,131,%null%,21519,195.17635577861424,195.2,195.17635577861424,195.17635577861424,195.2
35,%null%,%null%,True,True,Nebraska,Nebraska,191,507,%null%,97729,195.43840620491358,195.4,195.43840620491358,195.43840620491358,195.4
36,%null%,%null%,True,True,North Dakota,North Dakota,51,122,%null%,25870,197.1395438732122,197.1,197.1395438732122,197.1395438732122,197.1
37,%null%,%null%,True,True,Washington,Washington,644,1661,%null%,316727,203.32968139754425,203.3,203.32968139754425,203.32968139754425,203.3
38,%null%,%null%,True,True,Iowa,Iowa,285,639,%null%,131303,217.05520818260058,217.1,217.05520818260058,217.05520818260058,217.1
39,%null%,%null%,True,True,South Dakota,South Dakota,52,136,%null%,20987,247.77243055224665,247.8,247.77243055224665,247.77243055224665,247.8
40,%null%,%null%,True,True,Colorado,Colorado,600,1525,%null%,237929,252.17606933160735,252.2,252.17606933160735,252.17606933160735,252.2
41,%null%,%null%,True,True,Arizona,Arizona,869,2198,%null%,339424,256.02196662581315,256.0,256.02196662581315,256.02196662581315,256.0
42,%null%,%null%,True,True,Oregon,Oregon,219,518,%null%,84565,258.97238810382544,259.0,258.97238810382544,258.97238810382544,259.0
43,%null%,%null%,True,True,Maine,Maine,64,170,%null%,23559,271.6583895751093,271.7,271.6583895751093,271.6583895751093,271.7
44,%null%,%null%,True,True,Utah,Utah,117,315,%null%,39687,294.8068637085192,294.8,294.8068637085192,294.8068637085192,294.8
45,%null%,%null%,True,True,Vermont,Vermont,31,77,%null%,8685,356.93724812895795,356.9,356.93724812895795,356.93724812895795,356.9
46,%null%,%null%,True,True,Hawaii,Hawaii,106,245,%null%,27691,382.79585424867287,382.8,382.79585424867287,382.79585424867287,382.8
47,%null%,%null%,True,True,Wyoming,Wyoming,27,70,%null%,6016,448.8031914893617,448.8,448.8031914893617,448.8031914893617,448.8
48,%null%,%null%,True,True,Idaho,Idaho,72,160,%null%,14597,493.25203809001846,493.3,493.25203809001846,493.25203809001846,493.3
49,%null%,%null%,True,True,Alaska,Alaska,125,289,%null%,23681,527.8493306870487,527.8,527.8493306870487,527.8493306870487,527.8
50,%null%,%null%,True,True,Montana,Montana,44,80,%null%,6138,716.8458781362007,716.8,716.8458781362007,716.8458781362007,716.8
