,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,149,473,%null%,160134,93.0470730762986,93.0,93.0470730762986,93.0470730762986,93.0
1,%null%,%null%,True,True,Rhode Island,Rhode Island,200,549,%null%,187776,106.50988411724609,106.5,106.50988411724609,106.50988411724609,106.5
2,%null%,%null%,True,True,Louisiana,Louisiana,307,814,%null%,258338,118.83656295241119,118.8,118.83656295241119,118.83656295241119,118.8
3,%null%,%null%,True,True,Florida,Florida,7259,20932,%null%,5830908,124.4917601169492,124.5,124.4917601169492,124.4917601169492,124.5
4,%null%,%null%,True,True,New Mexico,New Mexico,1328,3352,%null%,1059242,125.37267215612675,125.4,125.37267215612675,125.37267215612675,125.4
5,%null%,%null%,True,True,New York,New York,4895,13663,%null%,3868268,126.54242156954999,126.5,126.54242156954999,126.54242156954999,126.5
6,%null%,%null%,True,True,Oklahoma,Oklahoma,614,1649,%null%,467249,131.40745084526665,131.4,131.40745084526665,131.40745084526665,131.4
7,%null%,%null%,True,True,New Jersey,New Jersey,2716,7411,%null%,1991638,136.37016365423835,136.4,136.37016365423835,136.37016365423835,136.4
8,%null%,%null%,True,True,West Virginia,West Virginia,46,141,%null%,33684,136.5633535209595,136.6,136.5633535209595,136.5633535209595,136.6
9,%null%,%null%,True,True,California,California,21543,62037,%null%,15754605,136.74097192535135,136.7,136.74097192535135,136.74097192535135,136.7
10,%null%,%null%,True,True,Washington,Washington,1462,3948,%null%,1059156,138.0344349651987,138.0,138.0344349651987,138.0344349651987,138.0
11,%null%,%null%,True,True,District of Columbia,District of Columbia,107,389,%null%,76919,139.1073726907526,139.1,139.1073726907526,139.1073726907526,139.1
12,%null%,%null%,True,True,Pennsylvania,Pennsylvania,1515,4077,%null%,1084634,139.67845374568748,139.7,139.67845374568748,139.67845374568748,139.7
13,%null%,%null%,True,True,Massachusetts,Massachusetts,1267,3510,%null%,897349,141.193671581514,141.2,141.193671581514,141.193671581514,141.2
14,%null%,%null%,True,True,North Dakota,North Dakota,49,157,%null%,34335,142.71151885830784,142.7,142.71151885830784,142.71151885830784,142.7
15,%null%,%null%,True,True,Connecticut,Connecticut,916,2467,%null%,637112,143.77377917854318,143.8,143.77377917854318,143.77377917854318,143.8
16,%null%,%null%,True,True,Idaho,Idaho,364,1020,%null%,251919,144.49088794414078,144.5,144.49088794414078,144.49088794414078,144.5
17,%null%,%null%,True,True,Maryland,Maryland,993,2652,%null%,684437,145.08274684156467,145.1,145.08274684156467,145.08274684156467,145.1
18,%null%,%null%,True,True,Texas,Texas,17406,47283,%null%,11857401,146.7943944883031,146.8,146.7943944883031,146.7943944883031,146.8
19,%null%,%null%,True,True,Oregon,Oregon,880,2422,%null%,596517,147.52303790168594,147.5,147.52303790168594,147.52303790168594,147.5
20,%null%,%null%,True,True,Nevada,Nevada,1398,3521,%null%,940757,148.60373082528218,148.6,148.60373082528218,148.60373082528218,148.6
21,%null%,%null%,True,True,North Carolina,North Carolina,1613,4322,%null%,1078224,149.59785721705325,149.6,149.59785721705325,149.59785721705325,149.6
22,%null%,%null%,True,True,Mississippi,Mississippi,155,373,%null%,102936,150.57900054402737,150.6,150.57900054402737,150.57900054402737,150.6
23,%null%,%null%,True,True,Virginia,Virginia,1333,3783,%null%,882402,151.0649341229961,151.1,151.0649341229961,151.0649341229961,151.1
24,%null%,%null%,True,True,New Hampshire,New Hampshire,92,267,%null%,60873,151.1343288485864,151.1,151.1343288485864,151.1343288485864,151.1
25,%null%,%null%,True,True,Tennessee,Tennessee,650,1626,%null%,425839,152.63984745408476,152.6,152.63984745408476,152.63984745408476,152.6
26,%null%,%null%,True,True,South Carolina,South Carolina,511,1362,%null%,330096,154.80345111725075,154.8,154.80345111725075,154.80345111725075,154.8
27,%null%,%null%,True,True,Illinois,Illinois,3582,10120,%null%,2282133,156.9584244213637,157.0,156.9584244213637,156.9584244213637,157.0
28,%null%,%null%,True,True,Colorado,Colorado,2042,5576,%null%,1293214,157.9011671695481,157.9,157.9011671695481,157.9011671695481,157.9
29,%null%,%null%,True,True,Kansas,Kansas,591,1486,%null%,374093,157.98210605384222,158.0,157.98210605384222,157.98210605384222,158.0
30,%null%,%null%,True,True,Missouri,Missouri,454,1199,%null%,287125,158.11928602525032,158.1,158.11928602525032,158.11928602525032,158.1
31,%null%,%null%,True,True,South Dakota,South Dakota,66,178,%null%,41288,159.85274171672157,159.9,159.85274171672157,159.85274171672157,159.9
32,%null%,%null%,True,True,Michigan,Michigan,901,2520,%null%,561587,160.43818678138916,160.4,160.43818678138916,160.43818678138916,160.4
33,%null%,%null%,True,True,Wyoming,Wyoming,100,289,%null%,61087,163.7009511025259,163.7,163.7009511025259,163.7009511025259,163.7
34,%null%,%null%,True,True,Nebraska,Nebraska,387,1054,%null%,235669,164.21336705294289,164.2,164.21336705294289,164.21336705294289,164.2
35,%null%,%null%,True,True,Ohio,Ohio,839,2174,%null%,508643,164.94869682665447,164.9,164.94869682665447,164.94869682665447,164.9
36,%null%,%null%,True,True,Arizona,Arizona,3913,10096,%null%,2351122,166.43117626392845,166.4,166.43117626392845,166.43117626392845,166.4
37,%null%,%null%,True,True,Georgia,Georgia,1883,4760,%null%,1104836,170.43253478344297,170.4,170.43253478344297,170.43253478344297,170.4
38,%null%,%null%,True,True,Minnesota,Minnesota,579,1639,%null%,333474,173.6267295201425,173.6,173.6267295201425,173.6267295201425,173.6
39,%null%,%null%,True,True,Wisconsin,Wisconsin,781,2091,%null%,442517,176.4903947192989,176.5,176.4903947192989,176.4903947192989,176.5
40,%null%,%null%,True,True,Montana,Montana,88,185,%null%,48014,183.2798767026284,183.3,183.2798767026284,183.2798767026284,183.3
41,%null%,%null%,True,True,Utah,Utah,910,2442,%null%,493636,184.34636047614032,184.3,184.34636047614032,184.34636047614032,184.3
42,%null%,%null%,True,True,Iowa,Iowa,405,1015,%null%,215119,188.2678889358913,188.3,188.2678889358913,188.2678889358913,188.3
43,%null%,%null%,True,True,Kentucky,Kentucky,360,853,%null%,187984,191.505660056175,191.5,191.505660056175,191.505660056175,191.5
44,%null%,%null%,True,True,Indiana,Indiana,1002,2589,%null%,522944,191.60751438012485,191.6,191.60751438012485,191.60751438012485,191.6
45,%null%,%null%,True,True,Arkansas,Arkansas,496,1211,%null%,251277,197.39172307851496,197.4,197.39172307851496,197.39172307851496,197.4
46,%null%,%null%,True,True,Delaware,Delaware,205,539,%null%,101213,202.54315157143847,202.5,202.54315157143847,202.54315157143847,202.5
47,%null%,%null%,True,True,Alabama,Alabama,508,1263,%null%,241168,210.64154448351357,210.6,210.64154448351357,210.64154448351357,210.6
48,%null%,%null%,True,True,Vermont,Vermont,36,103,%null%,14384,250.2780867630701,250.3,250.2780867630701,250.2780867630701,250.3
49,%null%,%null%,True,True,Maine,Maine,68,150,%null%,27037,251.507193845471,251.5,251.507193845471,251.507193845471,251.5
50,%null%,%null%,True,True,Alaska,Alaska,156,416,%null%,54732,285.02521376891036,285.0,285.02521376891036,285.02521376891036,285.0
