,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,378,999,%null%,291001,129.89646083690434,129.9,129.89646083690434,129.89646083690434,129.9
1,%null%,%null%,True,True,Oklahoma,Oklahoma,569,1251,%null%,235733,241.3747756996263,241.4,241.3747756996263,241.3747756996263,241.4
2,%null%,%null%,True,True,Alaska,Alaska,146,359,%null%,52262,279.3616777008151,279.4,279.3616777008151,279.3616777008151,279.4
3,%null%,%null%,True,True,Montana,Montana,81,207,%null%,28810,281.15237764665045,281.2,281.15237764665045,281.15237764665045,281.2
4,%null%,%null%,True,True,Washington,Washington,1142,2811,%null%,342530,333.40145388725074,333.4,333.40145388725074,333.40145388725074,333.4
5,%null%,%null%,True,True,North Dakota,North Dakota,57,133,%null%,16837,338.54011997386704,338.5,338.54011997386704,338.54011997386704,338.5
6,%null%,%null%,True,True,South Dakota,South Dakota,71,173,%null%,20807,341.23131638390925,341.2,341.23131638390925,341.23131638390925,341.2
7,%null%,%null%,True,True,Missouri,Missouri,503,1225,%null%,143689,350.0615913535483,350.1,350.0615913535483,350.0615913535483,350.1
8,%null%,%null%,True,True,Vermont,Vermont,44,97,%null%,12316,357.2588502760637,357.3,357.2588502760637,357.2588502760637,357.3
9,%null%,%null%,True,True,Maine,Maine,89,215,%null%,24338,365.6832936149232,365.7,365.6832936149232,365.6832936149232,365.7
10,%null%,%null%,True,True,Oregon,Oregon,544,1336,%null%,148706,365.8224953935954,365.8,365.8224953935954,365.8224953935954,365.8
11,%null%,%null%,True,True,Michigan,Michigan,913,2131,%null%,243379,375.13507738958583,375.1,375.13507738958583,375.13507738958583,375.1
12,%null%,%null%,True,True,West Virginia,West Virginia,128,272,%null%,33519,381.8729675706316,381.9,381.8729675706316,381.8729675706316,381.9
13,%null%,%null%,True,True,Louisiana,Louisiana,286,680,%null%,74216,385.3616470841867,385.4,385.3616470841867,385.3616470841867,385.4
14,%null%,%null%,True,True,District of Columbia,District of Columbia,65,204,%null%,16480,394.41747572815535,394.4,394.41747572815535,394.41747572815535,394.4
15,%null%,%null%,True,True,Rhode Island,Rhode Island,98,225,%null%,24311,403.1097034264325,403.1,403.1097034264325,403.1097034264325,403.1
16,%null%,%null%,True,True,Minnesota,Minnesota,565,1276,%null%,139747,404.30206015155954,404.3,404.30206015155954,404.30206015155954,404.3
17,%null%,%null%,True,True,Ohio,Ohio,1113,2467,%null%,274463,405.51914101354276,405.5,405.51914101354276,405.51914101354276,405.5
18,%null%,%null%,True,True,Kansas,Kansas,343,766,%null%,81605,420.3173825133264,420.3,420.3173825133264,420.3173825133264,420.3
19,%null%,%null%,True,True,Tennessee,Tennessee,570,1324,%null%,134263,424.5398955780818,424.5,424.5398955780818,424.5398955780818,424.5
20,%null%,%null%,True,True,Arkansas,Arkansas,281,623,%null%,63545,442.20631048863015,442.2,442.20631048863015,442.20631048863015,442.2
21,%null%,%null%,True,True,North Carolina,North Carolina,1001,2378,%null%,225732,443.44621055056444,443.4,443.44621055056444,443.44621055056444,443.4
22,%null%,%null%,True,True,Maryland,Maryland,717,1645,%null%,161497,443.9710954383054,444.0,443.9710954383054,443.9710954383054,444.0
23,%null%,%null%,True,True,Pennsylvania,Pennsylvania,1066,2464,%null%,238808,446.38370573850125,446.4,446.38370573850125,446.38370573850125,446.4
24,%null%,%null%,True,True,New Hampshire,New Hampshire,103,215,%null%,22716,453.4248987497799,453.4,453.4248987497799,453.4248987497799,453.4
25,%null%,%null%,True,True,Kentucky,Kentucky,414,877,%null%,90573,457.08986121691896,457.1,457.08986121691896,457.08986121691896,457.1
26,%null%,%null%,True,True,Utah,Utah,351,835,%null%,76033,461.6416555969119,461.6,461.6416555969119,461.6416555969119,461.6
27,%null%,%null%,True,True,Iowa,Iowa,279,627,%null%,59427,469.4835680751174,469.5,469.4835680751174,469.4835680751174,469.5
28,%null%,%null%,True,True,California,California,5516,13676,%null%,1170491,471.25522537123305,471.3,471.25522537123305,471.25522537123305,471.3
29,%null%,%null%,True,True,Virginia,Virginia,1184,2765,%null%,250775,472.1363772305852,472.1,472.1363772305852,472.1363772305852,472.1
30,%null%,%null%,True,True,Wisconsin,Wisconsin,520,1178,%null%,109888,473.2090856144438,473.2,473.2090856144438,473.2090856144438,473.2
31,%null%,%null%,True,True,New York,New York,1819,4347,%null%,378698,480.3299726959213,480.3,480.3299726959213,480.3299726959213,480.3
32,%null%,%null%,True,True,Massachusetts,Massachusetts,666,1512,%null%,137083,485.83704762807935,485.8,485.83704762807935,485.83704762807935,485.8
33,%null%,%null%,True,True,Indiana,Indiana,690,1604,%null%,139946,493.04731825132546,493.0,493.04731825132546,493.04731825132546,493.0
34,%null%,%null%,True,True,Illinois,Illinois,1128,2763,%null%,224432,502.60212447422833,502.6,502.60212447422833,502.60212447422833,502.6
35,%null%,%null%,True,True,Idaho,Idaho,207,452,%null%,41056,504.18939984411537,504.2,504.18939984411537,504.18939984411537,504.2
36,%null%,%null%,True,True,Wyoming,Wyoming,56,131,%null%,11050,506.78733031674204,506.8,506.78733031674204,506.78733031674204,506.8
37,%null%,%null%,True,True,Delaware,Delaware,128,316,%null%,25193,508.07764061445636,508.1,508.07764061445636,508.07764061445636,508.1
38,%null%,%null%,True,True,Nebraska,Nebraska,207,479,%null%,40407,512.2874749424604,512.3,512.2874749424604,512.2874749424604,512.3
