,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,5106,17827,%null%,4960795,102.92705100694546,102.9,102.92705100694546,102.92705100694546,102.9
1,%null%,%null%,True,True,Rhode Island,Rhode Island,850,2736,%null%,771405,110.18855205760917,110.2,110.18855205760917,110.18855205760917,110.2
2,%null%,%null%,True,True,Louisiana,Louisiana,3011,9250,%null%,2676273,112.50720685072113,112.5,112.50720685072113,112.50720685072113,112.5
3,%null%,%null%,True,True,New York,New York,12390,40993,%null%,10858889,114.10007045840509,114.1,114.10007045840509,114.10007045840509,114.1
4,%null%,%null%,True,True,Massachusetts,Massachusetts,5754,19406,%null%,4894728,117.55505106718903,117.6,117.55505106718903,117.55505106718903,117.6
5,%null%,%null%,True,True,Florida,Florida,13833,42966,%null%,11467951,120.6231174165289,120.6,120.6231174165289,120.6231174165289,120.6
6,%null%,%null%,True,True,Maryland,Maryland,3703,12325,%null%,3020582,122.59226864226828,122.6,122.59226864226828,122.59226864226828,122.6
7,%null%,%null%,True,True,California,California,17478,56654,%null%,13815325,126.51168177368248,126.5,126.51168177368248,126.51168177368248,126.5
8,%null%,%null%,True,True,Connecticut,Connecticut,2981,9859,%null%,2330326,127.92201606127212,127.9,127.92201606127212,127.92201606127212,127.9
9,%null%,%null%,True,True,North Carolina,North Carolina,8495,27427,%null%,6528578,130.1202191350092,130.1,130.1202191350092,130.1202191350092,130.1
10,%null%,%null%,True,True,Illinois,Illinois,9952,32338,%null%,7597266,130.99449196592565,131.0,130.99449196592565,130.99449196592565,131.0
11,%null%,%null%,True,True,New Hampshire,New Hampshire,1633,5226,%null%,1238184,131.88669858437842,131.9,131.88669858437842,131.88669858437842,131.9
12,%null%,%null%,True,True,Pennsylvania,Pennsylvania,12865,40871,%null%,9701126,132.61347187944986,132.6,132.61347187944986,132.61347187944986,132.6
13,%null%,%null%,True,True,New Mexico,New Mexico,1054,3102,%null%,759740,138.73167136125517,138.7,138.73167136125517,138.73167136125517,138.7
14,%null%,%null%,True,True,Vermont,Vermont,827,2618,%null%,595151,138.9563320905115,139.0,138.9563320905115,138.9563320905115,139.0
15,%null%,%null%,True,True,Wisconsin,Wisconsin,6579,21313,%null%,4727246,139.1719407028955,139.2,139.1719407028955,139.1719407028955,139.2
16,%null%,%null%,True,True,Minnesota,Minnesota,6260,20656,%null%,4458035,140.4206113231502,140.4,140.4206113231502,140.4206113231502,140.4
17,%null%,%null%,True,True,South Dakota,South Dakota,1019,3155,%null%,723678,140.80848112005614,140.8,140.80848112005614,140.80848112005614,140.8
18,%null%,%null%,True,True,Michigan,Michigan,10552,32715,%null%,7462582,141.3987812797233,141.4,141.3987812797233,141.3987812797233,141.4
19,%null%,%null%,True,True,Missouri,Missouri,6879,21126,%null%,4854359,141.7076899339336,141.7,141.7076899339336,141.7076899339336,141.7
20,%null%,%null%,True,True,North Dakota,North Dakota,919,2802,%null%,644623,142.56394823020588,142.6,142.56394823020588,142.56394823020588,142.6
21,%null%,%null%,True,True,Maine,Maine,1816,5535,%null%,1269535,143.04450054547533,143.0,143.04450054547533,143.04450054547533,143.0
22,%null%,%null%,True,True,South Carolina,South Carolina,4708,14090,%null%,3290272,143.08847414438685,143.1,143.08847414438685,143.08847414438685,143.1
23,%null%,%null%,True,True,Nevada,Nevada,2102,6052,%null%,1464563,143.52404095965827,143.5,143.52404095965827,143.52404095965827,143.5
24,%null%,%null%,True,True,Virginia,Virginia,7563,23878,%null%,5213717,145.05965705465024,145.1,145.05965705465024,145.05965705465024,145.1
25,%null%,%null%,True,True,Nebraska,Nebraska,2205,7419,%null%,1519341,145.12871040799925,145.1,145.12871040799925,145.12871040799925,145.1
26,%null%,%null%,True,True,Texas,Texas,17252,53318,%null%,11885058,145.15705350365138,145.2,145.15705350365138,145.15705350365138,145.2
27,%null%,%null%,True,True,Montana,Montana,1373,4041,%null%,943656,145.49793568842884,145.5,145.49793568842884,145.49793568842884,145.5
28,%null%,%null%,True,True,Washington,Washington,7602,23345,%null%,5111255,148.7305955191044,148.7,148.7305955191044,148.7305955191044,148.7
29,%null%,%null%,True,True,District of Columbia,District of Columbia,372,1665,%null%,249751,148.94835255914893,148.9,148.94835255914893,148.94835255914893,148.9
30,%null%,%null%,True,True,Georgia,Georgia,8260,24803,%null%,5510193,149.90400517731413,149.9,149.90400517731413,149.90400517731413,149.9
31,%null%,%null%,True,True,Oregon,Oregon,4770,14428,%null%,3148080,151.5209270412442,151.5,151.5209270412442,151.5209270412442,151.5
32,%null%,%null%,True,True,Iowa,Iowa,4078,12634,%null%,2685614,151.84609552973734,151.8,151.84609552973734,151.84609552973734,151.8
33,%null%,%null%,True,True,Kentucky,Kentucky,5784,17388,%null%,3765843,153.5911082857145,153.6,153.5911082857145,153.5911082857145,153.6
34,%null%,%null%,True,True,Mississippi,Mississippi,2541,7890,%null%,1652517,153.7654378139529,153.8,153.7654378139529,153.7654378139529,153.8
35,%null%,%null%,True,True,Delaware,Delaware,942,3016,%null%,608053,154.92070592530587,154.9,154.92070592530587,154.92070592530587,154.9
36,%null%,%null%,True,True,Oklahoma,Oklahoma,3949,11898,%null%,2544785,155.18010362368528,155.2,155.18010362368528,155.18010362368528,155.2
37,%null%,%null%,True,True,Kansas,Kansas,3418,10228,%null%,2192217,155.9152218963725,155.9,155.9152218963725,155.9152218963725,155.9
38,%null%,%null%,True,True,Ohio,Ohio,14496,41902,%null%,9149813,158.4294673563274,158.4,158.4294673563274,158.4294673563274,158.4
39,%null%,%null%,True,True,Tennessee,Tennessee,8116,25337,%null%,5097174,159.225484552813,159.2,159.225484552813,159.225484552813,159.2
40,%null%,%null%,True,True,Arizona,Arizona,6188,18378,%null%,3872615,159.7886699297503,159.8,159.7886699297503,159.7886699297503,159.8
41,%null%,%null%,True,True,West Virginia,West Virginia,2635,7178,%null%,1632071,161.45130940994602,161.5,161.45130940994602,161.45130940994602,161.5
42,%null%,%null%,True,True,Wyoming,Wyoming,785,2468,%null%,482320,162.75501741582352,162.8,162.75501741582352,162.75501741582352,162.8
43,%null%,%null%,True,True,Arkansas,Arkansas,3522,10080,%null%,2156694,163.30550370149868,163.3,163.30550370149868,163.30550370149868,163.3
44,%null%,%null%,True,True,Alabama,Alabama,5476,15804,%null%,3269726,167.4758068413072,167.5,167.4758068413072,167.4758068413072,167.5
45,%null%,%null%,True,True,Idaho,Idaho,2599,7295,%null%,1541463,168.6060580111232,168.6,168.6060580111232,168.6060580111232,168.6
46,%null%,%null%,True,True,Colorado,Colorado,6639,20084,%null%,3893018,170.53607252779204,170.5,170.53607252779204,170.53607252779204,170.5
47,%null%,%null%,True,True,Indiana,Indiana,9018,28008,%null%,5276416,170.91146717772065,170.9,170.91146717772065,170.91146717772065,170.9
48,%null%,%null%,True,True,Utah,Utah,4968,15848,%null%,2577888,192.71589766506537,192.7,192.71589766506537,192.71589766506537,192.7
49,%null%,%null%,True,True,Hawaii,Hawaii,602,1836,%null%,308195,195.33087817777704,195.3,195.33087817777704,195.33087817777704,195.3
