,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,207,930,%,670050,22.258064516129032,22.26,22.258064516129032,22.258064516129032,22.26
1,%,%,True,True,Wyoming,Wyoming,278,924,%,578803,30.08658008658009,30.09,30.08658008658009,30.08658008658009,30.09
2,%,%,True,True,Massachusetts,Massachusetts,2397,7771,%,6984723,30.845451035902716,30.85,30.845451035902716,30.845451035902716,30.85
3,%,%,True,True,South Dakota,South Dakota,303,980,%,895376,30.918367346938773,30.92,30.918367346938773,30.918367346938773,30.92
4,%,%,True,True,Tennessee,Tennessee,2557,8162,%,6975218,31.328105856407745,31.33,31.328105856407745,31.328105856407745,31.33
5,%,%,True,True,Utah,Utah,1580,4999,%,3337975,31.606321264252852,31.61,31.606321264252852,31.606321264252852,31.61
6,%,%,True,True,New Hampshire,New Hampshire,490,1512,%,1388992,32.407407407407405,32.41,32.407407407407405,32.407407407407405,32.41
7,%,%,True,True,Connecticut,Connecticut,1255,3858,%,3605597,32.52980819077242,32.53,32.52980819077242,32.52980819077242,32.53
8,%,%,True,True,Delaware,Delaware,366,1125,%,1003384,32.53333333333333,32.53,32.53333333333333,32.53333333333333,32.53
9,%,%,True,True,Pennsylvania,Pennsylvania,4573,13901,%,12964056,32.89691389108697,32.90,32.89691389108697,32.89691389108697,32.90
10,%,%,True,True,Minnesota,Minnesota,2278,6844,%,5707390,33.284628872004674,33.28,33.284628872004674,33.284628872004674,33.28
11,%,%,True,True,New York,New York,6915,20701,%,19835913,33.404183372783926,33.40,33.404183372783926,33.404183372783926,33.40
12,%,%,True,True,Rhode Island,Rhode Island,342,1023,%,1095610,33.43108504398827,33.43,33.43108504398827,33.43108504398827,33.43
13,%,%,True,True,Illinois,Illinois,4906,14618,%,12671469,33.56136270351621,33.56,33.56136270351621,33.56136270351621,33.56
14,%,%,True,True,New Jersey,New Jersey,3284,9769,%,9267130,33.61654212304227,33.62,33.61654212304227,33.61654212304227,33.62
15,%,%,True,True,California,California,16221,48048,%,39237836,33.75999000999001,33.76,33.75999000999001,33.75999000999001,33.76
16,%,%,True,True,Virginia,Virginia,3462,10251,%,8642274,33.772314896107694,33.77,33.772314896107694,33.772314896107694,33.77
17,%,%,True,True,Maryland,Maryland,2352,6963,%,6165129,33.778543731150364,33.78,33.778543731150364,33.778543731150364,33.78
18,%,%,True,True,Missouri,Missouri,2256,6610,%,6168187,34.130105900151285,34.13,34.130105900151285,34.130105900151285,34.13
19,%,%,True,True,Florida,Florida,7190,20978,%,21781128,34.27400133473162,34.27,34.27400133473162,34.27400133473162,34.27
20,%,%,True,True,Oregon,Oregon,1671,4870,%,4246155,34.31211498973306,34.31,34.31211498973306,34.31211498973306,34.31
21,%,%,True,True,Washington,Washington,3293,9565,%,7738692,34.427600627286985,34.43,34.427600627286985,34.427600627286985,34.43
22,%,%,True,True,Wisconsin,Wisconsin,2257,6549,%,5895908,34.463276836158194,34.46,34.463276836158194,34.463276836158194,34.46
23,%,%,True,True,North Carolina,North Carolina,3663,10604,%,10551162,34.54356846473029,34.54,34.54356846473029,34.54356846473029,34.54
24,%,%,True,True,Nebraska,Nebraska,802,2319,%,1963692,34.58387235877534,34.58,34.58387235877534,34.58387235877534,34.58
25,%,%,True,True,Kentucky,Kentucky,1761,5090,%,4509394,34.59724950884087,34.60,34.59724950884087,34.59724950884087,34.60
26,%,%,True,True,Maine,Maine,493,1414,%,1372247,34.865629420084865,34.87,34.865629420084865,34.865629420084865,34.87
27,%,%,True,True,Idaho,Idaho,693,1986,%,1900923,34.894259818731115,34.89,34.894259818731115,34.894259818731115,34.89
28,%,%,True,True,Michigan,Michigan,3890,11119,%,10050811,34.98516053601943,34.99,34.98516053601943,34.98516053601943,34.99
29,%,%,True,True,Colorado,Colorado,2572,7291,%,5812069,35.276368125085725,35.28,35.276368125085725,35.276368125085725,35.28
30,%,%,True,True,Louisiana,Louisiana,1311,3712,%,4624047,35.317887931034484,35.32,35.317887931034484,35.317887931034484,35.32
31,%,%,True,True,Vermont,Vermont,249,700,%,645570,35.57142857142857,35.57,35.57142857142857,35.57142857142857,35.57
32,%,%,True,True,Oklahoma,Oklahoma,1505,4222,%,3986639,35.646612979630504,35.65,35.646612979630504,35.646612979630504,35.65
33,%,%,True,True,Georgia,Georgia,4265,11940,%,10799566,35.72026800670017,35.72,35.72026800670017,35.72026800670017,35.72
34,%,%,True,True,Indiana,Indiana,3356,9383,%,6805985,35.76681232015347,35.77,35.76681232015347,35.76681232015347,35.77
35,%,%,True,True,North Dakota,North Dakota,315,878,%,774948,35.876993166287015,35.88,35.876993166287015,35.876993166287015,35.88
36,%,%,True,True,Iowa,Iowa,1263,3519,%,3193079,35.89087809036658,35.89,35.89087809036658,35.89087809036658,35.89
37,%,%,True,True,Arizona,Arizona,3444,9594,%,7276316,35.8974358974359,35.90,35.8974358974359,35.8974358974359,35.90
38,%,%,True,True,Texas,Texas,11701,32574,%,29527941,35.92128691594523,35.92,35.92128691594523,35.92128691594523,35.92
39,%,%,True,True,South Carolina,South Carolina,1788,4930,%,5190705,36.267748478701826,36.27,36.267748478701826,36.267748478701826,36.27
40,%,%,True,True,Ohio,Ohio,4676,12870,%,11780017,36.33255633255633,36.33,36.33255633255633,36.33255633255633,36.33
41,%,%,True,True,Kansas,Kansas,1164,3199,%,2934582,36.38637074085651,36.39,36.38637074085651,36.38637074085651,36.39
42,%,%,True,True,Alabama,Alabama,2285,6262,%,5039877,36.4899393165123,36.49,36.4899393165123,36.4899393165123,36.49
43,%,%,True,True,Mississippi,Mississippi,865,2357,%,2949965,36.69919389053882,36.70,36.69919389053882,36.69919389053882,36.70
44,%,%,True,True,Alaska,Alaska,609,1630,%,732673,37.36196319018405,37.36,37.36196319018405,37.36196319018405,37.36
45,%,%,True,True,Arkansas,Arkansas,1213,3244,%,3025891,37.3921085080148,37.39,37.3921085080148,37.3921085080148,37.39
46,%,%,True,True,New Mexico,New Mexico,766,2022,%,2115877,37.88328387734916,37.88,37.88328387734916,37.88328387734916,37.88
