,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Maine,Maine,20,60,%,8892,33.33333333333333,33.33,33.33333333333333,33.33333333333333,33.33
1,%,%,True,True,Oklahoma,Oklahoma,257,752,%,339826,34.17553191489361,34.18,34.17553191489361,34.17553191489361,34.18
2,%,%,True,True,Wyoming,Wyoming,11,32,%,12146,34.375,34.38,34.375,34.375,34.38
3,%,%,True,True,Montana,Montana,50,143,%,66192,34.96503496503497,34.97,34.96503496503497,34.96503496503497,34.97
4,%,%,True,True,New Hampshire,New Hampshire,11,31,%,2960,35.483870967741936,35.48,35.483870967741936,35.483870967741936,35.48
5,%,%,True,True,New Jersey,New Jersey,31,86,%,14320,36.04651162790697,36.05,36.04651162790697,36.04651162790697,36.05
6,%,%,True,True,Utah,Utah,47,122,%,31014,38.52459016393443,38.52,38.52459016393443,38.52459016393443,38.52
7,%,%,True,True,Wisconsin,Wisconsin,84,211,%,52520,39.81042654028436,39.81,39.81042654028436,39.81042654028436,39.81
8,%,%,True,True,Delaware,Delaware,14,35,%,3033,40,40.00,40,40,40.00
9,%,%,True,True,Maryland,Maryland,38,95,%,14865,40,40.00,40,40,40.00
10,%,%,True,True,North Carolina,North Carolina,98,243,%,115825,40.32921810699588,40.33,40.32921810699588,40.32921810699588,40.33
11,%,%,True,True,Iowa,Iowa,54,131,%,9836,41.221374045801525,41.22,41.221374045801525,41.221374045801525,41.22
12,%,%,True,True,Pennsylvania,Pennsylvania,86,203,%,19021,42.364532019704434,42.36,42.364532019704434,42.364532019704434,42.36
13,%,%,True,True,New Mexico,New Mexico,95,222,%,186151,42.792792792792795,42.79,42.792792792792795,42.792792792792795,42.79
14,%,%,True,True,Minnesota,Minnesota,95,221,%,60687,42.98642533936652,42.99,42.98642533936652,42.98642533936652,42.99
15,%,%,True,True,Alaska,Alaska,102,231,%,109039,44.15584415584416,44.16,44.15584415584416,44.15584415584416,44.16
16,%,%,True,True,Kansas,Kansas,61,138,%,23301,44.20289855072464,44.20,44.20289855072464,44.20289855072464,44.20
17,%,%,True,True,California,California,339,764,%,160861,44.3717277486911,44.37,44.3717277486911,44.3717277486911,44.37
18,%,%,True,True,Arizona,Arizona,220,495,%,279130,44.44444444444444,44.44,44.44444444444444,44.44444444444444,44.44
19,%,%,True,True,Washington,Washington,138,310,%,95740,44.516129032258064,44.52,44.516129032258064,44.516129032258064,44.52
20,%,%,True,True,Texas,Texas,218,489,%,96976,44.580777096114524,44.58,44.580777096114524,44.580777096114524,44.58
21,%,%,True,True,South Carolina,South Carolina,34,76,%,19363,44.73684210526316,44.74,44.73684210526316,44.73684210526316,44.74
22,%,%,True,True,Illinois,Illinois,78,173,%,19819,45.08670520231214,45.09,45.08670520231214,45.08670520231214,45.09
23,%,%,True,True,Arkansas,Arkansas,62,137,%,23903,45.25547445255474,45.26,45.25547445255474,45.25547445255474,45.26
24,%,%,True,True,Nebraska,Nebraska,32,70,%,16418,45.714285714285715,45.71,45.714285714285715,45.714285714285715,45.71
25,%,%,True,True,Hawaii,Hawaii,17,37,%,3099,45.94594594594595,45.95,45.94594594594595,45.94594594594595,45.95
26,%,%,True,True,Tennessee,Tennessee,58,126,%,19841,46.03174603174603,46.03,46.03174603174603,46.03174603174603,46.03
27,%,%,True,True,South Dakota,South Dakota,59,127,%,73258,46.45669291338583,46.46,46.45669291338583,46.45669291338583,46.46
28,%,%,True,True,Nevada,Nevada,46,99,%,26502,46.464646464646464,46.46,46.464646464646464,46.464646464646464,46.46
29,%,%,True,True,Virginia,Virginia,48,103,%,23140,46.601941747572816,46.60,46.601941747572816,46.601941747572816,46.60
30,%,%,True,True,Idaho,Idaho,54,115,%,20059,46.95652173913044,46.96,46.95652173913044,46.95652173913044,46.96
31,%,%,True,True,Colorado,Colorado,93,197,%,37197,47.20812182741117,47.21,47.20812182741117,47.20812182741117,47.21
