,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,14,76,%,29628,18.421052631578945,18.42,18.421052631578945,18.421052631578945,18.42
1,%,%,True,True,Rhode Island,Rhode Island,10,41,%,39360,24.390243902439025,24.39,24.390243902439025,24.390243902439025,24.39
2,%,%,True,True,Delaware,Delaware,25,83,%,41957,30.120481927710845,30.12,30.120481927710845,30.120481927710845,30.12
3,%,%,True,True,Massachusetts,Massachusetts,197,628,%,520119,31.369426751592357,31.37,31.369426751592357,31.369426751592357,31.37
4,%,%,True,True,Michigan,Michigan,141,449,%,341843,31.403118040089083,31.40,31.403118040089083,31.403118040089083,31.40
5,%,%,True,True,Pennsylvania,Pennsylvania,173,549,%,503783,31.51183970856102,31.51,31.51183970856102,31.51183970856102,31.51
6,%,%,True,True,Washington,Washington,360,1108,%,813284,32.49097472924188,32.49,32.49097472924188,32.49097472924188,32.49
7,%,%,True,True,Utah,Utah,56,172,%,119717,32.55813953488372,32.56,32.55813953488372,32.55813953488372,32.56
8,%,%,True,True,New Jersey,New Jersey,345,1057,%,942292,32.63954588457899,32.64,32.63954588457899,32.63954588457899,32.64
9,%,%,True,True,Kansas,Kansas,37,113,%,94576,32.743362831858406,32.74,32.743362831858406,32.743362831858406,32.74
10,%,%,True,True,Illinois,Illinois,285,866,%,756590,32.90993071593534,32.91,32.90993071593534,32.90993071593534,32.91
11,%,%,True,True,California,California,2386,7238,%,6136428,32.96490743299254,32.96,32.96490743299254,32.96490743299254,32.96
12,%,%,True,True,Oklahoma,Oklahoma,45,135,%,102892,33.33333333333333,33.33,33.33333333333333,33.33333333333333,33.33
13,%,%,True,True,Maryland,Maryland,165,495,%,421227,33.33333333333333,33.33,33.33333333333333,33.33333333333333,33.33
14,%,%,True,True,New Hampshire,New Hampshire,16,48,%,42740,33.33333333333333,33.33,33.33333333333333,33.33333333333333,33.33
15,%,%,True,True,Wisconsin,Wisconsin,77,229,%,185474,33.624454148471614,33.62,33.624454148471614,33.624454148471614,33.62
16,%,%,True,True,Texas,Texas,657,1934,%,1584396,33.971044467425024,33.97,33.971044467425024,33.971044467425024,33.97
