,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,New Mexico,New Mexico,8,41,%,41152,19.51219512195122,19.51,19.51219512195122,19.51219512195122,19.51
1,%,%,True,True,New Hampshire,New Hampshire,10,32,%,21519,31.25,31.25,31.25,31.25,31.25
2,%,%,True,True,Mississippi,Mississippi,224,710,%,1107951,31.549295774647888,31.55,31.549295774647888,31.549295774647888,31.55
3,%,%,True,True,District of Columbia,District of Columbia,71,215,%,295889,33.02325581395349,33.02,33.02325581395349,33.02325581395349,33.02
4,%,%,True,True,Louisiana,Louisiana,258,763,%,1499002,33.81389252948886,33.81,33.81389252948886,33.81389252948886,33.81
5,%,%,True,True,Washington,Washington,97,283,%,316727,34.275618374558306,34.28,34.275618374558306,34.275618374558306,34.28
6,%,%,True,True,Delaware,Delaware,74,215,%,223935,34.418604651162795,34.42,34.418604651162795,34.418604651162795,34.42
7,%,%,True,True,South Carolina,South Carolina,312,882,%,1352562,35.374149659863946,35.37,35.374149659863946,35.374149659863946,35.37
8,%,%,True,True,Connecticut,Connecticut,122,343,%,382977,35.56851311953353,35.57,35.56851311953353,35.56851311953353,35.57
9,%,%,True,True,Maryland,Maryland,511,1426,%,1862521,35.83450210378681,35.83,35.83450210378681,35.83450210378681,35.83
10,%,%,True,True,Kentucky,Kentucky,103,287,%,377275,35.88850174216028,35.89,35.88850174216028,35.88850174216028,35.89
11,%,%,True,True,Arkansas,Arkansas,105,292,%,466227,35.95890410958904,35.96,35.95890410958904,35.95890410958904,35.96
12,%,%,True,True,California,California,725,2013,%,2200126,36.01589667163438,36.02,36.01589667163438,36.01589667163438,36.02
13,%,%,True,True,Kansas,Kansas,56,155,%,168790,36.12903225806451,36.13,36.12903225806451,36.12903225806451,36.13
14,%,%,True,True,Nebraska,Nebraska,34,94,%,97729,36.17021276595745,36.17,36.17021276595745,36.17021276595745,36.17
15,%,%,True,True,Illinois,Illinois,450,1239,%,1791229,36.31961259079903,36.32,36.31961259079903,36.31961259079903,36.32
16,%,%,True,True,Missouri,Missouri,189,519,%,711459,36.41618497109826,36.42,36.41618497109826,36.41618497109826,36.42
17,%,%,True,True,Utah,Utah,30,82,%,39687,36.58536585365854,36.59,36.58536585365854,36.58536585365854,36.59
18,%,%,True,True,Alabama,Alabama,280,765,%,1336172,36.60130718954248,36.60,36.60130718954248,36.60130718954248,36.60
19,%,%,True,True,New York,New York,745,2030,%,2857575,36.69950738916256,36.70,36.69950738916256,36.69950738916256,36.70
20,%,%,True,True,Indiana,Indiana,214,583,%,667291,36.706689536878216,36.71,36.706689536878216,36.706689536878216,36.71
21,%,%,True,True,Texas,Texas,1056,2876,%,3630643,36.71766342141864,36.72,36.71766342141864,36.71766342141864,36.72
22,%,%,True,True,Georgia,Georgia,947,2570,%,3451256,36.84824902723736,36.85,36.84824902723736,36.84824902723736,36.85
23,%,%,True,True,Tennessee,Tennessee,268,724,%,1158262,37.01657458563536,37.02,37.01657458563536,37.01657458563536,37.02
24,%,%,True,True,North Carolina,North Carolina,574,1523,%,2248971,37.68877216021011,37.69,37.68877216021011,37.68877216021011,37.69
25,%,%,True,True,New Jersey,New Jersey,352,932,%,1205848,37.76824034334764,37.77,37.76824034334764,37.76824034334764,37.77
26,%,%,True,True,Virginia,Virginia,467,1228,%,1657724,38.02931596091205,38.03,38.02931596091205,38.02931596091205,38.03
27,%,%,True,True,Michigan,Michigan,389,1015,%,1383769,38.32512315270936,38.33,38.32512315270936,38.32512315270936,38.33
28,%,%,True,True,Florida,Florida,858,2234,%,3386309,38.406445837063565,38.41,38.406445837063565,38.406445837063565,38.41
29,%,%,True,True,Rhode Island,Rhode Island,21,54,%,68125,38.88888888888889,38.89,38.88888888888889,38.88888888888889,38.89
30,%,%,True,True,Oklahoma,Oklahoma,97,249,%,296154,38.95582329317269,38.96,38.95582329317269,38.95582329317269,38.96
31,%,%,True,True,West Virginia,West Virginia,20,51,%,64063,39.21568627450981,39.22,39.21568627450981,39.21568627450981,39.22
32,%,%,True,True,Colorado,Colorado,117,297,%,237929,39.39393939393939,39.39,39.39393939393939,39.39393939393939,39.39
33,%,%,True,True,Hawaii,Hawaii,21,53,%,27691,39.62264150943396,39.62,39.62264150943396,39.62264150943396,39.62
34,%,%,True,True,North Dakota,North Dakota,6,15,%,25870,40,40.00,40,40,40.00
35,%,%,True,True,Massachusetts,Massachusetts,160,399,%,522609,40.100250626566414,40.10,40.100250626566414,40.100250626566414,40.10
36,%,%,True,True,Ohio,Ohio,475,1173,%,1510741,40.49445865302643,40.49,40.49445865302643,40.49445865302643,40.49
37,%,%,True,True,Pennsylvania,Pennsylvania,410,1008,%,1416684,40.67460317460318,40.67,40.67460317460318,40.67460317460318,40.67
38,%,%,True,True,Minnesota,Minnesota,156,383,%,409602,40.73107049608355,40.73,40.73107049608355,40.73107049608355,40.73
39,%,%,True,True,Arizona,Arizona,163,398,%,339424,40.95477386934673,40.95,40.95477386934673,40.95477386934673,40.95
40,%,%,True,True,Wisconsin,Wisconsin,118,288,%,378263,40.97222222222222,40.97,40.97222222222222,40.97222222222222,40.97
41,%,%,True,True,Nevada,Nevada,105,253,%,301273,41.50197628458498,41.50,41.50197628458498,41.50197628458498,41.50
42,%,%,True,True,Vermont,Vermont,5,12,%,8685,41.66666666666667,41.67,41.66666666666667,41.66666666666667,41.67
43,%,%,True,True,Iowa,Iowa,60,132,%,131303,45.45454545454545,45.45,45.45454545454545,45.45454545454545,45.45
44,%,%,True,True,South Dakota,South Dakota,10,21,%,20987,47.61904761904761,47.62,47.61904761904761,47.61904761904761,47.62
45,%,%,True,True,Oregon,Oregon,53,110,%,84565,48.18181818181818,48.18,48.18181818181818,48.18181818181818,48.18
46,%,%,True,True,Idaho,Idaho,16,33,%,14597,48.484848484848484,48.48,48.484848484848484,48.484848484848484,48.48
47,%,%,True,True,Alaska,Alaska,19,39,%,23681,48.717948717948715,48.72,48.717948717948715,48.717948717948715,48.72
48,%,%,True,True,Maine,Maine,17,31,%,23559,54.83870967741935,54.84,54.83870967741935,54.83870967741935,54.84
49,%,%,True,True,Montana,Montana,10,15,%,6138,66.66666666666666,66.67,66.66666666666666,66.66666666666666,66.67
