,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,North Dakota,North Dakota,9,32,%,34335,28.125,28.13,28.125,28.125,28.13
1,%,%,True,True,Vermont,Vermont,8,26,%,14384,30.76923076923077,30.77,30.76923076923077,30.76923076923077,30.77
2,%,%,True,True,Minnesota,Minnesota,102,322,%,333474,31.67701863354037,31.68,31.67701863354037,31.67701863354037,31.68
3,%,%,True,True,West Virginia,West Virginia,11,34,%,33684,32.35294117647059,32.35,32.35294117647059,32.35294117647059,32.35
4,%,%,True,True,Nebraska,Nebraska,67,203,%,235669,33.004926108374384,33.00,33.004926108374384,33.004926108374384,33.00
5,%,%,True,True,Louisiana,Louisiana,56,162,%,258338,34.5679012345679,34.57,34.5679012345679,34.5679012345679,34.57
6,%,%,True,True,Hawaii,Hawaii,33,95,%,160134,34.73684210526316,34.74,34.73684210526316,34.73684210526316,34.74
7,%,%,True,True,California,California,3944,11320,%,15754605,34.840989399293285,34.84,34.840989399293285,34.840989399293285,34.84
8,%,%,True,True,Alaska,Alaska,21,60,%,54732,35,35.00,35,35,35.00
9,%,%,True,True,Wyoming,Wyoming,14,40,%,61087,35,35.00,35,35,35.00
10,%,%,True,True,Colorado,Colorado,388,1100,%,1293214,35.27272727272727,35.27,35.27272727272727,35.27272727272727,35.27
11,%,%,True,True,Pennsylvania,Pennsylvania,274,770,%,1084634,35.58441558441559,35.58,35.58441558441559,35.58441558441559,35.58
12,%,%,True,True,North Carolina,North Carolina,290,810,%,1078224,35.80246913580247,35.80,35.80246913580247,35.80246913580247,35.80
13,%,%,True,True,Michigan,Michigan,166,463,%,561587,35.85313174946004,35.85,35.85313174946004,35.85313174946004,35.85
14,%,%,True,True,Utah,Utah,181,499,%,493636,36.27254509018036,36.27,36.27254509018036,36.27254509018036,36.27
15,%,%,True,True,Delaware,Delaware,41,113,%,101213,36.283185840707965,36.28,36.283185840707965,36.283185840707965,36.28
16,%,%,True,True,Idaho,Idaho,81,221,%,251919,36.65158371040724,36.65,36.65158371040724,36.65158371040724,36.65
17,%,%,True,True,Illinois,Illinois,652,1758,%,2282133,37.087599544937426,37.09,37.087599544937426,37.087599544937426,37.09
18,%,%,True,True,Rhode Island,Rhode Island,46,124,%,187776,37.096774193548384,37.10,37.096774193548384,37.096774193548384,37.10
19,%,%,True,True,Florida,Florida,1421,3827,%,5830908,37.13091194146851,37.13,37.13091194146851,37.13091194146851,37.13
20,%,%,True,True,Mississippi,Mississippi,28,75,%,102936,37.333333333333336,37.33,37.333333333333336,37.333333333333336,37.33
21,%,%,True,True,Indiana,Indiana,185,494,%,522944,37.449392712550605,37.45,37.449392712550605,37.449392712550605,37.45
22,%,%,True,True,New York,New York,931,2481,%,3868268,37.52519145505844,37.53,37.52519145505844,37.52519145505844,37.53
23,%,%,True,True,Texas,Texas,3228,8577,%,11857401,37.63553690101434,37.64,37.63553690101434,37.63553690101434,37.64
24,%,%,True,True,Arizona,Arizona,685,1819,%,2351122,37.65805387575591,37.66,37.65805387575591,37.65805387575591,37.66
25,%,%,True,True,Kansas,Kansas,102,270,%,374093,37.77777777777778,37.78,37.77777777777778,37.77777777777778,37.78
26,%,%,True,True,Oklahoma,Oklahoma,117,308,%,467249,37.98701298701299,37.99,37.98701298701299,37.98701298701299,37.99
27,%,%,True,True,Nevada,Nevada,238,623,%,940757,38.20224719101123,38.20,38.20224719101123,38.20224719101123,38.20
28,%,%,True,True,District of Columbia,District of Columbia,33,86,%,76919,38.372093023255815,38.37,38.372093023255815,38.372093023255815,38.37
29,%,%,True,True,Virginia,Virginia,265,690,%,882402,38.405797101449274,38.41,38.405797101449274,38.405797101449274,38.41
30,%,%,True,True,Missouri,Missouri,93,242,%,287125,38.429752066115704,38.43,38.429752066115704,38.429752066115704,38.43
31,%,%,True,True,New Jersey,New Jersey,552,1421,%,1991638,38.84588318085855,38.85,38.84588318085855,38.84588318085855,38.85
32,%,%,True,True,Massachusetts,Massachusetts,270,693,%,897349,38.961038961038966,38.96,38.961038961038966,38.961038961038966,38.96
33,%,%,True,True,Connecticut,Connecticut,192,491,%,637112,39.103869653767816,39.10,39.103869653767816,39.103869653767816,39.10
34,%,%,True,True,Oregon,Oregon,178,453,%,596517,39.29359823399559,39.29,39.29359823399559,39.29359823399559,39.29
35,%,%,True,True,Wisconsin,Wisconsin,165,417,%,442517,39.568345323741006,39.57,39.568345323741006,39.568345323741006,39.57
36,%,%,True,True,Maryland,Maryland,211,533,%,684437,39.587242026266416,39.59,39.587242026266416,39.587242026266416,39.59
37,%,%,True,True,New Mexico,New Mexico,259,651,%,1059242,39.784946236559136,39.78,39.784946236559136,39.784946236559136,39.78
38,%,%,True,True,Georgia,Georgia,362,901,%,1104836,40.17758046614872,40.18,40.17758046614872,40.17758046614872,40.18
39,%,%,True,True,Tennessee,Tennessee,123,300,%,425839,41,41.00,41,41,41.00
40,%,%,True,True,Washington,Washington,293,711,%,1059156,41.20956399437412,41.21,41.20956399437412,41.20956399437412,41.21
41,%,%,True,True,South Carolina,South Carolina,114,275,%,330096,41.45454545454545,41.45,41.45454545454545,41.45454545454545,41.45
42,%,%,True,True,New Hampshire,New Hampshire,22,52,%,60873,42.30769230769231,42.31,42.30769230769231,42.30769230769231,42.31
43,%,%,True,True,Arkansas,Arkansas,86,203,%,251277,42.364532019704434,42.36,42.364532019704434,42.364532019704434,42.36
44,%,%,True,True,Iowa,Iowa,90,212,%,215119,42.45283018867924,42.45,42.45283018867924,42.45283018867924,42.45
45,%,%,True,True,Alabama,Alabama,90,207,%,241168,43.47826086956522,43.48,43.47826086956522,43.47826086956522,43.48
