,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,14,50,%,16480,28.000000000000004,28.00,28.000000000000004,28.000000000000004,28.00
1,%,%,True,True,Louisiana,Louisiana,43,120,%,74216,35.833333333333336,35.83,35.833333333333336,35.833333333333336,35.83
2,%,%,True,True,Montana,Montana,14,39,%,28810,35.8974358974359,35.90,35.8974358974359,35.8974358974359,35.90
3,%,%,True,True,South Dakota,South Dakota,14,38,%,20807,36.84210526315789,36.84,36.84210526315789,36.84210526315789,36.84
4,%,%,True,True,Connecticut,Connecticut,72,195,%,68017,36.92307692307693,36.92,36.92307692307693,36.92307692307693,36.92
5,%,%,True,True,Wyoming,Wyoming,10,27,%,11050,37.03703703703704,37.04,37.03703703703704,37.03703703703704,37.04
6,%,%,True,True,Indiana,Indiana,105,281,%,139946,37.36654804270463,37.37,37.36654804270463,37.36654804270463,37.37
7,%,%,True,True,New Hampshire,New Hampshire,18,46,%,22716,39.130434782608695,39.13,39.130434782608695,39.130434782608695,39.13
8,%,%,True,True,Hawaii,Hawaii,78,199,%,291001,39.19597989949749,39.20,39.19597989949749,39.19597989949749,39.20
9,%,%,True,True,Vermont,Vermont,11,28,%,12316,39.285714285714285,39.29,39.285714285714285,39.285714285714285,39.29
10,%,%,True,True,Oregon,Oregon,109,277,%,148706,39.35018050541516,39.35,39.35018050541516,39.35018050541516,39.35
11,%,%,True,True,Washington,Washington,225,568,%,342530,39.61267605633803,39.61,39.61267605633803,39.61267605633803,39.61
12,%,%,True,True,Missouri,Missouri,100,251,%,143689,39.8406374501992,39.84,39.8406374501992,39.8406374501992,39.84
13,%,%,True,True,Nebraska,Nebraska,49,120,%,40407,40.833333333333336,40.83,40.833333333333336,40.833333333333336,40.83
14,%,%,True,True,New Jersey,New Jersey,161,394,%,152237,40.86294416243655,40.86,40.86294416243655,40.86294416243655,40.86
15,%,%,True,True,Utah,Utah,76,184,%,76033,41.30434782608695,41.30,41.30434782608695,41.30434782608695,41.30
16,%,%,True,True,Delaware,Delaware,32,77,%,25193,41.55844155844156,41.56,41.55844155844156,41.55844155844156,41.56
17,%,%,True,True,California,California,1127,2678,%,1170491,42.083644510828975,42.08,42.083644510828975,42.083644510828975,42.08
18,%,%,True,True,Illinois,Illinois,216,507,%,224432,42.60355029585799,42.60,42.60355029585799,42.60355029585799,42.60
19,%,%,True,True,Michigan,Michigan,174,403,%,243379,43.17617866004963,43.18,43.17617866004963,43.17617866004963,43.18
20,%,%,True,True,Tennessee,Tennessee,118,272,%,134263,43.38235294117647,43.38,43.38235294117647,43.38235294117647,43.38
21,%,%,True,True,Wisconsin,Wisconsin,93,214,%,109888,43.45794392523364,43.46,43.45794392523364,43.45794392523364,43.46
22,%,%,True,True,Rhode Island,Rhode Island,20,46,%,24311,43.47826086956522,43.48,43.47826086956522,43.47826086956522,43.48
23,%,%,True,True,Pennsylvania,Pennsylvania,196,448,%,238808,43.75,43.75,43.75,43.75,43.75
24,%,%,True,True,Arizona,Arizona,189,430,%,163394,43.95348837209303,43.95,43.95348837209303,43.95348837209303,43.95
25,%,%,True,True,North Dakota,North Dakota,11,25,%,16837,44,44.00,44,44,44.00
26,%,%,True,True,Iowa,Iowa,50,113,%,59427,44.24778761061947,44.25,44.24778761061947,44.24778761061947,44.25
27,%,%,True,True,New York,New York,388,874,%,378698,44.39359267734554,44.39,44.39359267734554,44.39359267734554,44.39
28,%,%,True,True,Colorado,Colorado,180,405,%,144152,44.44444444444444,44.44,44.44444444444444,44.44444444444444,44.44
29,%,%,True,True,Nevada,Nevada,103,231,%,118795,44.58874458874459,44.59,44.58874458874459,44.58874458874459,44.59
30,%,%,True,True,West Virginia,West Virginia,25,56,%,33519,44.642857142857146,44.64,44.642857142857146,44.642857142857146,44.64
31,%,%,True,True,Texas,Texas,637,1426,%,473467,44.67040673211781,44.67,44.67040673211781,44.67040673211781,44.67
32,%,%,True,True,Mississippi,Mississippi,30,67,%,37834,44.776119402985074,44.78,44.776119402985074,44.776119402985074,44.78
33,%,%,True,True,New Mexico,New Mexico,41,91,%,33832,45.05494505494506,45.05,45.05494505494506,45.05494505494506,45.05
34,%,%,True,True,Oklahoma,Oklahoma,116,257,%,235733,45.13618677042802,45.14,45.13618677042802,45.13618677042802,45.14
35,%,%,True,True,Georgia,Georgia,228,504,%,217873,45.23809523809524,45.24,45.23809523809524,45.23809523809524,45.24
36,%,%,True,True,Massachusetts,Massachusetts,124,274,%,137083,45.25547445255474,45.26,45.25547445255474,45.25547445255474,45.26
37,%,%,True,True,Maine,Maine,24,53,%,24338,45.28301886792453,45.28,45.28301886792453,45.28301886792453,45.28
38,%,%,True,True,Florida,Florida,437,957,%,390375,45.66353187042842,45.66,45.66353187042842,45.66353187042842,45.66
39,%,%,True,True,Ohio,Ohio,221,480,%,274463,46.041666666666664,46.04,46.041666666666664,46.041666666666664,46.04
40,%,%,True,True,North Carolina,North Carolina,220,473,%,225732,46.51162790697674,46.51,46.51162790697674,46.51162790697674,46.51
41,%,%,True,True,Virginia,Virginia,294,628,%,250775,46.81528662420382,46.82,46.81528662420382,46.81528662420382,46.82
42,%,%,True,True,Arkansas,Arkansas,64,134,%,63545,47.76119402985074,47.76,47.76119402985074,47.76119402985074,47.76
43,%,%,True,True,South Carolina,South Carolina,108,226,%,98263,47.78761061946903,47.79,47.78761061946903,47.78761061946903,47.79
44,%,%,True,True,Minnesota,Minnesota,139,290,%,139747,47.93103448275862,47.93,47.93103448275862,47.93103448275862,47.93
45,%,%,True,True,Kentucky,Kentucky,91,187,%,90573,48.663101604278076,48.66,48.663101604278076,48.663101604278076,48.66
46,%,%,True,True,Maryland,Maryland,149,305,%,161497,48.85245901639344,48.85,48.85245901639344,48.85245901639344,48.85
47,%,%,True,True,Alabama,Alabama,84,171,%,86070,49.122807017543856,49.12,49.122807017543856,49.122807017543856,49.12
48,%,%,True,True,Kansas,Kansas,76,153,%,81605,49.673202614379086,49.67,49.673202614379086,49.673202614379086,49.67
49,%,%,True,True,Idaho,Idaho,47,93,%,41056,50.53763440860215,50.54,50.53763440860215,50.53763440860215,50.54
50,%,%,True,True,Alaska,Alaska,36,67,%,52262,53.73134328358209,53.73,53.73134328358209,53.73134328358209,53.73
