,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,67,327,%,249751,20.489296636085626,20.49,20.489296636085626,20.489296636085626,20.49
1,%,%,True,True,Vermont,Vermont,162,597,%,595151,27.1356783919598,27.14,27.1356783919598,27.1356783919598,27.14
2,%,%,True,True,Utah,Utah,985,3343,%,2577888,29.46455279688902,29.46,29.46455279688902,29.46455279688902,29.46
3,%,%,True,True,New Jersey,New Jersey,932,3152,%,4960795,29.56852791878173,29.57,29.56852791878173,29.56852791878173,29.57
4,%,%,True,True,North Carolina,North Carolina,1609,5416,%,6528578,29.708271787296898,29.71,29.708271787296898,29.708271787296898,29.71
5,%,%,True,True,New Hampshire,New Hampshire,307,1029,%,1238184,29.834791059280857,29.83,29.834791059280857,29.834791059280857,29.83
6,%,%,True,True,New York,New York,2286,7612,%,10858889,30.03152916447714,30.03,30.03152916447714,30.03152916447714,30.03
7,%,%,True,True,Maryland,Maryland,699,2298,%,3020582,30.417754569190603,30.42,30.417754569190603,30.417754569190603,30.42
8,%,%,True,True,Minnesota,Minnesota,1220,3998,%,4458035,30.515257628814407,30.52,30.515257628814407,30.515257628814407,30.52
9,%,%,True,True,Massachusetts,Massachusetts,1145,3717,%,4894728,30.804412160344363,30.80,30.804412160344363,30.804412160344363,30.80
10,%,%,True,True,Illinois,Illinois,1866,6019,%,7597266,31.001827546104003,31.00,31.001827546104003,31.001827546104003,31.00
11,%,%,True,True,California,California,3254,10431,%,13815325,31.195475026363724,31.20,31.195475026363724,31.195475026363724,31.20
12,%,%,True,True,Virginia,Virginia,1401,4482,%,5213717,31.258366800535477,31.26,31.258366800535477,31.258366800535477,31.26
13,%,%,True,True,Nebraska,Nebraska,472,1509,%,1519341,31.27899271040424,31.28,31.27899271040424,31.27899271040424,31.28
14,%,%,True,True,Pennsylvania,Pennsylvania,2440,7694,%,9701126,31.71302313491032,31.71,31.71302313491032,31.71302313491032,31.71
15,%,%,True,True,Indiana,Indiana,1702,5364,%,5276416,31.730052199850856,31.73,31.730052199850856,31.730052199850856,31.73
16,%,%,True,True,Mississippi,Mississippi,483,1518,%,1652517,31.818181818181817,31.82,31.818181818181817,31.818181818181817,31.82
17,%,%,True,True,South Carolina,South Carolina,876,2753,%,3290272,31.819832909553213,31.82,31.819832909553213,31.819832909553213,31.82
