,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,12,33,%,1383,36.36363636363637,36.36,36.36363636363637,36.36363636363637,36.36
1,%,%,True,True,Oklahoma,Oklahoma,856,2350,%,339826,36.42553191489362,36.43,36.42553191489362,36.42553191489362,36.43
2,%,%,True,True,Arizona,Arizona,736,1880,%,279130,39.148936170212764,39.15,39.148936170212764,39.148936170212764,39.15
3,%,%,True,True,Alaska,Alaska,262,650,%,109039,40.30769230769231,40.31,40.30769230769231,40.30769230769231,40.31
4,%,%,True,True,Wyoming,Wyoming,49,118,%,12146,41.52542372881356,41.53,41.52542372881356,41.52542372881356,41.53
5,%,%,True,True,Utah,Utah,153,368,%,31014,41.57608695652174,41.58,41.57608695652174,41.57608695652174,41.58
6,%,%,True,True,Maryland,Maryland,99,237,%,14865,41.77215189873418,41.77,41.77215189873418,41.77215189873418,41.77
7,%,%,True,True,Montana,Montana,181,433,%,66192,41.801385681293304,41.80,41.801385681293304,41.801385681293304,41.80
8,%,%,True,True,New Mexico,New Mexico,309,732,%,186151,42.21311475409836,42.21,42.21311475409836,42.21311475409836,42.21
9,%,%,True,True,North Carolina,North Carolina,296,700,%,115825,42.285714285714285,42.29,42.285714285714285,42.285714285714285,42.29
10,%,%,True,True,Kansas,Kansas,162,376,%,23301,43.08510638297872,43.09,43.08510638297872,43.08510638297872,43.09
11,%,%,True,True,California,California,1011,2334,%,160861,43.31619537275064,43.32,43.31619537275064,43.31619537275064,43.32
12,%,%,True,True,Nevada,Nevada,121,278,%,26502,43.52517985611511,43.53,43.52517985611511,43.52517985611511,43.53
13,%,%,True,True,Wisconsin,Wisconsin,271,616,%,52520,43.993506493506494,43.99,43.993506493506494,43.993506493506494,43.99
14,%,%,True,True,Connecticut,Connecticut,75,170,%,8111,44.11764705882353,44.12,44.11764705882353,44.11764705882353,44.12
15,%,%,True,True,Washington,Washington,440,993,%,95740,44.31017119838872,44.31,44.31017119838872,44.31017119838872,44.31
16,%,%,True,True,New Jersey,New Jersey,120,269,%,14320,44.60966542750929,44.61,44.60966542750929,44.60966542750929,44.61
17,%,%,True,True,South Dakota,South Dakota,206,461,%,73258,44.68546637744035,44.69,44.68546637744035,44.68546637744035,44.69
18,%,%,True,True,Iowa,Iowa,133,296,%,9836,44.932432432432435,44.93,44.932432432432435,44.932432432432435,44.93
19,%,%,True,True,Oregon,Oregon,250,556,%,46873,44.96402877697842,44.96,44.96402877697842,44.96402877697842,44.96
20,%,%,True,True,Maine,Maine,82,182,%,8892,45.05494505494506,45.05,45.05494505494506,45.05494505494506,45.05
21,%,%,True,True,Minnesota,Minnesota,321,711,%,60687,45.14767932489451,45.15,45.14767932489451,45.14767932489451,45.15
22,%,%,True,True,Idaho,Idaho,144,317,%,20059,45.42586750788644,45.43,45.42586750788644,45.42586750788644,45.43
23,%,%,True,True,Virginia,Virginia,152,330,%,23140,46.06060606060606,46.06,46.06060606060606,46.06060606060606,46.06
24,%,%,True,True,Texas,Texas,663,1428,%,96976,46.42857142857143,46.43,46.42857142857143,46.42857142857143,46.43
