,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,114,381,%,29628,29.92125984251969,29.92,29.92125984251969,29.92125984251969,29.92
1,%,%,True,True,Massachusetts,Massachusetts,992,3140,%,520119,31.59235668789809,31.59,31.59235668789809,31.59235668789809,31.59
2,%,%,True,True,Michigan,Michigan,765,2323,%,341843,32.93155402496771,32.93,32.93155402496771,32.93155402496771,32.93
3,%,%,True,True,Illinois,Illinois,1507,4559,%,756590,33.05549462601448,33.06,33.05549462601448,33.05549462601448,33.06
4,%,%,True,True,New Jersey,New Jersey,1692,5090,%,942292,33.24165029469548,33.24,33.24165029469548,33.24165029469548,33.24
5,%,%,True,True,Washington,Washington,1806,5347,%,813284,33.77594913035347,33.78,33.77594913035347,33.77594913035347,33.78
6,%,%,True,True,Pennsylvania,Pennsylvania,1028,3043,%,503783,33.782451528097276,33.78,33.782451528097276,33.782451528097276,33.78
7,%,%,True,True,Virginia,Virginia,1332,3937,%,614516,33.832867665735336,33.83,33.832867665735336,33.832867665735336,33.83
8,%,%,True,True,California,California,12003,35464,%,6136428,33.84558989397699,33.85,33.84558989397699,33.84558989397699,33.85
9,%,%,True,True,Connecticut,Connecticut,427,1261,%,179054,33.86201427438541,33.86,33.86201427438541,33.86201427438541,33.86
10,%,%,True,True,Maryland,Maryland,872,2575,%,421227,33.86407766990291,33.86,33.86407766990291,33.86407766990291,33.86
11,%,%,True,True,Ohio,Ohio,675,1965,%,313413,34.35114503816794,34.35,34.35114503816794,34.35114503816794,34.35
12,%,%,True,True,Texas,Texas,3347,9651,%,1584396,34.6803440058025,34.68,34.6803440058025,34.6803440058025,34.68
13,%,%,True,True,Tennessee,Tennessee,322,925,%,139839,34.81081081081081,34.81,34.81081081081081,34.81081081081081,34.81
14,%,%,True,True,Rhode Island,Rhode Island,99,283,%,39360,34.98233215547703,34.98,34.98233215547703,34.98233215547703,34.98
15,%,%,True,True,Utah,Utah,383,1093,%,119717,35.04117108874657,35.04,35.04117108874657,35.04117108874657,35.04
16,%,%,True,True,Kansas,Kansas,248,703,%,94576,35.2773826458037,35.28,35.2773826458037,35.2773826458037,35.28
17,%,%,True,True,North Carolina,North Carolina,724,2047,%,353832,35.36883243771373,35.37,35.36883243771373,35.36883243771373,35.37
18,%,%,True,True,Oregon,Oregon,529,1486,%,221414,35.598923283983844,35.60,35.598923283983844,35.598923283983844,35.60
19,%,%,True,True,Nebraska,Nebraska,155,435,%,54128,35.63218390804598,35.63,35.63218390804598,35.63218390804598,35.63
20,%,%,True,True,Minnesota,Minnesota,798,2231,%,305845,35.76871358135365,35.77,35.76871358135365,35.76871358135365,35.77
21,%,%,True,True,Hawaii,Hawaii,1572,4383,%,651433,35.865845311430526,35.87,35.865845311430526,35.865845311430526,35.87
