,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,389,1225,%,295889,31.755102040816325,31.76,31.755102040816325,31.755102040816325,31.76
1,%,%,True,True,New Hampshire,New Hampshire,42,131,%,21519,32.06106870229007,32.06,32.06106870229007,32.06106870229007,32.06
2,%,%,True,True,Mississippi,Mississippi,1329,4005,%,1107951,33.18352059925094,33.18,33.18352059925094,33.18352059925094,33.18
3,%,%,True,True,North Carolina,North Carolina,2886,8466,%,2248971,34.08929836995039,34.09,34.08929836995039,34.08929836995039,34.09
4,%,%,True,True,New Mexico,New Mexico,69,198,%,41152,34.84848484848485,34.85,34.84848484848485,34.84848484848485,34.85
5,%,%,True,True,Virginia,Virginia,2462,7023,%,1657724,35.05624377046846,35.06,35.05624377046846,35.05624377046846,35.06
6,%,%,True,True,Maryland,Maryland,2790,7953,%,1862521,35.081101471142965,35.08,35.081101471142965,35.081101471142965,35.08
7,%,%,True,True,Tennessee,Tennessee,1441,4103,%,1158262,35.120643431635386,35.12,35.120643431635386,35.120643431635386,35.12
8,%,%,True,True,New York,New York,4049,11452,%,2857575,35.35626964722319,35.36,35.35626964722319,35.35626964722319,35.36
9,%,%,True,True,Missouri,Missouri,996,2809,%,711459,35.45745817016732,35.46,35.45745817016732,35.45745817016732,35.46
10,%,%,True,True,South Carolina,South Carolina,1633,4604,%,1352562,35.46915725456125,35.47,35.46915725456125,35.46915725456125,35.47
11,%,%,True,True,Texas,Texas,5567,15562,%,3630643,35.77303688471919,35.77,35.77303688471919,35.77303688471919,35.77
12,%,%,True,True,Arkansas,Arkansas,593,1648,%,466227,35.98300970873786,35.98,35.98300970873786,35.98300970873786,35.98
13,%,%,True,True,California,California,3861,10698,%,2200126,36.09085810431856,36.09,36.09085810431856,36.09085810431856,36.09
14,%,%,True,True,Georgia,Georgia,5058,13880,%,3451256,36.44092219020173,36.44,36.44092219020173,36.44092219020173,36.44
15,%,%,True,True,Delaware,Delaware,399,1092,%,223935,36.53846153846153,36.54,36.53846153846153,36.53846153846153,36.54
16,%,%,True,True,Connecticut,Connecticut,663,1806,%,382977,36.7109634551495,36.71,36.7109634551495,36.7109634551495,36.71
17,%,%,True,True,Illinois,Illinois,2641,7166,%,1791229,36.85459112475579,36.85,36.85459112475579,36.85459112475579,36.85
18,%,%,True,True,Kentucky,Kentucky,572,1549,%,377275,36.92704970948999,36.93,36.92704970948999,36.92704970948999,36.93
19,%,%,True,True,West Virginia,West Virginia,106,287,%,64063,36.933797909407666,36.93,36.933797909407666,36.933797909407666,36.93
20,%,%,True,True,Kansas,Kansas,322,869,%,168790,37.05408515535098,37.05,37.05408515535098,37.05408515535098,37.05
21,%,%,True,True,Utah,Utah,117,315,%,39687,37.142857142857146,37.14,37.142857142857146,37.142857142857146,37.14
22,%,%,True,True,Florida,Florida,4614,12387,%,3386309,37.24872850569145,37.25,37.24872850569145,37.24872850569145,37.25
23,%,%,True,True,Pennsylvania,Pennsylvania,2110,5662,%,1416684,37.26598375132462,37.27,37.26598375132462,37.26598375132462,37.27
24,%,%,True,True,Michigan,Michigan,1993,5345,%,1383769,37.28718428437792,37.29,37.28718428437792,37.28718428437792,37.29
25,%,%,True,True,Oklahoma,Oklahoma,487,1306,%,296154,37.289433384379784,37.29,37.289433384379784,37.289433384379784,37.29
26,%,%,True,True,Maine,Maine,64,170,%,23559,37.64705882352941,37.65,37.64705882352941,37.64705882352941,37.65
27,%,%,True,True,Nebraska,Nebraska,191,507,%,97729,37.67258382642998,37.67,37.67258382642998,37.67258382642998,37.67
28,%,%,True,True,New Jersey,New Jersey,1858,4911,%,1205848,37.83343514559153,37.83,37.83343514559153,37.83343514559153,37.83
29,%,%,True,True,Rhode Island,Rhode Island,98,259,%,68125,37.83783783783784,37.84,37.83783783783784,37.83783783783784,37.84
30,%,%,True,True,Massachusetts,Massachusetts,828,2188,%,522609,37.842778793418645,37.84,37.842778793418645,37.842778793418645,37.84
31,%,%,True,True,Louisiana,Louisiana,1592,4202,%,1499002,37.8867206092337,37.89,37.8867206092337,37.8867206092337,37.89
32,%,%,True,True,Alabama,Alabama,1696,4473,%,1336172,37.916387212161865,37.92,37.916387212161865,37.916387212161865,37.92
33,%,%,True,True,Indiana,Indiana,1162,3058,%,667291,37.99869195552649,38.00,37.99869195552649,37.99869195552649,38.00
34,%,%,True,True,Ohio,Ohio,2296,6035,%,1510741,38.04473902236951,38.04,38.04473902236951,38.04473902236951,38.04
35,%,%,True,True,South Dakota,South Dakota,52,136,%,20987,38.23529411764706,38.24,38.23529411764706,38.23529411764706,38.24
36,%,%,True,True,Wyoming,Wyoming,27,70,%,6016,38.57142857142858,38.57,38.57142857142858,38.57142857142858,38.57
37,%,%,True,True,Washington,Washington,644,1661,%,316727,38.77182420228778,38.77,38.77182420228778,38.77182420228778,38.77
38,%,%,True,True,Colorado,Colorado,600,1525,%,237929,39.34426229508197,39.34,39.34426229508197,39.34426229508197,39.34
39,%,%,True,True,Arizona,Arizona,869,2198,%,339424,39.53594176524113,39.54,39.53594176524113,39.53594176524113,39.54
40,%,%,True,True,Minnesota,Minnesota,794,1975,%,409602,40.20253164556962,40.20,40.20253164556962,40.20253164556962,40.20
41,%,%,True,True,Vermont,Vermont,31,77,%,8685,40.25974025974026,40.26,40.25974025974026,40.25974025974026,40.26
42,%,%,True,True,Nevada,Nevada,578,1394,%,301273,41.46341463414634,41.46,41.46341463414634,41.46341463414634,41.46
