,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,107,389,%,76919,27.506426735218508,27.51,27.506426735218508,27.506426735218508,27.51
1,%,%,True,True,North Dakota,North Dakota,49,157,%,34335,31.210191082802545,31.21,31.210191082802545,31.210191082802545,31.21
2,%,%,True,True,Hawaii,Hawaii,149,473,%,160134,31.501057082452434,31.50,31.501057082452434,31.501057082452434,31.50
3,%,%,True,True,West Virginia,West Virginia,46,141,%,33684,32.62411347517731,32.62,32.62411347517731,32.62411347517731,32.62
4,%,%,True,True,New Hampshire,New Hampshire,92,267,%,60873,34.45692883895131,34.46,34.45692883895131,34.45692883895131,34.46
5,%,%,True,True,Wyoming,Wyoming,100,289,%,61087,34.602076124567475,34.60,34.602076124567475,34.602076124567475,34.60
6,%,%,True,True,Florida,Florida,7259,20932,%,5830908,34.67896044334034,34.68,34.67896044334034,34.67896044334034,34.68
7,%,%,True,True,California,California,21543,62037,%,15754605,34.726050582716766,34.73,34.726050582716766,34.726050582716766,34.73
8,%,%,True,True,Vermont,Vermont,36,103,%,14384,34.95145631067961,34.95,34.95145631067961,34.95145631067961,34.95
9,%,%,True,True,Virginia,Virginia,1333,3783,%,882402,35.236584721120806,35.24,35.236584721120806,35.236584721120806,35.24
10,%,%,True,True,Minnesota,Minnesota,579,1639,%,333474,35.32641854789505,35.33,35.32641854789505,35.32641854789505,35.33
11,%,%,True,True,Illinois,Illinois,3582,10120,%,2282133,35.39525691699605,35.40,35.39525691699605,35.39525691699605,35.40
12,%,%,True,True,Idaho,Idaho,364,1020,%,251919,35.68627450980392,35.69,35.68627450980392,35.68627450980392,35.69
13,%,%,True,True,Michigan,Michigan,901,2520,%,561587,35.75396825396825,35.75,35.75396825396825,35.75396825396825,35.75
14,%,%,True,True,New York,New York,4895,13663,%,3868268,35.8266852082266,35.83,35.8266852082266,35.8266852082266,35.83
15,%,%,True,True,Massachusetts,Massachusetts,1267,3510,%,897349,36.0968660968661,36.10,36.0968660968661,36.0968660968661,36.10
16,%,%,True,True,Oregon,Oregon,880,2422,%,596517,36.33360858794385,36.33,36.33360858794385,36.33360858794385,36.33
17,%,%,True,True,Rhode Island,Rhode Island,200,549,%,187776,36.42987249544626,36.43,36.42987249544626,36.42987249544626,36.43
18,%,%,True,True,Colorado,Colorado,2042,5576,%,1293214,36.62123385939742,36.62,36.62123385939742,36.62123385939742,36.62
19,%,%,True,True,New Jersey,New Jersey,2716,7411,%,1991638,36.64822561057887,36.65,36.64822561057887,36.64822561057887,36.65
20,%,%,True,True,Nebraska,Nebraska,387,1054,%,235669,36.717267552182165,36.72,36.717267552182165,36.717267552182165,36.72
21,%,%,True,True,Texas,Texas,17406,47283,%,11857401,36.812385000951714,36.81,36.812385000951714,36.812385000951714,36.81
22,%,%,True,True,Washington,Washington,1462,3948,%,1059156,37.03140830800405,37.03,37.03140830800405,37.03140830800405,37.03
23,%,%,True,True,South Dakota,South Dakota,66,178,%,41288,37.07865168539326,37.08,37.07865168539326,37.07865168539326,37.08
24,%,%,True,True,Connecticut,Connecticut,916,2467,%,637112,37.130117551682204,37.13,37.130117551682204,37.130117551682204,37.13
25,%,%,True,True,Pennsylvania,Pennsylvania,1515,4077,%,1084634,37.159676232523914,37.16,37.159676232523914,37.159676232523914,37.16
26,%,%,True,True,Oklahoma,Oklahoma,614,1649,%,467249,37.234687689508796,37.23,37.234687689508796,37.234687689508796,37.23
27,%,%,True,True,Utah,Utah,910,2442,%,493636,37.26453726453726,37.26,37.26453726453726,37.26453726453726,37.26
