,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,65,204,%,16480,31.862745098039213,31.86,31.862745098039213,31.862745098039213,31.86
1,%,%,True,True,Connecticut,Connecticut,354,947,%,68017,37.38120380147835,37.38,37.38120380147835,37.38120380147835,37.38
2,%,%,True,True,Hawaii,Hawaii,378,999,%,291001,37.83783783783784,37.84,37.83783783783784,37.83783783783784,37.84
3,%,%,True,True,Montana,Montana,81,207,%,28810,39.130434782608695,39.13,39.130434782608695,39.130434782608695,39.13
4,%,%,True,True,California,California,5516,13676,%,1170491,40.333430827727405,40.33,40.333430827727405,40.333430827727405,40.33
5,%,%,True,True,Delaware,Delaware,128,316,%,25193,40.50632911392405,40.51,40.50632911392405,40.50632911392405,40.51
6,%,%,True,True,Washington,Washington,1142,2811,%,342530,40.62611170401993,40.63,40.62611170401993,40.62611170401993,40.63
7,%,%,True,True,Alaska,Alaska,146,359,%,52262,40.66852367688023,40.67,40.66852367688023,40.66852367688023,40.67
8,%,%,True,True,Oregon,Oregon,544,1336,%,148706,40.7185628742515,40.72,40.7185628742515,40.7185628742515,40.72
9,%,%,True,True,Illinois,Illinois,1128,2763,%,224432,40.82519001085777,40.83,40.82519001085777,40.82519001085777,40.83
10,%,%,True,True,South Dakota,South Dakota,71,173,%,20807,41.040462427745666,41.04,41.040462427745666,41.040462427745666,41.04
11,%,%,True,True,Missouri,Missouri,503,1225,%,143689,41.06122448979592,41.06,41.06122448979592,41.06122448979592,41.06
12,%,%,True,True,Maine,Maine,89,215,%,24338,41.3953488372093,41.40,41.3953488372093,41.3953488372093,41.40
13,%,%,True,True,Colorado,Colorado,825,1983,%,144152,41.6036308623298,41.60,41.6036308623298,41.6036308623298,41.60
14,%,%,True,True,New York,New York,1819,4347,%,378698,41.84495054060272,41.84,41.84495054060272,41.84495054060272,41.84
15,%,%,True,True,New Jersey,New Jersey,883,2106,%,152237,41.927825261158596,41.93,41.927825261158596,41.927825261158596,41.93
16,%,%,True,True,Utah,Utah,351,835,%,76033,42.035928143712574,42.04,42.035928143712574,42.035928143712574,42.04
17,%,%,True,True,Louisiana,Louisiana,286,680,%,74216,42.05882352941177,42.06,42.05882352941177,42.05882352941177,42.06
18,%,%,True,True,North Carolina,North Carolina,1001,2378,%,225732,42.094196804037004,42.09,42.094196804037004,42.094196804037004,42.09
19,%,%,True,True,Georgia,Georgia,1147,2717,%,217873,42.21567905778432,42.22,42.21567905778432,42.21567905778432,42.22
20,%,%,True,True,Wyoming,Wyoming,56,131,%,11050,42.74809160305343,42.75,42.74809160305343,42.74809160305343,42.75
21,%,%,True,True,Virginia,Virginia,1184,2765,%,250775,42.82097649186257,42.82,42.82097649186257,42.82097649186257,42.82
22,%,%,True,True,Michigan,Michigan,913,2131,%,243379,42.84373533552323,42.84,42.84373533552323,42.84373533552323,42.84
23,%,%,True,True,North Dakota,North Dakota,57,133,%,16837,42.857142857142854,42.86,42.857142857142854,42.857142857142854,42.86
24,%,%,True,True,Indiana,Indiana,690,1604,%,139946,43.01745635910225,43.02,43.01745635910225,43.01745635910225,43.02
25,%,%,True,True,Tennessee,Tennessee,570,1324,%,134263,43.051359516616316,43.05,43.051359516616316,43.051359516616316,43.05
26,%,%,True,True,Arizona,Arizona,993,2303,%,163394,43.117672600955274,43.12,43.117672600955274,43.117672600955274,43.12
27,%,%,True,True,Nebraska,Nebraska,207,479,%,40407,43.21503131524008,43.22,43.21503131524008,43.21503131524008,43.22
28,%,%,True,True,Pennsylvania,Pennsylvania,1066,2464,%,238808,43.26298701298701,43.26,43.26298701298701,43.26298701298701,43.26
29,%,%,True,True,Texas,Texas,3193,7331,%,473467,43.55476742599918,43.55,43.55476742599918,43.55476742599918,43.55
30,%,%,True,True,Rhode Island,Rhode Island,98,225,%,24311,43.55555555555555,43.56,43.55555555555555,43.55555555555555,43.56
31,%,%,True,True,Maryland,Maryland,717,1645,%,161497,43.58662613981763,43.59,43.58662613981763,43.58662613981763,43.59
32,%,%,True,True,Florida,Florida,2208,5040,%,390375,43.80952380952381,43.81,43.80952380952381,43.80952380952381,43.81
33,%,%,True,True,New Mexico,New Mexico,221,503,%,33832,43.93638170974155,43.94,43.93638170974155,43.93638170974155,43.94
34,%,%,True,True,Massachusetts,Massachusetts,666,1512,%,137083,44.047619047619044,44.05,44.047619047619044,44.047619047619044,44.05
35,%,%,True,True,Wisconsin,Wisconsin,520,1178,%,109888,44.14261460101868,44.14,44.14261460101868,44.14261460101868,44.14
36,%,%,True,True,Minnesota,Minnesota,565,1276,%,139747,44.278996865203766,44.28,44.278996865203766,44.278996865203766,44.28
37,%,%,True,True,Iowa,Iowa,279,627,%,59427,44.49760765550239,44.50,44.49760765550239,44.49760765550239,44.50
38,%,%,True,True,Kansas,Kansas,343,766,%,81605,44.778067885117494,44.78,44.778067885117494,44.778067885117494,44.78
39,%,%,True,True,Nevada,Nevada,615,1371,%,118795,44.85776805251641,44.86,44.85776805251641,44.85776805251641,44.86
40,%,%,True,True,Arkansas,Arkansas,281,623,%,63545,45.10433386837881,45.10,45.10433386837881,45.10433386837881,45.10
41,%,%,True,True,Ohio,Ohio,1113,2467,%,274463,45.11552492906364,45.12,45.11552492906364,45.11552492906364,45.12
42,%,%,True,True,Vermont,Vermont,44,97,%,12316,45.36082474226804,45.36,45.36082474226804,45.36082474226804,45.36
43,%,%,True,True,Oklahoma,Oklahoma,569,1251,%,235733,45.48361310951239,45.48,45.48361310951239,45.48361310951239,45.48
44,%,%,True,True,Idaho,Idaho,207,452,%,41056,45.79646017699115,45.80,45.79646017699115,45.79646017699115,45.80
45,%,%,True,True,West Virginia,West Virginia,128,272,%,33519,47.05882352941176,47.06,47.05882352941176,47.05882352941176,47.06
46,%,%,True,True,Kentucky,Kentucky,414,877,%,90573,47.20638540478905,47.21,47.20638540478905,47.20638540478905,47.21
47,%,%,True,True,Alabama,Alabama,442,935,%,86070,47.27272727272727,47.27,47.27272727272727,47.27272727272727,47.27
48,%,%,True,True,South Carolina,South Carolina,521,1101,%,98263,47.32061762034514,47.32,47.32061762034514,47.32061762034514,47.32
49,%,%,True,True,New Hampshire,New Hampshire,103,215,%,22716,47.906976744186046,47.91,47.906976744186046,47.906976744186046,47.91
50,%,%,True,True,Mississippi,Mississippi,207,402,%,37834,51.49253731343284,51.49,51.49253731343284,51.49253731343284,51.49
