,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,372,1665,%,249751,22.34234234234234,22.34,22.34234234234234,22.34234234234234,22.34
1,%,%,True,True,New Jersey,New Jersey,5106,17827,%,4960795,28.641947607561562,28.64,28.641947607561562,28.641947607561562,28.64
2,%,%,True,True,Massachusetts,Massachusetts,5754,19406,%,4894728,29.65062351849943,29.65,29.65062351849943,29.65062351849943,29.65
3,%,%,True,True,Nebraska,Nebraska,2205,7419,%,1519341,29.720986655883543,29.72,29.720986655883543,29.720986655883543,29.72
4,%,%,True,True,Maryland,Maryland,3703,12325,%,3020582,30.044624746450303,30.04,30.044624746450303,30.044624746450303,30.04
5,%,%,True,True,New York,New York,12390,40993,%,10858889,30.22467250506184,30.22,30.22467250506184,30.22467250506184,30.22
6,%,%,True,True,Connecticut,Connecticut,2981,9859,%,2330326,30.23633228522162,30.24,30.23633228522162,30.23633228522162,30.24
7,%,%,True,True,Minnesota,Minnesota,6260,20656,%,4458035,30.305964368706427,30.31,30.305964368706427,30.305964368706427,30.31
8,%,%,True,True,Illinois,Illinois,9952,32338,%,7597266,30.774939699424824,30.77,30.774939699424824,30.774939699424824,30.77
9,%,%,True,True,California,California,17478,56654,%,13815325,30.850425389204645,30.85,30.850425389204645,30.850425389204645,30.85
10,%,%,True,True,Wisconsin,Wisconsin,6579,21313,%,4727246,30.86848402383522,30.87,30.86848402383522,30.86848402383522,30.87
11,%,%,True,True,North Carolina,North Carolina,8495,27427,%,6528578,30.973128668829986,30.97,30.973128668829986,30.973128668829986,30.97
12,%,%,True,True,Rhode Island,Rhode Island,850,2736,%,771405,31.067251461988306,31.07,31.067251461988306,31.067251461988306,31.07
13,%,%,True,True,Delaware,Delaware,942,3016,%,608053,31.233421750663133,31.23,31.233421750663133,31.233421750663133,31.23
14,%,%,True,True,New Hampshire,New Hampshire,1633,5226,%,1238184,31.247608113279757,31.25,31.247608113279757,31.247608113279757,31.25
15,%,%,True,True,Utah,Utah,4968,15848,%,2577888,31.347804139323575,31.35,31.347804139323575,31.347804139323575,31.35
16,%,%,True,True,Pennsylvania,Pennsylvania,12865,40871,%,9701126,31.47708644270999,31.48,31.47708644270999,31.47708644270999,31.48
17,%,%,True,True,Vermont,Vermont,827,2618,%,595151,31.588999236058058,31.59,31.588999236058058,31.588999236058058,31.59
18,%,%,True,True,Virginia,Virginia,7563,23878,%,5213717,31.673506993885585,31.67,31.673506993885585,31.673506993885585,31.67
19,%,%,True,True,Wyoming,Wyoming,785,2468,%,482320,31.80713128038898,31.81,31.80713128038898,31.80713128038898,31.81
20,%,%,True,True,Tennessee,Tennessee,8116,25337,%,5097174,32.0322058649406,32.03,32.0322058649406,32.0322058649406,32.03
21,%,%,True,True,Florida,Florida,13833,42966,%,11467951,32.195224130708,32.20,32.195224130708,32.195224130708,32.20
22,%,%,True,True,Indiana,Indiana,9018,28008,%,5276416,32.19794344473008,32.20,32.19794344473008,32.19794344473008,32.20
23,%,%,True,True,Mississippi,Mississippi,2541,7890,%,1652517,32.20532319391635,32.21,32.20532319391635,32.20532319391635,32.21
24,%,%,True,True,Michigan,Michigan,10552,32715,%,7462582,32.254317591318966,32.25,32.254317591318966,32.254317591318966,32.25
25,%,%,True,True,Iowa,Iowa,4078,12634,%,2685614,32.27798005382302,32.28,32.27798005382302,32.27798005382302,32.28
26,%,%,True,True,South Dakota,South Dakota,1019,3155,%,723678,32.29793977812995,32.30,32.29793977812995,32.29793977812995,32.30
27,%,%,True,True,Texas,Texas,17252,53318,%,11885058,32.35680258074196,32.36,32.35680258074196,32.35680258074196,32.36
28,%,%,True,True,Louisiana,Louisiana,3011,9250,%,2676273,32.55135135135135,32.55,32.55135135135135,32.55135135135135,32.55
29,%,%,True,True,Missouri,Missouri,6879,21126,%,4854359,32.561772223800055,32.56,32.561772223800055,32.561772223800055,32.56
30,%,%,True,True,Washington,Washington,7602,23345,%,5111255,32.56371814092954,32.56,32.56371814092954,32.56371814092954,32.56
31,%,%,True,True,Hawaii,Hawaii,602,1836,%,308195,32.78867102396514,32.79,32.78867102396514,32.78867102396514,32.79
32,%,%,True,True,North Dakota,North Dakota,919,2802,%,644623,32.798001427551746,32.80,32.798001427551746,32.798001427551746,32.80
33,%,%,True,True,Maine,Maine,1816,5535,%,1269535,32.809394760614275,32.81,32.809394760614275,32.809394760614275,32.81
34,%,%,True,True,Colorado,Colorado,6639,20084,%,3893018,33.05616411073491,33.06,33.05616411073491,33.05616411073491,33.06
35,%,%,True,True,Oregon,Oregon,4770,14428,%,3148080,33.06071527585251,33.06,33.06071527585251,33.06071527585251,33.06
36,%,%,True,True,Oklahoma,Oklahoma,3949,11898,%,2544785,33.190452176836445,33.19,33.190452176836445,33.190452176836445,33.19
37,%,%,True,True,Kentucky,Kentucky,5784,17388,%,3765843,33.26432022084196,33.26,33.26432022084196,33.26432022084196,33.26
38,%,%,True,True,Georgia,Georgia,8260,24803,%,5510193,33.302423093980565,33.30,33.302423093980565,33.302423093980565,33.30
39,%,%,True,True,South Carolina,South Carolina,4708,14090,%,3290272,33.41376863023421,33.41,33.41376863023421,33.41376863023421,33.41
40,%,%,True,True,Kansas,Kansas,3418,10228,%,2192217,33.418068048494334,33.42,33.418068048494334,33.418068048494334,33.42
41,%,%,True,True,Arizona,Arizona,6188,18378,%,3872615,33.67069322015453,33.67,33.67069322015453,33.67069322015453,33.67
42,%,%,True,True,Montana,Montana,1373,4041,%,943656,33.976738431081415,33.98,33.976738431081415,33.976738431081415,33.98
