,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,1164,4244,%,670050,27.426955702167767,27.43,27.426955702167767,27.426955702167767,27.43
1,%,%,True,True,Massachusetts,Massachusetts,10152,31554,%,6984723,32.17341699942955,32.17,32.17341699942955,32.17341699942955,32.17
2,%,%,True,True,Nebraska,Nebraska,3399,10456,%,1963692,32.507651109410865,32.51,32.507651109410865,32.507651109410865,32.51
3,%,%,True,True,New Hampshire,New Hampshire,2123,6517,%,1388992,32.576338806199175,32.58,32.576338806199175,32.576338806199175,32.58
4,%,%,True,True,Connecticut,Connecticut,5733,17406,%,3605597,32.93691830403309,32.94,32.93691830403309,32.93691830403309,32.94
5,%,%,True,True,Minnesota,Minnesota,9789,29669,%,5707390,32.994034177087194,32.99,32.994034177087194,32.994034177087194,32.99
6,%,%,True,True,New Jersey,New Jersey,13188,39810,%,9267130,33.12735493594574,33.13,33.12735493594574,33.12735493594574,33.13
7,%,%,True,True,Utah,Utah,7186,21638,%,3337975,33.21009335428413,33.21,33.21009335428413,33.21009335428413,33.21
8,%,%,True,True,Wisconsin,Wisconsin,9647,29048,%,5895908,33.21054805838612,33.21,33.21054805838612,33.21054805838612,33.21
9,%,%,True,True,Illinois,Illinois,20066,60252,%,12671469,33.303458806346676,33.30,33.303458806346676,33.303458806346676,33.30
10,%,%,True,True,Pennsylvania,Pennsylvania,19683,58975,%,12964056,33.37515896566342,33.38,33.37515896566342,33.37515896566342,33.38
11,%,%,True,True,North Carolina,North Carolina,15706,47051,%,10551162,33.38079955792651,33.38,33.38079955792651,33.38079955792651,33.38
12,%,%,True,True,Tennessee,Tennessee,11655,34779,%,6975218,33.51160182868973,33.51,33.51160182868973,33.51160182868973,33.51
13,%,%,True,True,Vermont,Vermont,1088,3235,%,645570,33.63214837712519,33.63,33.63214837712519,33.63214837712519,33.63
14,%,%,True,True,Maryland,Maryland,9619,28600,%,6165129,33.63286713286713,33.63,33.63286713286713,33.63286713286713,33.63
15,%,%,True,True,Virginia,Virginia,14718,43755,%,8642274,33.63729859444635,33.64,33.63729859444635,33.63729859444635,33.64
16,%,%,True,True,New York,New York,29564,87792,%,19835913,33.67505011846182,33.68,33.67505011846182,33.67505011846182,33.68
17,%,%,True,True,Rhode Island,Rhode Island,1465,4338,%,1095610,33.77132319041033,33.77,33.77132319041033,33.77132319041033,33.77
18,%,%,True,True,Wyoming,Wyoming,1182,3488,%,578803,33.887614678899084,33.89,33.887614678899084,33.887614678899084,33.89
19,%,%,True,True,Mississippi,Mississippi,4617,13575,%,2949965,34.01104972375691,34.01,34.01104972375691,34.01104972375691,34.01
20,%,%,True,True,California,California,65801,193262,%,39237836,34.04756237646304,34.05,34.04756237646304,34.04756237646304,34.05
21,%,%,True,True,Michigan,Michigan,16525,48523,%,10050811,34.05601467345383,34.06,34.05601467345383,34.05601467345383,34.06
22,%,%,True,True,Delaware,Delaware,2031,5938,%,1003384,34.2034355001684,34.20,34.2034355001684,34.2034355001684,34.20
23,%,%,True,True,Missouri,Missouri,9845,28773,%,6168187,34.216105376568315,34.22,34.216105376568315,34.216105376568315,34.22
24,%,%,True,True,Maine,Maine,2395,6938,%,1372247,34.520034592101474,34.52,34.520034592101474,34.520034592101474,34.52
25,%,%,True,True,Iowa,Iowa,5702,16494,%,3193079,34.5701467200194,34.57,34.5701467200194,34.5701467200194,34.57
26,%,%,True,True,Washington,Washington,13918,40191,%,7738692,34.629643452514244,34.63,34.629643452514244,34.629643452514244,34.63
27,%,%,True,True,Indiana,Indiana,14268,41160,%,6805985,34.66472303206997,34.66,34.66472303206997,34.66472303206997,34.66
28,%,%,True,True,Florida,Florida,31601,90967,%,21781128,34.73897127529764,34.74,34.73897127529764,34.73897127529764,34.74
29,%,%,True,True,Oregon,Oregon,7576,21723,%,4246155,34.87547760438245,34.88,34.87547760438245,34.87547760438245,34.88
30,%,%,True,True,North Dakota,North Dakota,1333,3811,%,774948,34.97769614274468,34.98,34.97769614274468,34.97769614274468,34.98
31,%,%,True,True,Kentucky,Kentucky,7846,22406,%,4509394,35.017406051950374,35.02,35.017406051950374,35.017406051950374,35.02
32,%,%,True,True,Colorado,Colorado,11838,33642,%,5812069,35.18815766006777,35.19,35.18815766006777,35.18815766006777,35.19
33,%,%,True,True,Oklahoma,Oklahoma,7010,19882,%,3986639,35.25802233175737,35.26,35.25802233175737,35.25802233175737,35.26
34,%,%,True,True,South Dakota,South Dakota,1582,4484,%,895376,35.280999107939344,35.28,35.280999107939344,35.280999107939344,35.28
35,%,%,True,True,Louisiana,Louisiana,5767,16300,%,4624047,35.38036809815951,35.38,35.38036809815951,35.38036809815951,35.38
36,%,%,True,True,Texas,Texas,49525,139961,%,29527941,35.38485721022285,35.38,35.38485721022285,35.38485721022285,35.38
37,%,%,True,True,South Carolina,South Carolina,8076,22819,%,5190705,35.39155966519129,35.39,35.39155966519129,35.39155966519129,35.39
38,%,%,True,True,Kansas,Kansas,5335,15021,%,2934582,35.516942946541505,35.52,35.516942946541505,35.516942946541505,35.52
39,%,%,True,True,Georgia,Georgia,18529,51859,%,10799566,35.72957442295455,35.73,35.72957442295455,35.72957442295455,35.73
40,%,%,True,True,Hawaii,Hawaii,3117,8657,%,1441553,36.005544645951254,36.01,36.005544645951254,36.005544645951254,36.01
41,%,%,True,True,Ohio,Ohio,20743,57590,%,11780017,36.01840597325925,36.02,36.01840597325925,36.01840597325925,36.02
42,%,%,True,True,Montana,Montana,1948,5348,%,1104271,36.42483171278983,36.42,36.42483171278983,36.42483171278983,36.42
43,%,%,True,True,Arizona,Arizona,14492,39564,%,7276316,36.62925892225255,36.63,36.62925892225255,36.62925892225255,36.63
44,%,%,True,True,Arkansas,Arkansas,5631,15317,%,3025891,36.76307370895084,36.76,36.76307370895084,36.76307370895084,36.76
45,%,%,True,True,Alabama,Alabama,9633,26176,%,5039877,36.800886308068456,36.80,36.800886308068456,36.800886308068456,36.80
46,%,%,True,True,Idaho,Idaho,3742,10127,%,1900923,36.95072578256147,36.95,36.95072578256147,36.95072578256147,36.95
47,%,%,True,True,West Virginia,West Virginia,3252,8614,%,1782959,37.75249593684699,37.75,37.75249593684699,37.75249593684699,37.75
