,Race Chart-alias,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Number per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,False,Wyoming,1182,3488,43,43.00,-107.5,-107.50,%null%,578803,204.2,204.2,0.92
1,False,Wisconsin,9647,29048,44.5,44.50,-90,-90.00,%null%,5895908,163.6,163.6,0.32
2,False,West Virginia,3252,8614,38.63,38.63,-80.73,-80.73,%null%,1782959,182.4,182.4,0.76
3,False,Washington,13918,40191,47.5,47.50,-120.5,-120.50,%null%,7738692,179.8,179.8,0.72
4,False,Virginia,14718,43755,37.77,37.77,-78.24,-78.24,%null%,8642274,170.3,170.3,0.44
5,False,Vermont,1088,3235,44.1584,44.16,-72.7678,-72.77,%null%,645570,168.5,168.5,0.42
6,False,Utah,7186,21638,39.25,39.25,-111.75,-111.75,%null%,3337975,215.3,215.3,0.96
7,False,Texas,49525,139961,31.25,31.25,-99.25,-99.25,%null%,29527941,167.7,167.7,0.4
8,False,Tennessee,11655,34779,35.75,35.75,-86.25,-86.25,%null%,6975218,167.1,167.1,0.36
9,False,South Dakota,1582,4484,44.5,44.50,-100.25,-100.25,%null%,895376,176.7,176.7,0.66
10,False,South Carolina,8076,22819,34,34.00,-81,-81.00,%null%,5190705,155.6,155.6,0.18
11,False,Rhode Island,1465,4338,41.4966,41.50,-71.4757,-71.48,%null%,1095610,133.7,133.7,0.02
12,False,Pennsylvania,19683,58975,40.86,40.86,-77.9,-77.90,%null%,12964056,151.8,151.8,0.14
13,False,Oregon,7576,21723,44,44.00,-120.5,-120.50,%null%,4246155,178.4,178.4,0.68
14,False,Oklahoma,7010,19882,35.5,35.50,-97.5,-97.50,%null%,3986639,175.8,175.8,0.6
15,False,Ohio,20743,57590,40.25,40.25,-83,-83.00,%null%,11780017,176.1,176.1,0.62
16,False,North Dakota,1333,3811,47.5,47.50,-100,-100.00,%null%,774948,172.0,172.0,0.5
17,False,North Carolina,15706,47051,35.5,35.50,-80,-80.00,%null%,10551162,148.9,148.9,0.1
