,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,False,False,Louisiana,Louisiana,5767,16300,%null%,4624047,124.71759045701741,124.7,124.71759045701741,124.71759045701741,124.7
1,%null%,%null%,False,False,Rhode Island,Rhode Island,1465,4338,%null%,1095610,133.71546444446474,133.7,133.71546444446474,133.71546444446474,133.7
2,%null%,%null%,False,False,New Jersey,New Jersey,13188,39810,%null%,9267130,142.30943129102536,142.3,142.30943129102536,142.30943129102536,142.3
3,%null%,%null%,False,False,Florida,Florida,31601,90967,%null%,21781128,145.08431335603922,145.1,145.08431335603922,145.08431335603922,145.1
4,%null%,%null%,False,False,Massachusetts,Massachusetts,10152,31554,%null%,6984723,145.34577820766836,145.3,145.34577820766836,145.34577820766836,145.3
5,%null%,%null%,False,False,North Carolina,North Carolina,15706,47051,%null%,10551162,148.85564262969328,148.9,148.85564262969328,148.85564262969328,148.9
6,%null%,%null%,False,False,New York,New York,29564,87792,%null%,19835913,149.04279929035783,149.0,149.04279929035783,149.04279929035783,149.0
7,%null%,%null%,False,False,Pennsylvania,Pennsylvania,19683,58975,%null%,12964056,151.82748362086681,151.8,151.82748362086681,151.82748362086681,151.8
8,%null%,%null%,False,False,New Hampshire,New Hampshire,2123,6517,%null%,1388992,152.84465281297517,152.8,152.84465281297517,152.84465281297517,152.8
9,%null%,%null%,False,False,South Carolina,South Carolina,8076,22819,%null%,5190705,155.58580192863977,155.6,155.58580192863977,155.58580192863977,155.6
10,%null%,%null%,False,False,New Mexico,New Mexico,3298,8656,%null%,2115877,155.86917386974764,155.9,155.86917386974764,155.86917386974764,155.9
11,%null%,%null%,False,False,Maryland,Maryland,9619,28600,%null%,6165129,156.02268825194088,156.0,156.02268825194088,156.02268825194088,156.0
12,%null%,%null%,False,False,Mississippi,Mississippi,4617,13575,%null%,2949965,156.51033147850907,156.5,156.51033147850907,156.51033147850907,156.5
13,%null%,%null%,False,False,Illinois,Illinois,20066,60252,%null%,12671469,158.35575180746605,158.4,158.35575180746605,158.35575180746605,158.4
14,%null%,%null%,False,False,Connecticut,Connecticut,5733,17406,%null%,3605597,159.00279482149557,159.0,159.00279482149557,159.00279482149557,159.0
15,%null%,%null%,False,False,Missouri,Missouri,9845,28773,%null%,6168187,159.60929848592463,159.6,159.60929848592463,159.60929848592463,159.6
16,%null%,%null%,False,False,Wisconsin,Wisconsin,9647,29048,%null%,5895908,163.62195610922015,163.6,163.62195610922015,163.62195610922015,163.6
17,%null%,%null%,False,False,Michigan,Michigan,16525,48523,%null%,10050811,164.4145930114495,164.4,164.4145930114495,164.4145930114495,164.4
18,%null%,%null%,False,False,Tennessee,Tennessee,11655,34779,%null%,6975218,167.0915518339355,167.1,167.0915518339355,167.0915518339355,167.1
19,%null%,%null%,False,False,California,California,65801,193262,%null%,39237836,167.6978312463511,167.7,167.6978312463511,167.6978312463511,167.7
20,%null%,%null%,False,False,Texas,Texas,49525,139961,%null%,29527941,167.72249714262162,167.7,167.72249714262162,167.72249714262162,167.7
21,%null%,%null%,False,False,Vermont,Vermont,1088,3235,%null%,645570,168.53323419613676,168.5,168.53323419613676,168.53323419613676,168.5
22,%null%,%null%,False,False,Virginia,Virginia,14718,43755,%null%,8642274,170.30239957677807,170.3,170.30239957677807,170.30239957677807,170.3
23,%null%,%null%,False,False,Minnesota,Minnesota,9789,29669,%null%,5707390,171.51447509281826,171.5,171.51447509281826,171.51447509281826,171.5
24,%null%,%null%,False,False,Georgia,Georgia,18529,51859,%null%,10799566,171.57170945573185,171.6,171.57170945573185,171.57170945573185,171.6
25,%null%,%null%,False,False,North Dakota,North Dakota,1333,3811,%null%,774948,172.0115414195533,172.0,172.0115414195533,172.0115414195533,172.0
26,%null%,%null%,False,False,Nebraska,Nebraska,3399,10456,%null%,1963692,173.09231793988062,173.1,173.09231793988062,173.09231793988062,173.1
27,%null%,%null%,False,False,District of Columbia,District of Columbia,1164,4244,%null%,670050,173.71837922543094,173.7,173.71837922543094,173.71837922543094,173.7
28,%null%,%null%,False,False,Kentucky,Kentucky,7846,22406,%null%,4509394,173.99233688606495,174.0,173.99233688606495,173.99233688606495,174.0
