,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,638,578803,2026,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),110.2,0.94
1,True,Wisconsin,4749,5895908,16108,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),80.5,0.4
2,True,West Virginia,1766,1782959,5228,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),99.0,0.82
3,True,Washington,7380,7738692,21849,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),95.4,0.74
4,True,Virginia,6740,8642274,23803,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),78.0,0.38
5,True,Vermont,624,645570,1992,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),96.7,0.78
6,True,Utah,3244,3337975,11452,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),97.2,0.8
7,True,Texas,20164,29527941,72441,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),68.3,0.14
8,True,Tennessee,6386,6975218,18187,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),91.6,0.66
9,True,South Dakota,761,895376,2459,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),85.0,0.48
10,True,South Carolina,3836,5190705,12740,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),73.9,0.3
11,True,Rhode Island,715,1095610,2605,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),65.3,0.12
12,True,Pennsylvania,9679,12964056,31696,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),74.7,0.32
13,True,Oregon,4864,4246155,12479,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),114.6,0.98
14,True,Oklahoma,4159,3986639,11244,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),104.3,0.84
15,True,Ohio,10299,11780017,32404,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),87.4,0.52
16,True,North Dakota,637,774948,2090,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),82.2,0.44
17,True,North Carolina,7245,10551162,24886,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),68.7,0.16
18,True,New York,12488,19835913,48564,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),63.0,0.04
19,True,New Mexico,1599,2115877,4944,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),75.6,0.34
20,True,New Jersey,5023,9267130,21109,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),54.2,0
21,True,New Hampshire,1225,1388992,3775,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),88.2,0.54
22,True,Nevada,2424,3143991,8104,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),77.1,0.36
23,True,Nebraska,1687,1963692,5396,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),85.9,0.5
24,True,Montana,1170,1104271,3091,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),106.0,0.9
25,True,Missouri,5632,6168187,16230,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),91.3,0.64
26,True,Mississippi,2107,2949965,7053,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),71.4,0.22
27,True,Minnesota,4744,5707390,15655,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),83.1,0.46
28,True,Michigan,8165,10050811,26290,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),81.2,0.42
29,True,Massachusetts,5034,6984723,17136,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),72.1,0.24
30,True,Maryland,3973,6165129,15211,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),64.4,0.1
31,True,Maine,1540,1372247,4504,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),112.2,0.96
32,True,Louisiana,2808,4624047,9275,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),60.7,0.02
33,True,Kentucky,4289,4509394,12564,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),95.1,0.72
34,True,Kansas,2819,2934582,8809,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),96.1,0.76
35,True,Iowa,2880,3193079,9272,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),90.2,0.62
36,True,Indiana,7177,6805985,23878,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),105.5,0.88
37,True,Illinois,8803,12671469,31663,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),69.5,0.18
38,True,Idaho,1763,1900923,5680,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),92.7,0.7
39,True,Hawaii,1017,1441553,4684,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),70.5,0.2
40,True,Georgia,7800,10799566,28209,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),72.2,0.26
41,True,Florida,13999,21781128,50008,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),64.3,0.08
42,True,District of Columbia,600,670050,2101,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),89.5,0.58
43,True,Delaware,925,1003384,3485,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),92.2,0.68
44,True,Connecticut,2620,3605597,9865,41.6227,41.62,-72.7028,-72.70,%null%,Breakdown by County (All Years),72.7,0.28
45,True,Colorado,6089,5812069,18760,39,39.00,-105.5,-105.50,%null%,Breakdown by County (All Years),104.8,0.86
46,True,California,25049,39237836,101120,37.25,37.25,-119.75,-119.75,%null%,Breakdown by County (All Years),63.8,0.06
47,True,Arkansas,3223,3025891,9690,34.75,34.75,-92.5,-92.50,%null%,Breakdown by County (All Years),106.5,0.92
48,True,Arizona,6492,7276316,22745,34.5,34.50,-111.5,-111.50,%null%,Breakdown by County (All Years),89.2,0.56
49,True,Alaska,1278,732673,5232,64,64.00,-150,-150.00,%null%,Breakdown by County (All Years),174.4,1
50,True,Alabama,4520,5039877,16424,32.75,32.75,-86.75,-86.75,%null%,Breakdown by County (All Years),89.7,0.6
