,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,315,578803,780,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),54.4,0.68
1,True,Wisconsin,2704,5895908,7908,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),45.9,0.4
2,True,West Virginia,1027,1782959,2593,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),57.6,0.78
3,True,Washington,4616,7738692,12069,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),59.6,0.82
4,True,Virginia,3776,8642274,11752,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),43.7,0.34
5,True,Vermont,428,645570,1100,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),66.3,0.94
6,True,Utah,2067,3337975,7136,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),61.9,0.88
7,True,Texas,11288,29527941,35528,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),38.2,0.16
8,True,Tennessee,3922,6975218,9872,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),56.2,0.72
9,True,South Dakota,485,895376,1275,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),54.2,0.66
10,True,South Carolina,2285,5190705,6455,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),44.0,0.36
11,True,Rhode Island,417,1095610,1240,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),38.1,0.14
12,True,Pennsylvania,5578,12964056,16326,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),43.0,0.28
13,True,Oregon,3056,4246155,6967,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),72.0,1
14,True,Oklahoma,2592,3986639,6124,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),65.0,0.92
15,True,Ohio,6065,11780017,16472,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),51.5,0.54
16,True,North Dakota,367,774948,1058,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),47.4,0.48
17,True,North Carolina,4582,10551162,13332,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),43.4,0.32
18,True,New York,6899,19835913,22848,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),34.8,0.08
19,True,New Mexico,935,2115877,2435,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),44.2,0.38
20,True,New Jersey,2604,9267130,9788,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),28.1,0
21,True,New Hampshire,731,1388992,1915,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),52.6,0.58
22,True,Nevada,1330,3143991,3890,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),42.3,0.26
23,True,Nebraska,1059,1963692,2958,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),53.9,0.64
24,True,Montana,694,1104271,1589,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),62.8,0.9
25,True,Missouri,3321,6168187,8553,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),53.8,0.62
26,True,Mississippi,1355,2949965,3557,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),45.9,0.42
27,True,Minnesota,2920,5707390,8204,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),51.2,0.52
28,True,Michigan,4855,10050811,13979,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),48.3,0.5
