,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,146,578803,585,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),25.2,0.92
1,True,Wisconsin,1256,5895908,6216,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),21.3,0.52
2,True,West Virginia,349,1782959,1356,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),19.6,0.46
3,True,Washington,1734,7738692,8405,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),22.4,0.62
4,True,Virginia,1628,8642274,9124,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),18.8,0.44
5,True,Vermont,148,645570,755,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),22.9,0.68
6,True,Utah,799,3337975,4220,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),23.9,0.8
7,True,Texas,5152,29527941,27474,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),17.4,0.3
8,True,Tennessee,1171,6975218,5185,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),16.8,0.2
9,True,South Dakota,210,895376,908,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),23.5,0.74
10,True,South Carolina,925,5190705,4292,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),17.8,0.36
11,True,Rhode Island,173,1095610,897,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),15.8,0.14
12,True,Pennsylvania,2154,12964056,10869,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),16.6,0.18
13,True,Oregon,1069,4246155,4904,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),25.2,0.9
14,True,Oklahoma,958,3986639,3456,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),24.0,0.82
15,True,Ohio,2625,11780017,11744,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),22.3,0.58
16,True,North Dakota,191,774948,888,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),24.6,0.88
17,True,North Carolina,1805,10551162,9406,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),17.1,0.24
18,True,New York,2947,19835913,16472,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),14.9,0.08
19,True,New Mexico,365,2115877,1780,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),17.3,0.26
20,True,New Jersey,1265,9267130,8084,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),13.7,0.02
21,True,New Hampshire,302,1388992,1355,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),21.7,0.56
22,True,Nevada,580,3143991,2866,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),18.4,0.42
23,True,Nebraska,419,1963692,2122,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),21.3,0.54
24,True,Montana,253,1104271,1041,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),22.9,0.66
25,True,Missouri,1376,6168187,6092,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),22.3,0.6
26,True,Mississippi,451,2949965,2091,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),15.3,0.1
27,True,Minnesota,1307,5707390,6712,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),22.9,0.64
28,True,Michigan,2125,10050811,9673,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),21.1,0.48
29,True,Massachusetts,1176,6984723,6712,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),16.8,0.22
30,True,Maryland,1076,6165129,6291,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),17.5,0.32
31,True,Maine,316,1372247,1600,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),23.0,0.7
32,True,Louisiana,646,4624047,3048,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),14.0,0.04
33,True,Kentucky,1069,4509394,4476,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),23.7,0.78
34,True,Kansas,686,2934582,3058,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),23.4,0.72
35,True,Iowa,775,3193079,3782,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),24.3,0.86
36,True,Indiana,1641,6805985,7490,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),24.1,0.84
37,True,Illinois,2083,12671469,11552,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),16.4,0.16
38,True,Idaho,521,1900923,2451,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),27.4,0.96
39,True,Hawaii,264,1441553,1680,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),18.3,0.4
40,True,Georgia,1867,10799566,10271,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),17.3,0.28
