,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,1500,578803,3987,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),259.2,0.82
1,True,Wisconsin,12173,5895908,35091,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),206.5,0.4
2,True,West Virginia,4621,1782959,11790,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),259.2,0.84
3,True,Washington,19799,7738692,50416,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),255.8,0.78
4,True,Virginia,17069,8642274,52764,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),197.5,0.36
5,True,Vermont,1667,645570,4214,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),258.2,0.8
6,True,Utah,9201,3337975,29040,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),275.6,0.9
7,True,Texas,50832,29527941,156259,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),172.1,0.16
8,True,Tennessee,17356,6975218,43411,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),248.8,0.72
9,True,South Dakota,2033,895376,5411,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),227.1,0.58
10,True,South Carolina,9982,5190705,28045,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),192.3,0.3
11,True,Rhode Island,1876,1095610,5665,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),171.2,0.14
12,True,Pennsylvania,25196,12964056,72414,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),194.4,0.34
13,True,Oregon,13061,4246155,29000,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),307.6,0.98
14,True,Oklahoma,11383,3986639,26311,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),285.5,0.96
15,True,Ohio,26493,11780017,71642,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),224.9,0.54
16,True,North Dakota,1695,774948,4694,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),218.7,0.52
17,True,North Carolina,19441,10551162,56112,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),184.3,0.24
18,True,New York,30833,19835913,102165,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),155.4,0.04
19,True,New Mexico,4036,2115877,10641,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),190.7,0.28
20,True,New Jersey,12379,9267130,44758,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),133.6,0
21,True,New Hampshire,3246,1388992,8242,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),233.7,0.62
22,True,Nevada,6087,3143991,17021,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),193.6,0.32
23,True,Nebraska,4430,1963692,12308,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),225.6,0.56
24,True,Montana,2949,1104271,6800,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),267.1,0.88
25,True,Missouri,14677,6168187,36571,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),237.9,0.66
26,True,Mississippi,5965,2949965,16624,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),202.2,0.38
27,True,Minnesota,12230,5707390,34104,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),214.3,0.5
28,True,Michigan,20886,10050811,59401,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),207.8,0.42
29,True,Massachusetts,12639,6984723,39068,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),181.0,0.22
30,True,Maryland,9880,6165129,32097,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),160.3,0.1
31,True,Maine,3828,1372247,9334,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),279.0,0.92
32,True,Louisiana,7174,4624047,20145,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),155.1,0.02
33,True,Kentucky,11305,4509394,28636,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),250.7,0.74
34,True,Kansas,7160,2934582,18841,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),244.0,0.7
35,True,Iowa,7407,3193079,19905,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),232.0,0.6
36,True,Indiana,17976,6805985,49699,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),264.1,0.86
37,True,Illinois,22476,12671469,70512,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),177.4,0.18
38,True,Idaho,4474,1900923,11972,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),235.4,0.64
39,True,Hawaii,2275,1441553,8759,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),157.8,0.08
40,True,Georgia,19339,10799566,59729,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),179.1,0.2
