,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,650,578803,2719,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),112.3,0.96
1,True,Wisconsin,5319,5895908,24977,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),90.2,0.54
2,True,West Virginia,1585,1782959,6620,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),88.9,0.48
3,True,Washington,7272,7738692,33308,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),94.0,0.68
4,True,Virginia,6836,8642274,36118,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),79.1,0.36
5,True,Vermont,596,645570,2948,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),92.3,0.64
6,True,Utah,3135,3337975,15936,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),93.9,0.66
7,True,Texas,22032,29527941,115256,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),74.6,0.28
8,True,Tennessee,5396,6975218,23204,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),77.4,0.32
9,True,South Dakota,853,895376,3744,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),95.3,0.72
10,True,South Carolina,3787,5190705,17792,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),73.0,0.22
11,True,Rhode Island,710,1095610,3688,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),64.8,0.1
12,True,Pennsylvania,9601,12964056,46559,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),74.1,0.24
13,True,Oregon,4398,4246155,18433,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),103.6,0.84
14,True,Oklahoma,3986,3986639,15073,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),100.0,0.8
15,True,Ohio,10733,11780017,48193,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),91.1,0.58
16,True,North Dakota,676,774948,3241,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),87.2,0.44
17,True,North Carolina,7633,10551162,37318,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),72.3,0.18
18,True,New York,12605,19835913,71825,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),63.5,0.06
19,True,New Mexico,1649,2115877,7265,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),77.9,0.34
20,True,New Jersey,5392,9267130,34063,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),58.2,0.02
21,True,New Hampshire,1263,1388992,5759,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),90.9,0.56
22,True,Nevada,2515,3143991,12733,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),80.0,0.42
23,True,Nebraska,1740,1963692,8302,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),88.6,0.46
24,True,Montana,1062,1104271,4118,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),96.2,0.74
25,True,Missouri,5670,6168187,24368,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),91.9,0.6
26,True,Mississippi,1880,2949965,9128,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),63.7,0.08
27,True,Minnesota,5398,5707390,26777,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),94.6,0.7
28,True,Michigan,8939,10050811,40401,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),88.9,0.5
29,True,Massachusetts,5028,6984723,26530,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),72.0,0.16
30,True,Maryland,4566,6165129,25841,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),74.1,0.26
31,True,Maine,1563,1372247,6474,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),113.9,0.98
32,True,Louisiana,2783,4624047,12587,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),60.2,0.04
33,True,Kentucky,4405,4509394,18304,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),97.7,0.76
34,True,Kansas,2903,2934582,12796,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),98.9,0.78
35,True,Iowa,3262,3193079,14814,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),102.2,0.82
36,True,Indiana,7201,6805985,31655,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),105.8,0.86
37,True,Illinois,9177,12671469,49568,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),72.4,0.2
38,True,Idaho,2040,1900923,9118,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),107.3,0.88
39,True,Hawaii,1152,1441553,7029,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),79.9,0.4
40,True,Georgia,8329,10799566,44451,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),77.1,0.3
41,True,Florida,14461,21781128,74126,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),66.4,0.12
42,True,District of Columbia,379,670050,2446,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),56.6,0
43,True,Delaware,1118,1003384,5521,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),111.4,0.94
44,True,Connecticut,2857,3605597,16171,41.6227,41.62,-72.7028,-72.70,%null%,Breakdown by County (All Years),79.2,0.38
45,True,Colorado,6323,5812069,28977,39,39.00,-105.5,-105.50,%null%,Breakdown by County (All Years),108.8,0.92
46,True,California,26198,39237836,161789,37.25,37.25,-119.75,-119.75,%null%,Breakdown by County (All Years),66.8,0.14
47,True,Arkansas,3249,3025891,13502,34.75,34.75,-92.5,-92.50,%null%,Breakdown by County (All Years),107.4,0.9
48,True,Arizona,6692,7276316,31400,34.5,34.50,-111.5,-111.50,%null%,Breakdown by County (All Years),92.0,0.62
49,True,Alaska,1344,732673,6522,64,64.00,-150,-150.00,%null%,Breakdown by County (All Years),183.4,1
50,True,Alabama,4488,5039877,21830,32.75,32.75,-86.75,-86.75,%null%,Breakdown by County (All Years),89.0,0.52
