,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,320,578803,1258,43,43.00,-107.5,-107.50,%,%null%,25.44,0.5
1,True,Wisconsin,2873,5895908,11187,44.5,44.50,-90,-90.00,%,%null%,25.68,0.52
2,True,West Virginia,985,1782959,3552,38.63,38.63,-80.73,-80.73,%,%null%,27.73,0.7
3,True,Washington,4587,7738692,16226,47.5,47.50,-120.5,-120.50,%,%null%,28.27,0.74
4,True,Virginia,3959,8642274,17281,37.77,37.77,-78.24,-78.24,%,%null%,22.91,0.14
5,True,Vermont,318,645570,1183,44.1584,44.16,-72.7678,-72.77,%,%null%,26.88,0.62
6,True,Utah,2014,3337975,8602,39.25,39.25,-111.75,-111.75,%,%null%,23.41,0.24
7,True,Texas,12330,29527941,52987,31.25,31.25,-99.25,-99.25,%,%null%,23.27,0.2
8,True,Tennessee,3652,6975218,12425,35.75,35.75,-86.25,-86.25,%,%null%,29.39,0.86
9,True,South Dakota,475,895376,1605,44.5,44.50,-100.25,-100.25,%,%null%,29.60,0.9
10,True,South Carolina,2199,5190705,8798,34,34.00,-81,-81.00,%,%null%,24.99,0.44
11,True,Rhode Island,439,1095610,1806,41.4966,41.50,-71.4757,-71.48,%,%null%,24.31,0.36
12,True,Pennsylvania,5815,12964056,23312,40.86,40.86,-77.9,-77.90,%,%null%,24.94,0.42
13,True,Oregon,2881,4246155,8891,44,44.00,-120.5,-120.50,%,%null%,32.40,0.98
14,True,Oklahoma,2409,3986639,7404,35.5,35.50,-97.5,-97.50,%,%null%,32.54,1
15,True,Ohio,6111,11780017,22435,40.25,40.25,-83,-83.00,%,%null%,27.24,0.66
16,True,North Dakota,381,774948,1449,47.5,47.50,-100,-100.00,%,%null%,26.29,0.56
17,True,North Carolina,4409,10551162,18004,35.5,35.50,-80,-80.00,%,%null%,24.49,0.38
18,True,New York,7298,19835913,34192,43,43.00,-75.49,-75.49,%,%null%,21.34,0.08
19,True,New Mexico,967,2115877,3407,34.5,34.50,-106,-106.00,%,%null%,28.38,0.8
20,True,New Jersey,3225,9267130,16329,40.16,40.16,-74.49,-74.49,%,%null%,19.75,0.02
21,True,New Hampshire,777,1388992,2778,43.66,43.66,-71.49,-71.49,%,%null%,27.97,0.72
22,True,Nevada,1543,3143991,5992,39.25,39.25,-116.75,-116.75,%,%null%,25.75,0.54
23,True,Nebraska,980,1963692,3724,41.5,41.50,-99.75,-99.75,%,%null%,26.32,0.58
24,True,Montana,639,1104271,2018,47,47.00,-109.75,-109.75,%,%null%,31.67,0.96
25,True,Missouri,3300,6168187,11218,38.25,38.25,-92.5,-92.50,%,%null%,29.42,0.88
26,True,Mississippi,1012,2949965,4164,33.503,33.50,-89.8071,-89.81,%,%null%,24.30,0.34
27,True,Minnesota,2701,5707390,11470,46.25,46.25,-94.25,-94.25,%,%null%,23.55,0.3
28,True,Michigan,4742,10050811,18955,43.1045,43.10,-84.6165,-84.62,%,%null%,25.02,0.46
29,True,Massachusetts,3040,6984723,13008,42.3616,42.36,-72.1839,-72.18,%,%null%,23.37,0.22
30,True,Maryland,2462,6165129,11551,39.4444,39.44,-77.0834,-77.08,%,%null%,21.31,0.06
31,True,Maine,817,1372247,2695,45.5,45.50,-69.24,-69.24,%,%null%,30.32,0.94
32,True,Louisiana,1692,4624047,6246,30.6935,30.69,-92.241,-92.24,%,%null%,27.09,0.64
33,True,Kentucky,2572,4509394,8758,37.79,37.79,-84.87,-84.87,%,%null%,29.37,0.84
34,True,Kansas,1593,2934582,5623,38.5,38.50,-98.5,-98.50,%,%null%,28.33,0.78
35,True,Iowa,1664,3193079,6034,42,42.00,-93.5,-93.50,%,%null%,27.58,0.68
36,True,Indiana,4118,6805985,15494,40,40.00,-86.25,-86.25,%,%null%,26.58,0.6
37,True,Illinois,5476,12671469,24017,40,40.00,-89.25,-89.25,%,%null%,22.80,0.12
38,True,Idaho,1012,1900923,3508,44.0739,44.07,-114.542,-114.54,%,%null%,28.85,0.82
39,True,Hawaii,510,1441553,2739,20.79,20.79,-156.34,-156.34,%,%null%,18.62,0
40,True,Georgia,4573,10799566,19877,32.1598,32.16,-83.4715,-83.47,%,%null%,23.01,0.18
41,True,Florida,8060,21781128,35114,28.42,28.42,-81.55,-81.55,%,%null%,22.95,0.16
42,True,District of Columbia,320,670050,1294,38.91,38.91,-77,-77.00,%,%null%,24.73,0.4
43,True,Delaware,449,1003384,1898,38.6716,38.67,-75.4165,-75.42,%,%null%,23.66,0.32
44,True,Connecticut,1595,3605597,6776,41.6227,41.62,-72.7028,-72.70,%,%null%,23.54,0.26
45,True,Colorado,3483,5812069,12315,39,39.00,-105.5,-105.50,%,%null%,28.28,0.76
46,True,California,16492,39237836,78396,37.25,37.25,-119.75,-119.75,%,%null%,21.04,0.04
47,True,Arkansas,1761,3025891,5889,34.75,34.75,-92.5,-92.50,%,%null%,29.90,0.92
48,True,Arizona,3947,7276316,15642,34.5,34.50,-111.5,-111.50,%,%null%,25.23,0.48
49,True,Alaska,719,732673,3272,64,64.00,-150,-150.00,%,%null%,21.97,0.1
50,True,Alabama,2683,5039877,11398,32.75,32.75,-86.75,-86.75,%,%null%,23.54,0.28
