,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,77,578803,484,43,43.00,-107.5,-107.50,%,%null%,15.91,0.54
1,True,Wisconsin,807,5895908,4737,44.5,44.50,-90,-90.00,%,%null%,17.04,0.68
2,True,West Virginia,191,1782959,1360,38.63,38.63,-80.73,-80.73,%,%null%,14.04,0.22
3,True,Washington,1114,7738692,6658,47.5,47.50,-120.5,-120.50,%,%null%,16.73,0.64
4,True,Virginia,1014,8642274,7233,37.77,37.77,-78.24,-78.24,%,%null%,14.02,0.2
5,True,Vermont,70,645570,512,44.1584,44.16,-72.7678,-72.77,%,%null%,13.67,0.16
6,True,Utah,410,3337975,2548,39.25,39.25,-111.75,-111.75,%,%null%,16.09,0.58
7,True,Texas,3290,29527941,22478,31.25,31.25,-99.25,-99.25,%,%null%,14.64,0.34
8,True,Tennessee,734,6975218,4272,35.75,35.75,-86.25,-86.25,%,%null%,17.18,0.7
9,True,South Dakota,113,895376,627,44.5,44.50,-100.25,-100.25,%,%null%,18.02,0.8
10,True,South Carolina,527,5190705,3520,34,34.00,-81,-81.00,%,%null%,14.97,0.38
11,True,Rhode Island,96,1095610,743,41.4966,41.50,-71.4757,-71.48,%,%null%,12.92,0.1
12,True,Pennsylvania,1460,12964056,9323,40.86,40.86,-77.9,-77.90,%,%null%,15.66,0.48
13,True,Oregon,662,4246155,3529,44,44.00,-120.5,-120.50,%,%null%,18.76,0.88
14,True,Oklahoma,554,3986639,2664,35.5,35.50,-97.5,-97.50,%,%null%,20.80,1
15,True,Ohio,1565,11780017,9102,40.25,40.25,-83,-83.00,%,%null%,17.19,0.72
16,True,North Dakota,68,774948,549,47.5,47.50,-100,-100.00,%,%null%,12.39,0.06
17,True,North Carolina,1164,10551162,7572,35.5,35.50,-80,-80.00,%,%null%,15.37,0.42
18,True,New York,1945,19835913,14327,43,43.00,-75.49,-75.49,%,%null%,13.58,0.14
19,True,New Mexico,271,2115877,1354,34.5,34.50,-106,-106.00,%,%null%,20.01,0.98
20,True,New Jersey,887,9267130,7202,40.16,40.16,-74.49,-74.49,%,%null%,12.32,0.04
21,True,New Hampshire,187,1388992,1147,43.66,43.66,-71.49,-71.49,%,%null%,16.30,0.6
22,True,Nevada,417,3143991,2637,39.25,39.25,-116.75,-116.75,%,%null%,15.81,0.5
23,True,Nebraska,250,1963692,1512,41.5,41.50,-99.75,-99.75,%,%null%,16.53,0.62
24,True,Montana,137,1104271,696,47,47.00,-109.75,-109.75,%,%null%,19.68,0.94
25,True,Missouri,813,6168187,4450,38.25,38.25,-92.5,-92.50,%,%null%,18.27,0.82
26,True,Mississippi,244,2949965,1570,33.503,33.50,-89.8071,-89.81,%,%null%,15.54,0.44
27,True,Minnesota,751,5707390,5229,46.25,46.25,-94.25,-94.25,%,%null%,14.36,0.28
28,True,Michigan,1245,10050811,7824,43.1045,43.10,-84.6165,-84.62,%,%null%,15.91,0.56
29,True,Massachusetts,751,6984723,5271,42.3616,42.36,-72.1839,-72.18,%,%null%,14.25,0.24
30,True,Maryland,689,6165129,5095,39.4444,39.44,-77.0834,-77.08,%,%null%,13.52,0.12
31,True,Maine,208,1372247,1096,45.5,45.50,-69.24,-69.24,%,%null%,18.98,0.9
32,True,Louisiana,419,4624047,2423,30.6935,30.69,-92.241,-92.24,%,%null%,17.29,0.76
33,True,Kentucky,670,4509394,3480,37.79,37.79,-84.87,-84.87,%,%null%,19.25,0.92
34,True,Kansas,392,2934582,2274,38.5,38.50,-98.5,-98.50,%,%null%,17.24,0.74
35,True,Iowa,467,3193079,2543,42,42.00,-93.5,-93.50,%,%null%,18.36,0.84
36,True,Indiana,1042,6805985,6118,40,40.00,-86.25,-86.25,%,%null%,17.03,0.66
37,True,Illinois,1446,12671469,10328,40,40.00,-89.25,-89.25,%,%null%,14.00,0.18
38,True,Idaho,269,1900923,1439,44.0739,44.07,-114.542,-114.54,%,%null%,18.69,0.86
39,True,Hawaii,137,1441553,1195,20.79,20.79,-156.34,-156.34,%,%null%,11.46,0
40,True,Georgia,1276,10799566,8565,32.1598,32.16,-83.4715,-83.47,%,%null%,14.90,0.36
41,True,Florida,2141,21781128,14839,28.42,28.42,-81.55,-81.55,%,%null%,14.43,0.3
42,True,District of Columbia,44,670050,363,38.91,38.91,-77,-77.00,%,%null%,12.12,0.02
43,True,Delaware,132,1003384,844,38.6716,38.67,-75.4165,-75.42,%,%null%,15.64,0.46
44,True,Connecticut,441,3605597,3049,41.6227,41.62,-72.7028,-72.70,%,%null%,14.46,0.32
45,True,Colorado,917,5812069,5251,39,39.00,-105.5,-105.50,%,%null%,17.46,0.78
46,True,California,4417,39237836,34186,37.25,37.25,-119.75,-119.75,%,%null%,12.92,0.08
47,True,Arkansas,480,3025891,2433,34.75,34.75,-92.5,-92.50,%,%null%,19.73,0.96
48,True,Arizona,999,7276316,6291,34.5,34.50,-111.5,-111.50,%,%null%,15.88,0.52
49,True,Alaska,191,732673,1338,64,64.00,-150,-150.00,%,%null%,14.28,0.26
50,True,Alabama,691,5039877,4522,32.75,32.75,-86.75,-86.75,%,%null%,15.28,0.4
