,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,459,578803,1229,43,43.00,-107.5,-107.50,%,%null%,37.35,0.68
1,True,Wisconsin,3320,5895908,9630,44.5,44.50,-90,-90.00,%,%null%,34.48,0.38
2,True,West Virginia,1278,1782959,3319,38.63,38.63,-80.73,-80.73,%,%null%,38.51,0.78
3,True,Washington,5404,7738692,13462,47.5,47.50,-120.5,-120.50,%,%null%,40.14,0.9
4,True,Virginia,4814,8642274,14523,37.77,37.77,-78.24,-78.24,%,%null%,33.15,0.28
5,True,Vermont,447,645570,1161,44.1584,44.16,-72.7678,-72.77,%,%null%,38.50,0.76
6,True,Utah,2380,3337975,7387,39.25,39.25,-111.75,-111.75,%,%null%,32.22,0.18
7,True,Texas,13974,29527941,41635,31.25,31.25,-99.25,-99.25,%,%null%,33.56,0.34
8,True,Tennessee,4781,6975218,11686,35.75,35.75,-86.25,-86.25,%,%null%,40.91,0.92
9,True,South Dakota,538,895376,1473,44.5,44.50,-100.25,-100.25,%,%null%,36.52,0.58
10,True,South Carolina,2755,5190705,7786,34,34.00,-81,-81.00,%,%null%,35.38,0.46
11,True,Rhode Island,524,1095610,1623,41.4966,41.50,-71.4757,-71.48,%,%null%,32.29,0.2
12,True,Pennsylvania,6961,12964056,19365,40.86,40.86,-77.9,-77.90,%,%null%,35.95,0.5
13,True,Oregon,3653,4246155,7852,44,44.00,-120.5,-120.50,%,%null%,46.52,1
14,True,Oklahoma,3052,3986639,7074,35.5,35.50,-97.5,-97.50,%,%null%,43.14,0.96
15,True,Ohio,7292,11780017,19438,40.25,40.25,-83,-83.00,%,%null%,37.51,0.72
16,True,North Dakota,466,774948,1279,47.5,47.50,-100,-100.00,%,%null%,36.43,0.56
17,True,North Carolina,5148,10551162,15059,35.5,35.50,-80,-80.00,%,%null%,34.19,0.36
18,True,New York,8834,19835913,28327,43,43.00,-75.49,-75.49,%,%null%,31.19,0.08
19,True,New Mexico,1111,2115877,2908,34.5,34.50,-106,-106.00,%,%null%,38.20,0.74
20,True,New Jersey,3427,9267130,12049,40.16,40.16,-74.49,-74.49,%,%null%,28.44,0.04
21,True,New Hampshire,876,1388992,2210,43.66,43.66,-71.49,-71.49,%,%null%,39.64,0.86
22,True,Nevada,1734,3143991,4765,39.25,39.25,-116.75,-116.75,%,%null%,36.39,0.54
23,True,Nebraska,1206,1963692,3251,41.5,41.50,-99.75,-99.75,%,%null%,37.10,0.66
24,True,Montana,850,1104271,1879,47,47.00,-109.75,-109.75,%,%null%,45.24,0.98
25,True,Missouri,4078,6168187,9832,38.25,38.25,-92.5,-92.50,%,%null%,41.48,0.94
26,True,Mississippi,1559,2949965,4397,33.503,33.50,-89.8071,-89.81,%,%null%,35.46,0.48
27,True,Minnesota,3317,5707390,8964,46.25,46.25,-94.25,-94.25,%,%null%,37.00,0.64
28,True,Michigan,5654,10050811,15680,43.1045,43.10,-84.6165,-84.62,%,%null%,36.06,0.52
29,True,Massachusetts,3604,6984723,10405,42.3616,42.36,-72.1839,-72.18,%,%null%,34.64,0.4
30,True,Maryland,2751,6165129,8552,39.4444,39.44,-77.0834,-77.08,%,%null%,32.17,0.16
31,True,Maine,1084,1372247,2729,45.5,45.50,-69.24,-69.24,%,%null%,39.72,0.88
32,True,Louisiana,1997,4624047,5668,30.6935,30.69,-92.241,-92.24,%,%null%,35.23,0.44
33,True,Kentucky,3083,4509394,7828,37.79,37.79,-84.87,-84.87,%,%null%,39.38,0.84
34,True,Kansas,2023,2934582,5396,38.5,38.50,-98.5,-98.50,%,%null%,37.49,0.7
35,True,Iowa,1988,3193079,5423,42,42.00,-93.5,-93.50,%,%null%,36.66,0.62
36,True,Indiana,5061,6805985,14597,40,40.00,-86.25,-86.25,%,%null%,34.67,0.42
37,True,Illinois,6112,12671469,18689,40,40.00,-89.25,-89.25,%,%null%,32.70,0.22
38,True,Idaho,1228,1900923,3356,44.0739,44.07,-114.542,-114.54,%,%null%,36.59,0.6
39,True,Hawaii,679,1441553,2620,20.79,20.79,-156.34,-156.34,%,%null%,25.92,0
40,True,Georgia,5312,10799566,15960,32.1598,32.16,-83.4715,-83.47,%,%null%,33.28,0.32
41,True,Florida,9617,21781128,29065,28.42,28.42,-81.55,-81.55,%,%null%,33.09,0.26
42,True,District of Columbia,450,670050,1356,38.91,38.91,-77,-77.00,%,%null%,33.19,0.3
43,True,Delaware,620,1003384,1962,38.6716,38.67,-75.4165,-75.42,%,%null%,31.60,0.1
44,True,Connecticut,1829,3605597,5692,41.6227,41.62,-72.7028,-72.70,%,%null%,32.13,0.14
45,True,Colorado,4439,5812069,11470,39,39.00,-105.5,-105.50,%,%null%,38.70,0.8
46,True,California,17684,39237836,58754,37.25,37.25,-119.75,-119.75,%,%null%,30.10,0.06
47,True,Arkansas,2272,3025891,5805,34.75,34.75,-92.5,-92.50,%,%null%,39.14,0.82
48,True,Arizona,4506,7276316,13673,34.5,34.50,-111.5,-111.50,%,%null%,32.96,0.24
49,True,Alaska,815,732673,3000,64,64.00,-150,-150.00,%,%null%,27.17,0.02
50,True,Alabama,3098,5039877,9643,32.75,32.75,-86.75,-86.75,%,%null%,32.13,0.12
