,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,146,578803,585,43,43.00,-107.5,-107.50,%,%null%,24.96,0.96
1,True,Wisconsin,1256,5895908,6216,44.5,44.50,-90,-90.00,%,%null%,20.21,0.42
2,True,West Virginia,349,1782959,1356,38.63,38.63,-80.73,-80.73,%,%null%,25.74,0.98
3,True,Washington,1734,7738692,8405,47.5,47.50,-120.5,-120.50,%,%null%,20.63,0.54
4,True,Virginia,1628,8642274,9124,37.77,37.77,-78.24,-78.24,%,%null%,17.84,0.14
5,True,Vermont,148,645570,755,44.1584,44.16,-72.7678,-72.77,%,%null%,19.60,0.34
6,True,Utah,799,3337975,4220,39.25,39.25,-111.75,-111.75,%,%null%,18.93,0.24
7,True,Texas,5152,29527941,27474,31.25,31.25,-99.25,-99.25,%,%null%,18.75,0.22
8,True,Tennessee,1171,6975218,5185,35.75,35.75,-86.25,-86.25,%,%null%,22.58,0.84
9,True,South Dakota,210,895376,908,44.5,44.50,-100.25,-100.25,%,%null%,23.13,0.88
10,True,South Carolina,925,5190705,4292,34,34.00,-81,-81.00,%,%null%,21.55,0.66
11,True,Rhode Island,173,1095610,897,41.4966,41.50,-71.4757,-71.48,%,%null%,19.29,0.28
12,True,Pennsylvania,2154,12964056,10869,40.86,40.86,-77.9,-77.90,%,%null%,19.82,0.4
13,True,Oregon,1069,4246155,4904,44,44.00,-120.5,-120.50,%,%null%,21.80,0.7
14,True,Oklahoma,958,3986639,3456,35.5,35.50,-97.5,-97.50,%,%null%,27.72,1
15,True,Ohio,2625,11780017,11744,40.25,40.25,-83,-83.00,%,%null%,22.35,0.78
16,True,North Dakota,191,774948,888,47.5,47.50,-100,-100.00,%,%null%,21.51,0.64
17,True,North Carolina,1805,10551162,9406,35.5,35.50,-80,-80.00,%,%null%,19.19,0.26
18,True,New York,2947,19835913,16472,43,43.00,-75.49,-75.49,%,%null%,17.89,0.16
19,True,New Mexico,365,2115877,1780,34.5,34.50,-106,-106.00,%,%null%,20.51,0.5
20,True,New Jersey,1265,9267130,8084,40.16,40.16,-74.49,-74.49,%,%null%,15.65,0.02
21,True,New Hampshire,302,1388992,1355,43.66,43.66,-71.49,-71.49,%,%null%,22.29,0.76
22,True,Nevada,580,3143991,2866,39.25,39.25,-116.75,-116.75,%,%null%,20.24,0.46
23,True,Nebraska,419,1963692,2122,41.5,41.50,-99.75,-99.75,%,%null%,19.75,0.36
24,True,Montana,253,1104271,1041,47,47.00,-109.75,-109.75,%,%null%,24.30,0.94
25,True,Missouri,1376,6168187,6092,38.25,38.25,-92.5,-92.50,%,%null%,22.59,0.86
26,True,Mississippi,451,2949965,2091,33.503,33.50,-89.8071,-89.81,%,%null%,21.57,0.68
27,True,Minnesota,1307,5707390,6712,46.25,46.25,-94.25,-94.25,%,%null%,19.47,0.32
28,True,Michigan,2125,10050811,9673,43.1045,43.10,-84.6165,-84.62,%,%null%,21.97,0.74
29,True,Massachusetts,1176,6984723,6712,42.3616,42.36,-72.1839,-72.18,%,%null%,17.52,0.12
30,True,Maryland,1076,6165129,6291,39.4444,39.44,-77.0834,-77.08,%,%null%,17.10,0.1
31,True,Maine,316,1372247,1600,45.5,45.50,-69.24,-69.24,%,%null%,19.75,0.38
32,True,Louisiana,646,4624047,3048,30.6935,30.69,-92.241,-92.24,%,%null%,21.19,0.58
33,True,Kentucky,1069,4509394,4476,37.79,37.79,-84.87,-84.87,%,%null%,23.88,0.92
34,True,Kansas,686,2934582,3058,38.5,38.50,-98.5,-98.50,%,%null%,22.43,0.8
35,True,Iowa,775,3193079,3782,42,42.00,-93.5,-93.50,%,%null%,20.49,0.48
36,True,Indiana,1641,6805985,7490,40,40.00,-86.25,-86.25,%,%null%,21.91,0.72
37,True,Illinois,2083,12671469,11552,40,40.00,-89.25,-89.25,%,%null%,18.03,0.18
38,True,Idaho,521,1900923,2451,44.0739,44.07,-114.542,-114.54,%,%null%,21.26,0.6
39,True,Hawaii,264,1441553,1680,20.79,20.79,-156.34,-156.34,%,%null%,15.71,0.06
40,True,Georgia,1867,10799566,10271,32.1598,32.16,-83.4715,-83.47,%,%null%,18.18,0.2
41,True,Florida,3134,21781128,16201,28.42,28.42,-81.55,-81.55,%,%null%,19.34,0.3
42,True,District of Columbia,86,670050,646,38.91,38.91,-77,-77.00,%,%null%,13.31,0
43,True,Delaware,287,1003384,1341,38.6716,38.67,-75.4165,-75.42,%,%null%,21.40,0.62
44,True,Connecticut,653,3605597,3988,41.6227,41.62,-72.7028,-72.70,%,%null%,16.37,0.08
45,True,Colorado,1531,5812069,7466,39,39.00,-105.5,-105.50,%,%null%,20.51,0.52
46,True,California,6056,39237836,38658,37.25,37.25,-119.75,-119.75,%,%null%,15.67,0.04
47,True,Arkansas,715,3025891,3090,34.75,34.75,-92.5,-92.50,%,%null%,23.14,0.9
48,True,Arizona,1544,7276316,7293,34.5,34.50,-111.5,-111.50,%,%null%,21.17,0.56
49,True,Alaska,283,732673,1261,64,64.00,-150,-150.00,%,%null%,22.44,0.82
50,True,Alabama,893,5039877,4413,32.75,32.75,-86.75,-86.75,%,%null%,20.24,0.44
