,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,2170,578803,6790,43,43.00,-107.5,-107.50,%,%null%,31.96,0.78
1,True,Wisconsin,17646,5895908,60602,44.5,44.50,-90,-90.00,%,%null%,29.12,0.44
2,True,West Virginia,6269,1782959,18590,38.63,38.63,-80.73,-80.73,%,%null%,33.72,0.9
3,True,Washington,27314,7738692,84513,47.5,47.50,-120.5,-120.50,%,%null%,32.32,0.82
4,True,Virginia,24132,8642274,89698,37.77,37.77,-78.24,-78.24,%,%null%,26.90,0.24
5,True,Vermont,2283,645570,7222,44.1584,44.16,-72.7678,-72.77,%,%null%,31.61,0.7
6,True,Utah,12445,3337975,45342,39.25,39.25,-111.75,-111.75,%,%null%,27.45,0.3
7,True,Texas,73543,29527941,274074,31.25,31.25,-99.25,-99.25,%,%null%,26.83,0.22
8,True,Tennessee,22944,6975218,67206,35.75,35.75,-86.25,-86.25,%,%null%,34.14,0.94
9,True,South Dakota,2910,895376,9242,44.5,44.50,-100.25,-100.25,%,%null%,31.49,0.68
10,True,South Carolina,13895,5190705,47063,34,34.00,-81,-81.00,%,%null%,29.52,0.48
11,True,Rhode Island,2610,1095610,9453,41.4966,41.50,-71.4757,-71.48,%,%null%,27.61,0.32
12,True,Pennsylvania,35095,12964056,120004,40.86,40.86,-77.9,-77.90,%,%null%,29.24,0.46
13,True,Oregon,17627,4246155,47894,44,44.00,-120.5,-120.50,%,%null%,36.80,0.98
14,True,Oklahoma,15518,3986639,41809,35.5,35.50,-97.5,-97.50,%,%null%,37.12,1
15,True,Ohio,37571,11780017,120931,40.25,40.25,-83,-83.00,%,%null%,31.07,0.66
16,True,North Dakota,2394,774948,8014,47.5,47.50,-100,-100.00,%,%null%,29.87,0.54
17,True,North Carolina,27308,10551162,96238,35.5,35.50,-80,-80.00,%,%null%,28.38,0.38
18,True,New York,43879,19835913,175701,43,43.00,-75.49,-75.49,%,%null%,24.97,0.08
19,True,New Mexico,5735,2115877,18088,34.5,34.50,-106,-106.00,%,%null%,31.71,0.72
20,True,New Jersey,17937,9267130,79551,40.16,40.16,-74.49,-74.49,%,%null%,22.55,0.02
21,True,New Hampshire,4547,1388992,14122,43.66,43.66,-71.49,-71.49,%,%null%,32.20,0.8
22,True,Nevada,8689,3143991,30068,39.25,39.25,-116.75,-116.75,%,%null%,28.90,0.4
23,True,Nebraska,6219,1963692,20794,41.5,41.50,-99.75,-99.75,%,%null%,29.91,0.56
24,True,Montana,4049,1104271,11250,47,47.00,-109.75,-109.75,%,%null%,35.99,0.96
25,True,Missouri,20523,6168187,61500,38.25,38.25,-92.5,-92.50,%,%null%,33.37,0.86
26,True,Mississippi,7912,2949965,26022,33.503,33.50,-89.8071,-89.81,%,%null%,30.41,0.6
27,True,Minnesota,17804,5707390,61488,46.25,46.25,-94.25,-94.25,%,%null%,28.96,0.42
28,True,Michigan,30065,10050811,100660,43.1045,43.10,-84.6165,-84.62,%,%null%,29.87,0.52
29,True,Massachusetts,17829,6984723,66163,42.3616,42.36,-72.1839,-72.18,%,%null%,26.95,0.26
30,True,Maryland,14581,6165129,58525,39.4444,39.44,-77.0834,-77.08,%,%null%,24.91,0.06
31,True,Maine,5436,1372247,15945,45.5,45.50,-69.24,-69.24,%,%null%,34.09,0.92
32,True,Louisiana,10047,4624047,33652,30.6935,30.69,-92.241,-92.24,%,%null%,29.86,0.5
33,True,Kentucky,15888,4509394,47412,37.79,37.79,-84.87,-84.87,%,%null%,33.51,0.88
34,True,Kansas,10142,2934582,31945,38.5,38.50,-98.5,-98.50,%,%null%,31.75,0.74
35,True,Iowa,10768,3193079,35051,42,42.00,-93.5,-93.50,%,%null%,30.72,0.62
36,True,Indiana,25385,6805985,83605,40,40.00,-86.25,-86.25,%,%null%,30.36,0.58
37,True,Illinois,31940,12671469,121155,40,40.00,-89.25,-89.25,%,%null%,26.36,0.16
38,True,Idaho,6562,1900923,21291,44.0739,44.07,-114.542,-114.54,%,%null%,30.82,0.64
39,True,Hawaii,3470,1441553,16005,20.79,20.79,-156.34,-156.34,%,%null%,21.68,0
40,True,Georgia,27927,10799566,105224,32.1598,32.16,-83.4715,-83.47,%,%null%,26.54,0.2
41,True,Florida,49146,21781128,181923,28.42,28.42,-81.55,-81.55,%,%null%,27.01,0.28
42,True,District of Columbia,2037,670050,7741,38.91,38.91,-77,-77.00,%,%null%,26.31,0.14
43,True,Delaware,3278,1003384,12417,38.6716,38.67,-75.4165,-75.42,%,%null%,26.40,0.18
44,True,Connecticut,9642,3605597,37391,41.6227,41.62,-72.7028,-72.70,%,%null%,25.79,0.1
45,True,Colorado,23011,5812069,72069,39,39.00,-105.5,-105.50,%,%null%,31.93,0.76
46,True,California,91598,39237836,384812,37.25,37.25,-119.75,-119.75,%,%null%,23.80,0.04
47,True,Arkansas,11100,3025891,33733,34.75,34.75,-92.5,-92.50,%,%null%,32.91,0.84
48,True,Arizona,22453,7276316,79251,34.5,34.50,-111.5,-111.50,%,%null%,28.33,0.36
49,True,Alaska,4003,732673,15403,64,64.00,-150,-150.00,%,%null%,25.99,0.12
50,True,Alabama,15317,5039877,54781,32.75,32.75,-86.75,-86.75,%,%null%,27.96,0.34
