,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,1500,578803,3987,43,43.00,-107.5,-107.50,%,%null%,37.62,0.7
1,True,Wisconsin,12173,5895908,35091,44.5,44.50,-90,-90.00,%,%null%,34.69,0.4
2,True,West Virginia,4621,1782959,11790,38.63,38.63,-80.73,-80.73,%,%null%,39.19,0.8
3,True,Washington,19799,7738692,50416,47.5,47.50,-120.5,-120.50,%,%null%,39.27,0.82
4,True,Virginia,17069,8642274,52764,37.77,37.77,-78.24,-78.24,%,%null%,32.35,0.24
5,True,Vermont,1667,645570,4214,44.1584,44.16,-72.7678,-72.77,%,%null%,39.56,0.88
6,True,Utah,9201,3337975,29040,39.25,39.25,-111.75,-111.75,%,%null%,31.68,0.16
7,True,Texas,50832,29527941,156259,31.25,31.25,-99.25,-99.25,%,%null%,32.53,0.3
8,True,Tennessee,17356,6975218,43411,35.75,35.75,-86.25,-86.25,%,%null%,39.98,0.9
9,True,South Dakota,2033,895376,5411,44.5,44.50,-100.25,-100.25,%,%null%,37.57,0.68
10,True,South Carolina,9982,5190705,28045,34,34.00,-81,-81.00,%,%null%,35.59,0.46
11,True,Rhode Island,1876,1095610,5665,41.4966,41.50,-71.4757,-71.48,%,%null%,33.12,0.34
12,True,Pennsylvania,25196,12964056,72414,40.86,40.86,-77.9,-77.90,%,%null%,34.79,0.42
13,True,Oregon,13061,4246155,29000,44,44.00,-120.5,-120.50,%,%null%,45.04,1
14,True,Oklahoma,11383,3986639,26311,35.5,35.50,-97.5,-97.50,%,%null%,43.26,0.96
15,True,Ohio,26493,11780017,71642,40.25,40.25,-83,-83.00,%,%null%,36.98,0.62
16,True,North Dakota,1695,774948,4694,47.5,47.50,-100,-100.00,%,%null%,36.11,0.58
17,True,North Carolina,19441,10551162,56112,35.5,35.50,-80,-80.00,%,%null%,34.65,0.38
18,True,New York,30833,19835913,102165,43,43.00,-75.49,-75.49,%,%null%,30.18,0.06
19,True,New Mexico,4036,2115877,10641,34.5,34.50,-106,-106.00,%,%null%,37.93,0.72
20,True,New Jersey,12379,9267130,44758,40.16,40.16,-74.49,-74.49,%,%null%,27.66,0.02
21,True,New Hampshire,3246,1388992,8242,43.66,43.66,-71.49,-71.49,%,%null%,39.38,0.84
22,True,Nevada,6087,3143991,17021,39.25,39.25,-116.75,-116.75,%,%null%,35.76,0.5
23,True,Nebraska,4430,1963692,12308,41.5,41.50,-99.75,-99.75,%,%null%,35.99,0.56
24,True,Montana,2949,1104271,6800,47,47.00,-109.75,-109.75,%,%null%,43.37,0.98
25,True,Missouri,14677,6168187,36571,38.25,38.25,-92.5,-92.50,%,%null%,40.13,0.92
26,True,Mississippi,5965,2949965,16624,33.503,33.50,-89.8071,-89.81,%,%null%,35.88,0.54
27,True,Minnesota,12230,5707390,34104,46.25,46.25,-94.25,-94.25,%,%null%,35.86,0.52
28,True,Michigan,20886,10050811,59401,43.1045,43.10,-84.6165,-84.62,%,%null%,35.16,0.44
29,True,Massachusetts,12639,6984723,39068,42.3616,42.36,-72.1839,-72.18,%,%null%,32.35,0.26
30,True,Maryland,9880,6165129,32097,39.4444,39.44,-77.0834,-77.08,%,%null%,30.78,0.1
31,True,Maine,3828,1372247,9334,45.5,45.50,-69.24,-69.24,%,%null%,41.01,0.94
32,True,Louisiana,7174,4624047,20145,30.6935,30.69,-92.241,-92.24,%,%null%,35.61,0.48
33,True,Kentucky,11305,4509394,28636,37.79,37.79,-84.87,-84.87,%,%null%,39.48,0.86
34,True,Kansas,7160,2934582,18841,38.5,38.50,-98.5,-98.50,%,%null%,38.00,0.74
35,True,Iowa,7407,3193079,19905,42,42.00,-93.5,-93.50,%,%null%,37.21,0.64
36,True,Indiana,17976,6805985,49699,40,40.00,-86.25,-86.25,%,%null%,36.17,0.6
37,True,Illinois,22476,12671469,70512,40,40.00,-89.25,-89.25,%,%null%,31.88,0.18
38,True,Idaho,4474,1900923,11972,44.0739,44.07,-114.542,-114.54,%,%null%,37.37,0.66
39,True,Hawaii,2275,1441553,8759,20.79,20.79,-156.34,-156.34,%,%null%,25.97,0
40,True,Georgia,19339,10799566,59729,32.1598,32.16,-83.4715,-83.47,%,%null%,32.38,0.28
41,True,Florida,34181,21781128,105928,28.42,28.42,-81.55,-81.55,%,%null%,32.27,0.22
42,True,District of Columbia,1634,670050,5200,38.91,38.91,-77,-77.00,%,%null%,31.42,0.12
43,True,Delaware,2131,1003384,6743,38.6716,38.67,-75.4165,-75.42,%,%null%,31.60,0.14
44,True,Connecticut,6687,3605597,20839,41.6227,41.62,-72.7028,-72.70,%,%null%,32.09,0.2
45,True,Colorado,16467,5812069,42416,39,39.00,-105.5,-105.50,%,%null%,38.82,0.76
46,True,California,64379,39237836,219054,37.25,37.25,-119.75,-119.75,%,%null%,29.39,0.04
47,True,Arkansas,7737,3025891,19874,34.75,34.75,-92.5,-92.50,%,%null%,38.93,0.78
48,True,Arizona,15513,7276316,45755,34.5,34.50,-111.5,-111.50,%,%null%,33.90,0.36
49,True,Alaska,2609,732673,8624,64,64.00,-150,-150.00,%,%null%,30.25,0.08
50,True,Alabama,10630,5039877,32275,32.75,32.75,-86.75,-86.75,%,%null%,32.94,0.32
