,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Mexico,New Mexico,71,248,186151,186151,38.14107901649736,38.1,38.14107901649736,38.14107901649736,38.1
1,%null%,%null%,True,True,Arizona,Arizona,151,593,279130,279130,54.09665747142908,54.1,54.09665747142908,54.09665747142908,54.1
2,%null%,%null%,True,True,Mississippi,Mississippi,9,53,14992,14992,60.03201707577375,60.0,60.03201707577375,60.03201707577375,60.0
3,%null%,%null%,True,True,Alaska,Alaska,67,220,109039,109039,61.44590467630847,61.4,61.44590467630847,61.44590467630847,61.4
4,%null%,%null%,True,True,Connecticut,Connecticut,5,37,8111,8111,61.644680064110474,61.6,61.644680064110474,61.644680064110474,61.6
5,%null%,%null%,True,True,New Jersey,New Jersey,9,70,14320,14320,62.849162011173185,62.8,62.849162011173185,62.849162011173185,62.8
6,%null%,%null%,True,True,North Carolina,North Carolina,73,249,115825,115825,63.026116986833586,63.0,63.026116986833586,63.026116986833586,63.0
7,%null%,%null%,True,True,Montana,Montana,48,144,66192,66192,72.51631617113851,72.5,72.51631617113851,72.51631617113851,72.5
8,%null%,%null%,True,True,Oklahoma,Oklahoma,305,874,339826,339826,89.75181416371909,89.8,89.75181416371909,89.75181416371909,89.8
9,%null%,%null%,True,True,Utah,Utah,32,132,31014,31014,103.17920938930806,103.2,103.17920938930806,103.17920938930806,103.2
10,%null%,%null%,True,True,South Dakota,South Dakota,78,183,73258,73258,106.47301318627318,106.5,106.47301318627318,106.47301318627318,106.5
11,%null%,%null%,True,True,North Dakota,North Dakota,44,134,40207,40207,109.43368070236525,109.4,109.43368070236525,109.43368070236525,109.4
12,%null%,%null%,True,True,South Carolina,South Carolina,22,79,19363,19363,113.6187574239529,113.6,113.6187574239529,113.6187574239529,113.6
13,%null%,%null%,True,True,Nevada,Nevada,32,102,26502,26502,120.74560410535054,120.7,120.74560410535054,120.74560410535054,120.7
14,%null%,%null%,True,True,New York,New York,79,301,60197,60197,131.23577586922934,131.2,131.23577586922934,131.23577586922934,131.2
15,%null%,%null%,True,True,Maryland,Maryland,20,97,14865,14865,134.54423141607805,134.5,134.54423141607805,134.54423141607805,134.5
16,%null%,%null%,True,True,Louisiana,Louisiana,41,110,30358,30358,135.05501021147637,135.1,135.05501021147637,135.05501021147637,135.1
17,%null%,%null%,True,True,Wisconsin,Wisconsin,73,231,52520,52520,138.994668697639,139.0,138.994668697639,138.994668697639,139.0
18,%null%,%null%,True,True,Wyoming,Wyoming,17,36,12146,12146,139.9637740820023,140.0,139.9637740820023,139.9637740820023,140.0
19,%null%,%null%,True,True,Washington,Washington,138,369,95740,95740,144.14038019636516,144.1,144.14038019636516,144.14038019636516,144.1
20,%null%,%null%,True,True,Nebraska,Nebraska,24,66,16418,16418,146.18102083079546,146.2,146.18102083079546,146.18102083079546,146.2
21,%null%,%null%,True,True,Georgia,Georgia,37,154,24975,24975,148.14814814814815,148.1,148.14814814814815,148.14814814814815,148.1
22,%null%,%null%,True,True,Arkansas,Arkansas,37,116,23903,23903,154.79228548717734,154.8,154.79228548717734,154.79228548717734,154.8
23,%null%,%null%,True,True,Illinois,Illinois,32,144,19819,19819,161.46122407790503,161.5,161.46122407790503,161.46122407790503,161.5
24,%null%,%null%,True,True,Michigan,Michigan,95,290,57651,57651,164.78465247784078,164.8,164.78465247784078,164.78465247784078,164.8
25,%null%,%null%,True,True,Texas,Texas,163,543,96976,96976,168.08282461639993,168.1,168.08282461639993,168.08282461639993,168.1
26,%null%,%null%,True,True,Alabama,Alabama,48,167,28165,28165,170.42428546067816,170.4,170.42428546067816,170.42428546067816,170.4
27,%null%,%null%,True,True,Kansas,Kansas,40,101,23301,23301,171.66645208360157,171.7,171.66645208360157,171.66645208360157,171.7
28,%null%,%null%,True,True,Minnesota,Minnesota,108,282,60687,60687,177.9623313065401,178.0,177.9623313065401,177.9623313065401,178.0
29,%null%,%null%,True,True,California,California,293,889,160861,160861,182.1448331167903,182.1,182.1448331167903,182.1448331167903,182.1
30,%null%,%null%,True,True,Iowa,Iowa,18,66,9836,9836,183.0012200081334,183.0,183.0012200081334,183.0012200081334,183.0
31,%null%,%null%,True,True,Florida,Florida,102,300,55453,55453,183.9395524137558,183.9,183.9395524137558,183.9395524137558,183.9
32,%null%,%null%,True,True,Idaho,Idaho,38,83,20059,20059,189.4411486115958,189.4,189.4411486115958,189.4411486115958,189.4
33,%null%,%null%,True,True,Colorado,Colorado,72,181,37197,37197,193.56399709654005,193.6,193.56399709654005,193.56399709654005,193.6
34,%null%,%null%,True,True,Oregon,Oregon,91,218,46873,46873,194.1416167089796,194.1,194.1416167089796,194.1416167089796,194.1
35,%null%,%null%,True,True,Virginia,Virginia,45,135,23140,23140,194.46845289541918,194.5,194.46845289541918,194.46845289541918,194.5
36,%null%,%null%,True,True,Rhode Island,Rhode Island,10,22,4633,4633,215.84286639326572,215.8,215.84286639326572,215.84286639326572,215.8
37,%null%,%null%,True,True,Tennessee,Tennessee,43,112,19841,19841,216.7229474320851,216.7,216.7229474320851,216.7229474320851,216.7
38,%null%,%null%,True,True,Missouri,Missouri,62,151,27135,27135,228.487193661323,228.5,228.487193661323,228.487193661323,228.5
39,%null%,%null%,True,True,West Virginia,West Virginia,9,27,3860,3860,233.160621761658,233.2,233.160621761658,233.160621761658,233.2
40,%null%,%null%,True,True,Massachusetts,Massachusetts,30,82,12835,12835,233.7358784573432,233.7,233.7358784573432,233.7358784573432,233.7
41,%null%,%null%,True,True,Ohio,Ohio,63,237,22944,22944,274.581589958159,274.6,274.581589958159,274.581589958159,274.6
42,%null%,%null%,True,True,Hawaii,Hawaii,9,25,3099,3099,290.4162633107454,290.4,290.4162633107454,290.4162633107454,290.4
43,%null%,%null%,True,True,Maine,Maine,26,59,8892,8892,292.39766081871346,292.4,292.39766081871346,292.39766081871346,292.4
44,%null%,%null%,True,True,Delaware,Delaware,9,16,3033,3033,296.7359050445104,296.7,296.7359050445104,296.7359050445104,296.7
45,%null%,%null%,True,True,Pennsylvania,Pennsylvania,57,164,19021,19021,299.6687871300142,299.7,299.6687871300142,299.6687871300142,299.7
46,%null%,%null%,True,True,Indiana,Indiana,50,184,15815,15815,316.1555485298767,316.2,316.1555485298767,316.1555485298767,316.2
47,%null%,%null%,True,True,Kentucky,Kentucky,31,85,9313,9313,332.8680339310641,332.9,332.8680339310641,332.8680339310641,332.9
48,%null%,%null%,True,True,District of Columbia,District of Columbia,5,20,1383,1383,361.5328994938539,361.5,361.5328994938539,361.5328994938539,361.5
