,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,169,1668,942292,942292,17.934992550080015,17.9,17.934992550080015,17.934992550080015,17.9
1,%null%,%null%,True,True,New Hampshire,New Hampshire,8,83,42740,42740,18.7178287318671,18.7,18.7178287318671,18.7178287318671,18.7
2,%null%,%null%,True,True,Missouri,Missouri,28,315,144420,144420,19.38789641323916,19.4,19.38789641323916,19.38789641323916,19.4
3,%null%,%null%,True,True,New York,New York,357,3231,1812286,1812286,19.698877550232137,19.7,19.698877550232137,19.698877550232137,19.7
4,%null%,%null%,True,True,Ohio,Ohio,66,591,313413,313413,21.0584755578103,21.1,21.0584755578103,21.0584755578103,21.1
5,%null%,%null%,True,True,Texas,Texas,342,3015,1584396,1584396,21.585512712730907,21.6,21.585512712730907,21.585512712730907,21.6
6,%null%,%null%,True,True,Massachusetts,Massachusetts,114,987,520119,520119,21.91806105910378,21.9,21.91806105910378,21.91806105910378,21.9
7,%null%,%null%,True,True,Pennsylvania,Pennsylvania,111,1063,503783,503783,22.033296081844764,22.0,22.033296081844764,22.033296081844764,22.0
8,%null%,%null%,True,True,Oklahoma,Oklahoma,23,188,102892,102892,22.353535746219336,22.4,22.353535746219336,22.353535746219336,22.4
9,%null%,%null%,True,True,Maryland,Maryland,95,841,421227,421227,22.553160172543546,22.6,22.553160172543546,22.553160172543546,22.6
10,%null%,%null%,True,True,California,California,1397,11921,6136428,6136428,22.765687139163045,22.8,22.765687139163045,22.765687139163045,22.8
11,%null%,%null%,True,True,Iowa,Iowa,21,192,91780,91780,22.880801917629114,22.9,22.880801917629114,22.880801917629114,22.9
12,%null%,%null%,True,True,Florida,Florida,151,1405,650132,650132,23.226052555481044,23.2,23.226052555481044,23.226052555481044,23.2
13,%null%,%null%,True,True,Louisiana,Louisiana,20,145,85860,85860,23.293733985557886,23.3,23.293733985557886,23.293733985557886,23.3
14,%null%,%null%,True,True,Illinois,Illinois,178,1528,756590,756590,23.52661282861259,23.5,23.52661282861259,23.52661282861259,23.5
15,%null%,%null%,True,True,Georgia,Georgia,119,1006,490433,490433,24.264272591770947,24.3,24.264272591770947,24.264272591770947,24.3
16,%null%,%null%,True,True,North Carolina,North Carolina,86,709,353832,353832,24.30532003888851,24.3,24.30532003888851,24.30532003888851,24.3
17,%null%,%null%,True,True,Kansas,Kansas,23,207,94576,94576,24.31906614785992,24.3,24.31906614785992,24.31906614785992,24.3
18,%null%,%null%,True,True,Virginia,Virginia,155,1319,614516,614516,25.223102409050373,25.2,25.223102409050373,25.223102409050373,25.2
19,%null%,%null%,True,True,Michigan,Michigan,88,788,341843,341843,25.742811758614334,25.7,25.742811758614334,25.742811758614334,25.7
20,%null%,%null%,True,True,Tennessee,Tennessee,36,304,139839,139839,25.743891189153242,25.7,25.743891189153242,25.743891189153242,25.7
21,%null%,%null%,True,True,Delaware,Delaware,11,85,41957,41957,26.217317730056962,26.2,26.217317730056962,26.217317730056962,26.2
22,%null%,%null%,True,True,Wisconsin,Wisconsin,49,454,185474,185474,26.418797243818542,26.4,26.418797243818542,26.418797243818542,26.4
23,%null%,%null%,True,True,South Carolina,South Carolina,27,229,100149,100149,26.959829853518258,27.0,26.959829853518258,26.959829853518258,27.0
24,%null%,%null%,True,True,Nevada,Nevada,80,621,292101,292101,27.38778710103697,27.4,27.38778710103697,27.38778710103697,27.4
25,%null%,%null%,True,True,Washington,Washington,223,1661,813284,813284,27.419695948770663,27.4,27.419695948770663,27.419695948770663,27.4
26,%null%,%null%,True,True,Connecticut,Connecticut,51,367,179054,179054,28.48302746657433,28.5,28.48302746657433,28.48302746657433,28.5
27,%null%,%null%,True,True,Hawaii,Hawaii,191,1248,651433,651433,29.31997611419747,29.3,29.31997611419747,29.31997611419747,29.3
28,%null%,%null%,True,True,Mississippi,Mississippi,11,120,33735,33735,32.60708463020602,32.6,32.60708463020602,32.60708463020602,32.6
29,%null%,%null%,True,True,Minnesota,Minnesota,102,684,305845,305845,33.350226421880365,33.4,33.350226421880365,33.350226421880365,33.4
30,%null%,%null%,True,True,Oregon,Oregon,75,476,221414,221414,33.873196816822784,33.9,33.873196816822784,33.873196816822784,33.9
31,%null%,%null%,True,True,Arkansas,Arkansas,22,174,64245,64245,34.243910031909095,34.2,34.243910031909095,34.243910031909095,34.2
32,%null%,%null%,True,True,Rhode Island,Rhode Island,14,84,39360,39360,35.56910569105691,35.6,35.56910569105691,35.56910569105691,35.6
33,%null%,%null%,True,True,Utah,Utah,43,351,119717,119717,35.918040044438136,35.9,35.918040044438136,35.918040044438136,35.9
34,%null%,%null%,True,True,South Dakota,South Dakota,6,49,15358,15358,39.06758692538091,39.1,39.06758692538091,39.06758692538091,39.1
35,%null%,%null%,True,True,Kentucky,Kentucky,31,183,78406,78406,39.537790475218735,39.5,39.537790475218735,39.537790475218735,39.5
36,%null%,%null%,True,True,New Mexico,New Mexico,15,118,35760,35760,41.946308724832214,41.9,41.946308724832214,41.946308724832214,41.9
37,%null%,%null%,True,True,Maine,Maine,8,77,18886,18886,42.359419675950434,42.4,42.359419675950434,42.359419675950434,42.4
38,%null%,%null%,True,True,Nebraska,Nebraska,23,142,54128,54128,42.491871120307415,42.5,42.491871120307415,42.491871120307415,42.5
39,%null%,%null%,True,True,Colorado,Colorado,92,587,206559,206559,44.53933258778363,44.5,44.53933258778363,44.53933258778363,44.5
40,%null%,%null%,True,True,Arizona,Arizona,127,870,270631,270631,46.927366044540356,46.9,46.927366044540356,46.927366044540356,46.9
41,%null%,%null%,True,True,Idaho,Idaho,16,101,31829,31829,50.268622953909954,50.3,50.268622953909954,50.268622953909954,50.3
42,%null%,%null%,True,True,Indiana,Indiana,94,1045,183573,183573,51.205787343454645,51.2,51.205787343454645,51.205787343454645,51.2
43,%null%,%null%,True,True,District of Columbia,District of Columbia,16,82,29628,29628,54.00297016335898,54.0,54.00297016335898,54.00297016335898,54.0
44,%null%,%null%,True,True,Vermont,Vermont,7,50,12952,12952,54.045707226683135,54.0,54.045707226683135,54.045707226683135,54.0
45,%null%,%null%,True,True,Montana,Montana,7,29,11461,11461,61.076694878282865,61.1,61.076694878282865,61.076694878282865,61.1
46,%null%,%null%,True,True,Alaska,Alaska,55,476,58213,58213,94.48061429577585,94.5,94.48061429577585,94.48061429577585,94.5
47,%null%,%null%,True,True,West Virginia,West Virginia,15,137,15762,15762,95.1655881233346,95.2,95.1655881233346,95.1655881233346,95.2
48,%null%,%null%,True,True,Alabama,Alabama,95,756,78576,78576,120.90205660761556,120.9,120.90205660761556,120.90205660761556,120.9
49,%null%,%null%,True,True,Wyoming,Wyoming,10,55,6184,6184,161.70763260025873,161.7,161.70763260025873,161.70763260025873,161.7
