,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Mississippi,Mississippi,1012,4164,2949965,2949965,34.305491760071725,34.31,34.305491760071725,34.305491760071725,34.3
1,%null%,%null%,True,True,New Jersey,New Jersey,3225,16329,9267130,9267130,34.800418252468674,34.80,34.800418252468674,34.800418252468674,34.8
2,%null%,%null%,True,True,Hawaii,Hawaii,510,2739,1441553,1441553,35.37851192429276,35.38,35.37851192429276,35.37851192429276,35.4
3,%null%,%null%,True,True,Louisiana,Louisiana,1692,6246,4624047,4624047,36.59132357434948,36.59,36.59132357434948,36.59132357434948,36.6
4,%null%,%null%,True,True,New York,New York,7298,34192,19835913,19835913,36.79185324113894,36.79,36.79185324113894,36.79185324113894,36.8
5,%null%,%null%,True,True,Florida,Florida,8060,35114,21781128,21781128,37.00451142842556,37.00,37.00451142842556,37.00451142842556,37.0
6,%null%,%null%,True,True,Maryland,Maryland,2462,11551,6165129,6165129,39.93428199150415,39.93,39.93428199150415,39.93428199150415,39.9
7,%null%,%null%,True,True,Rhode Island,Rhode Island,439,1806,1095610,1095610,40.069002656054614,40.07,40.069002656054614,40.069002656054614,40.1
8,%null%,%null%,True,True,Texas,Texas,12330,52987,29527941,29527941,41.757059864079245,41.76,41.757059864079245,41.757059864079245,41.8
9,%null%,%null%,True,True,North Carolina,North Carolina,4409,18004,10551162,10551162,41.78686669771538,41.79,41.78686669771538,41.78686669771538,41.8
10,%null%,%null%,True,True,California,California,16492,78396,39237836,39237836,42.03086021359587,42.03,42.03086021359587,42.03086021359587,42.0
11,%null%,%null%,True,True,Georgia,Georgia,4573,19877,10799566,10799566,42.344294205896794,42.34,42.344294205896794,42.344294205896794,42.3
12,%null%,%null%,True,True,South Carolina,South Carolina,2199,8798,5190705,5190705,42.36418752366008,42.36,42.36418752366008,42.36418752366008,42.4
13,%null%,%null%,True,True,Illinois,Illinois,5476,24017,12671469,12671469,43.2151947023664,43.22,43.2151947023664,43.2151947023664,43.2
14,%null%,%null%,True,True,Massachusetts,Massachusetts,3040,13008,6984723,6984723,43.52355848614182,43.52,43.52355848614182,43.52355848614182,43.5
15,%null%,%null%,True,True,Connecticut,Connecticut,1595,6776,3605597,3605597,44.2367796511923,44.24,44.2367796511923,44.2367796511923,44.2
16,%null%,%null%,True,True,Delaware,Delaware,449,1898,1003384,1003384,44.74857083628999,44.75,44.74857083628999,44.74857083628999,44.7
17,%null%,%null%,True,True,Pennsylvania,Pennsylvania,5815,23312,12964056,12964056,44.85478927273995,44.85,44.85478927273995,44.85478927273995,44.9
