,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Rhode Island,Rhode Island,67,318,187776,187776,35.68081117927744,35.7,35.68081117927744,35.68081117927744,35.7
1,%null%,%null%,True,True,Hawaii,Hawaii,61,242,160134,160134,38.09309703123634,38.1,38.09309703123634,38.09309703123634,38.1
2,%null%,%null%,True,True,New Jersey,New Jersey,850,3937,1991638,1991638,42.67843855158417,42.7,42.67843855158417,42.67843855158417,42.7
3,%null%,%null%,True,True,Florida,Florida,2526,11363,5830908,5830908,43.32086872233278,43.3,43.32086872233278,43.32086872233278,43.3
4,%null%,%null%,True,True,California,California,6940,31891,15754605,15754605,44.05061250345533,44.1,44.05061250345533,44.05061250345533,44.1
5,%null%,%null%,True,True,New York,New York,1748,7583,3868268,3868268,45.18818241135309,45.2,45.18818241135309,45.18818241135309,45.2
6,%null%,%null%,True,True,Texas,Texas,5420,23743,11857401,11857401,45.70984822053332,45.7,45.70984822053332,45.70984822053332,45.7
7,%null%,%null%,True,True,Nevada,Nevada,434,1834,940757,940757,46.13306092859261,46.1,46.13306092859261,46.13306092859261,46.1
8,%null%,%null%,True,True,Louisiana,Louisiana,121,506,258338,258338,46.83786357407737,46.8,46.83786357407737,46.83786357407737,46.8
9,%null%,%null%,True,True,Idaho,Idaho,121,514,251919,251919,48.03131165176109,48.0,48.03131165176109,48.03131165176109,48.0
10,%null%,%null%,True,True,South Carolina,South Carolina,160,735,330096,330096,48.47074790364015,48.5,48.47074790364015,48.47074790364015,48.5
11,%null%,%null%,True,True,North Carolina,North Carolina,527,2277,1078224,1078224,48.87667126682396,48.9,48.87667126682396,48.87667126682396,48.9
12,%null%,%null%,True,True,Maryland,Maryland,338,1390,684437,684437,49.38365401052252,49.4,49.38365401052252,49.38365401052252,49.4
13,%null%,%null%,True,True,Georgia,Georgia,548,2445,1104836,1104836,49.60012164701368,49.6,49.60012164701368,49.60012164701368,49.6
14,%null%,%null%,True,True,Connecticut,Connecticut,323,1285,637112,637112,50.69752257059983,50.7,50.69752257059983,50.69752257059983,50.7
15,%null%,%null%,True,True,Illinois,Illinois,1174,5277,2282133,2282133,51.44310169477415,51.4,51.44310169477415,51.44310169477415,51.4
16,%null%,%null%,True,True,New Mexico,New Mexico,563,1943,1059242,1059242,53.151215680647105,53.2,53.151215680647105,53.151215680647105,53.2
17,%null%,%null%,True,True,Arizona,Arizona,1276,5354,2351122,2351122,54.27196036615709,54.3,54.27196036615709,54.27196036615709,54.3
18,%null%,%null%,True,True,Iowa,Iowa,120,526,215119,215119,55.78307820322705,55.8,55.78307820322705,55.78307820322705,55.8
19,%null%,%null%,True,True,Virginia,Virginia,495,2150,882402,882402,56.09688101341565,56.1,56.09688101341565,56.09688101341565,56.1
20,%null%,%null%,True,True,Pennsylvania,Pennsylvania,612,2186,1084634,1084634,56.424563493307424,56.4,56.424563493307424,56.424563493307424,56.4
21,%null%,%null%,True,True,Washington,Washington,601,2171,1059156,1059156,56.74329371688401,56.7,56.74329371688401,56.74329371688401,56.7
22,%null%,%null%,True,True,Oklahoma,Oklahoma,266,887,467249,467249,56.92896078964321,56.9,56.92896078964321,56.92896078964321,56.9
23,%null%,%null%,True,True,Mississippi,Mississippi,61,205,102936,102936,59.26012279474626,59.3,59.26012279474626,59.26012279474626,59.3
24,%null%,%null%,True,True,Wisconsin,Wisconsin,269,1108,442517,442517,60.788625069771335,60.8,60.788625069771335,60.788625069771335,60.8
25,%null%,%null%,True,True,Tennessee,Tennessee,260,859,425839,425839,61.0559389816339,61.1,61.0559389816339,61.0559389816339,61.1
26,%null%,%null%,True,True,Massachusetts,Massachusetts,551,1948,897349,897349,61.403088430476885,61.4,61.403088430476885,61.403088430476885,61.4
27,%null%,%null%,True,True,Colorado,Colorado,848,2992,1293214,1293214,65.57306060713849,65.6,65.57306060713849,65.57306060713849,65.6
28,%null%,%null%,True,True,Kansas,Kansas,246,868,374093,374093,65.75904922038103,65.8,65.75904922038103,65.75904922038103,65.8
29,%null%,%null%,True,True,Delaware,Delaware,67,318,101213,101213,66.1970300257872,66.2,66.1970300257872,66.1970300257872,66.2
30,%null%,%null%,True,True,Ohio,Ohio,344,1266,508643,508643,67.63093171438514,67.6,67.63093171438514,67.63093171438514,67.6
31,%null%,%null%,True,True,Utah,Utah,334,1272,493636,493636,67.66119164728666,67.7,67.66119164728666,67.66119164728666,67.7
32,%null%,%null%,True,True,Indiana,Indiana,361,1438,522944,522944,69.03224819483539,69.0,69.03224819483539,69.03224819483539,69.0
33,%null%,%null%,True,True,Oregon,Oregon,414,1364,596517,596517,69.40288374011135,69.4,69.40288374011135,69.40288374011135,69.4
34,%null%,%null%,True,True,Arkansas,Arkansas,177,756,251277,251277,70.44019150180875,70.4,70.44019150180875,70.44019150180875,70.4
35,%null%,%null%,True,True,District of Columbia,District of Columbia,55,178,76919,76919,71.50378970085414,71.5,71.50378970085414,71.50378970085414,71.5
36,%null%,%null%,True,True,Nebraska,Nebraska,170,576,235669,235669,72.13507079845037,72.1,72.13507079845037,72.13507079845037,72.1
37,%null%,%null%,True,True,Minnesota,Minnesota,245,836,333474,333474,73.4689960836527,73.5,73.4689960836527,73.4689960836527,73.5
38,%null%,%null%,True,True,Wyoming,Wyoming,45,143,61087,61087,73.66542799613666,73.7,73.66542799613666,73.66542799613666,73.7
39,%null%,%null%,True,True,Kentucky,Kentucky,140,476,187984,187984,74.47442335517916,74.5,74.47442335517916,74.47442335517916,74.5
40,%null%,%null%,True,True,Alabama,Alabama,183,797,241168,241168,75.88071385921847,75.9,75.88071385921847,75.88071385921847,75.9
41,%null%,%null%,True,True,Michigan,Michigan,431,1393,561587,561587,76.74679079109737,76.7,76.74679079109737,76.74679079109737,76.7
42,%null%,%null%,True,True,South Dakota,South Dakota,32,97,41288,41288,77.50435962022863,77.5,77.50435962022863,77.50435962022863,77.5
43,%null%,%null%,True,True,New Hampshire,New Hampshire,51,174,60873,60873,83.78098664432507,83.8,83.78098664432507,83.78098664432507,83.8
44,%null%,%null%,True,True,North Dakota,North Dakota,29,73,34335,34335,84.46191932430465,84.5,84.46191932430465,84.46191932430465,84.5
45,%null%,%null%,True,True,Missouri,Missouri,244,769,287125,287125,84.98040922942968,85.0,84.98040922942968,84.98040922942968,85.0
46,%null%,%null%,True,True,Maine,Maine,29,102,27037,27037,107.26042090468616,107.3,107.26042090468616,107.26042090468616,107.3
47,%null%,%null%,True,True,West Virginia,West Virginia,39,95,33684,33684,115.78197363733523,115.8,115.78197363733523,115.78197363733523,115.8
48,%null%,%null%,True,True,Alaska,Alaska,64,290,54732,54732,116.9334210333991,116.9,116.9334210333991,116.9334210333991,116.9
49,%null%,%null%,True,True,Montana,Montana,57,115,48014,48014,118.71537468238431,118.7,118.71537468238431,118.71537468238431,118.7
50,%null%,%null%,True,True,Vermont,Vermont,24,64,14384,14384,166.85205784204672,166.9,166.85205784204672,166.85205784204672,166.9
