,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,165,530,291001,291001,56.7008360796011,56.7,56.7008360796011,56.7008360796011,56.7
1,%null%,%null%,True,True,Oklahoma,Oklahoma,370,869,235733,235733,156.95723551645293,157.0,156.95723551645293,156.95723551645293,157.0
2,%null%,%null%,True,True,Alaska,Alaska,89,278,52262,52262,170.29581722857907,170.3,170.29581722857907,170.29581722857907,170.3
3,%null%,%null%,True,True,Rhode Island,Rhode Island,43,177,24311,24311,176.87466578914893,176.9,176.87466578914893,176.87466578914893,176.9
4,%null%,%null%,True,True,Washington,Washington,674,1769,342530,342530,196.77108574431435,196.8,196.77108574431435,196.77108574431435,196.8
5,%null%,%null%,True,True,Virginia,Virginia,499,1636,250775,250775,198.9831522280929,199.0,198.9831522280929,198.9831522280929,199.0
6,%null%,%null%,True,True,Maryland,Maryland,329,1091,161497,161497,203.71895453166312,203.7,203.71895453166312,203.71895453166312,203.7
7,%null%,%null%,True,True,Minnesota,Minnesota,286,792,139747,139747,204.6555561121169,204.7,204.6555561121169,204.6555561121169,204.7
8,%null%,%null%,True,True,Michigan,Michigan,499,1424,243379,243379,205.03001491500908,205.0,205.03001491500908,205.03001491500908,205.0
9,%null%,%null%,True,True,California,California,2603,8472,1170491,1170491,222.385306678992,222.4,222.385306678992,222.385306678992,222.4
10,%null%,%null%,True,True,North Carolina,North Carolina,504,1520,225732,225732,223.27361650098348,223.3,223.27361650098348,223.27361650098348,223.3
11,%null%,%null%,True,True,New Hampshire,New Hampshire,53,157,22716,22716,233.3157245994013,233.3,233.3157245994013,233.3157245994013,233.3
12,%null%,%null%,True,True,Nevada,Nevada,278,796,118795,118795,234.01658318952818,234.0,234.01658318952818,234.01658318952818,234.0
13,%null%,%null%,True,True,Missouri,Missouri,337,797,143689,143689,234.53430673190016,234.5,234.53430673190016,234.53430673190016,234.5
14,%null%,%null%,True,True,West Virginia,West Virginia,79,188,33519,33519,235.6872221724992,235.7,235.6872221724992,235.6872221724992,235.7
15,%null%,%null%,True,True,Ohio,Ohio,648,1718,274463,274463,236.09739746341037,236.1,236.09739746341037,236.09739746341037,236.1
16,%null%,%null%,True,True,Nebraska,Nebraska,96,282,40407,40407,237.58259707476427,237.6,237.58259707476427,237.58259707476427,237.6
17,%null%,%null%,True,True,New York,New York,910,2775,378698,378698,240.29701767635424,240.3,240.29701767635424,240.29701767635424,240.3
18,%null%,%null%,True,True,Kentucky,Kentucky,218,580,90573,90573,240.68983030262882,240.7,240.68983030262882,240.68983030262882,240.7
19,%null%,%null%,True,True,North Dakota,North Dakota,41,98,16837,16837,243.51131436716753,243.5,243.51131436716753,243.51131436716753,243.5
20,%null%,%null%,True,True,Massachusetts,Massachusetts,335,966,137083,137083,244.3774939270369,244.4,244.3774939270369,244.3774939270369,244.4
21,%null%,%null%,True,True,Tennessee,Tennessee,329,843,134263,134263,245.04144850033146,245.0,245.04144850033146,245.04144850033146,245.0
22,%null%,%null%,True,True,Louisiana,Louisiana,185,526,74216,74216,249.27239409291798,249.3,249.27239409291798,249.27239409291798,249.3
23,%null%,%null%,True,True,Oregon,Oregon,375,870,148706,148706,252.17543340551154,252.2,252.17543340551154,252.17543340551154,252.2
24,%null%,%null%,True,True,Georgia,Georgia,550,1769,217873,217873,252.4406420254001,252.4,252.4406420254001,252.4406420254001,252.4
25,%null%,%null%,True,True,Pennsylvania,Pennsylvania,612,1661,238808,238808,256.2728216810157,256.3,256.2728216810157,256.2728216810157,256.3
26,%null%,%null%,True,True,South Carolina,South Carolina,255,747,98263,98263,259.5076478430335,259.5,259.5076478430335,259.5076478430335,259.5
