,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,2617,9907,4960795,4960795,52.75364130144463,52.8,52.75364130144463,52.75364130144463,52.8
1,%null%,%null%,True,True,Rhode Island,Rhode Island,486,1608,771405,771405,63.00192505882124,63.0,63.00192505882124,63.00192505882124,63.0
2,%null%,%null%,True,True,New York,New York,6867,23278,10858889,10858889,63.23851362694655,63.2,63.23851362694655,63.23851362694655,63.2
3,%null%,%null%,True,True,Maryland,Maryland,2033,6735,3020582,3020582,67.30491011334901,67.3,67.30491011334901,67.30491011334901,67.3
4,%null%,%null%,True,True,Connecticut,Connecticut,1616,5667,2330326,2330326,69.34652061557053,69.3,69.34652061557053,69.34652061557053,69.3
5,%null%,%null%,True,True,Massachusetts,Massachusetts,3395,10805,4894728,4894728,69.36034034986213,69.4,69.36034034986213,69.36034034986213,69.4
6,%null%,%null%,True,True,Florida,Florida,8041,24076,11467951,11467951,70.11714647193732,70.1,70.11714647193732,70.11714647193732,70.1
7,%null%,%null%,True,True,South Dakota,South Dakota,511,1663,723678,723678,70.61151506609292,70.6,70.61151506609292,70.61151506609292,70.6
8,%null%,%null%,True,True,North Dakota,North Dakota,459,1512,644623,644623,71.20440939898204,71.2,71.20440939898204,71.20440939898204,71.2
9,%null%,%null%,True,True,Louisiana,Louisiana,1907,5385,2676273,2676273,71.25580985198445,71.3,71.25580985198445,71.25580985198445,71.3
10,%null%,%null%,True,True,California,California,9897,31857,13815325,13815325,71.6378369672809,71.6,71.6378369672809,71.6378369672809,71.6
11,%null%,%null%,True,True,Illinois,Illinois,5452,17413,7597266,7597266,71.762657777153,71.8,71.762657777153,71.762657777153,71.8
12,%null%,%null%,True,True,Pennsylvania,Pennsylvania,7078,22198,9701126,9701126,72.96060271766392,73.0,72.96060271766392,72.96060271766392,73.0
13,%null%,%null%,True,True,North Carolina,North Carolina,4814,14831,6528578,6528578,73.73734372171091,73.7,73.73734372171091,73.73734372171091,73.7
14,%null%,%null%,True,True,Wisconsin,Wisconsin,3601,11908,4727246,4727246,76.17543068416579,76.2,76.17543068416579,76.17543068416579,76.2
15,%null%,%null%,True,True,Minnesota,Minnesota,3431,10990,4458035,4458035,76.96215933701731,77.0,76.96215933701731,76.96215933701731,77.0
16,%null%,%null%,True,True,Michigan,Michigan,5835,17948,7462582,7462582,78.19009559961954,78.2,78.19009559961954,78.19009559961954,78.2
17,%null%,%null%,True,True,Nebraska,Nebraska,1216,3742,1519341,1519341,80.03469925447942,80.0,80.03469925447942,80.03469925447942,80.0
18,%null%,%null%,True,True,New Hampshire,New Hampshire,1014,2988,1238184,1238184,81.89412882091837,81.9,81.89412882091837,81.89412882091837,81.9
19,%null%,%null%,True,True,Virginia,Virginia,4324,13319,5213717,5213717,82.9350730007018,82.9,82.9350730007018,82.9350730007018,82.9
20,%null%,%null%,True,True,Texas,Texas,9901,28550,11885058,11885058,83.30628256084236,83.3,83.30628256084236,83.30628256084236,83.3
21,%null%,%null%,True,True,Georgia,Georgia,4608,14190,5510193,5510193,83.62683484952342,83.6,83.62683484952342,83.62683484952342,83.6
22,%null%,%null%,True,True,South Carolina,South Carolina,2756,8120,3290272,3290272,83.76207195028253,83.8,83.76207195028253,83.76207195028253,83.8
23,%null%,%null%,True,True,Vermont,Vermont,504,1535,595151,595151,84.68439102009405,84.7,84.68439102009405,84.68439102009405,84.7
24,%null%,%null%,True,True,Nevada,Nevada,1246,3306,1464563,1464563,85.07657232908383,85.1,85.07657232908383,85.07657232908383,85.1
25,%null%,%null%,True,True,Iowa,Iowa,2300,7078,2685614,2685614,85.64149576223538,85.6,85.64149576223538,85.64149576223538,85.6
26,%null%,%null%,True,True,New Mexico,New Mexico,653,1732,759740,759740,85.95045673519888,86.0,85.95045673519888,85.95045673519888,86.0
27,%null%,%null%,True,True,Idaho,Idaho,1330,4071,1541463,1541463,86.28166877829698,86.3,86.28166877829698,86.28166877829698,86.3
28,%null%,%null%,True,True,Ohio,Ohio,7977,23904,9149813,9149813,87.18210962344257,87.2,87.18210962344257,87.18210962344257,87.2
29,%null%,%null%,True,True,Missouri,Missouri,4269,11874,4854359,4854359,87.94157992847254,87.9,87.94157992847254,87.94157992847254,87.9
30,%null%,%null%,True,True,Mississippi,Mississippi,1467,4284,1652517,1652517,88.77367070959028,88.8,88.77367070959028,88.77367070959028,88.8
31,%null%,%null%,True,True,Kansas,Kansas,1958,5872,2192217,2192217,89.31597556263819,89.3,89.31597556263819,89.31597556263819,89.3
32,%null%,%null%,True,True,Montana,Montana,845,2242,943656,943656,89.54534279440814,89.5,89.54534279440814,89.54534279440814,89.5
33,%null%,%null%,True,True,West Virginia,West Virginia,1479,4260,1632071,1632071,90.62105753977615,90.6,90.62105753977615,90.62105753977615,90.6
34,%null%,%null%,True,True,Arizona,Arizona,3513,10760,3872615,3872615,90.71389745688637,90.7,90.71389745688637,90.71389745688637,90.7
35,%null%,%null%,True,True,Kentucky,Kentucky,3475,9748,3765843,3765843,92.27681557622026,92.3,92.27681557622026,92.27681557622026,92.3
36,%null%,%null%,True,True,Delaware,Delaware,562,1769,608053,608053,92.4261536412122,92.4,92.4261536412122,92.4261536412122,92.4
37,%null%,%null%,True,True,Utah,Utah,2394,8369,2577888,2577888,92.86671880236845,92.9,92.86671880236845,92.86671880236845,92.9
38,%null%,%null%,True,True,Washington,Washington,4871,13039,5111255,5111255,95.29949102519831,95.3,95.29949102519831,95.29949102519831,95.3
39,%null%,%null%,True,True,Alabama,Alabama,3121,10041,3269726,3269726,95.45142314677132,95.5,95.45142314677132,95.45142314677132,95.5
40,%null%,%null%,True,True,Wyoming,Wyoming,463,1347,482320,482320,95.99436059047935,96.0,95.99436059047935,95.99436059047935,96.0
41,%null%,%null%,True,True,Tennessee,Tennessee,4948,13273,5097174,5097174,97.073397925988,97.1,97.073397925988,97.073397925988,97.1
42,%null%,%null%,True,True,District of Columbia,District of Columbia,245,806,249751,249751,98.09770531449323,98.1,98.09770531449323,98.09770531449323,98.1
43,%null%,%null%,True,True,Maine,Maine,1280,3493,1269535,1269535,100.82431756509273,100.8,100.82431756509273,100.82431756509273,100.8
44,%null%,%null%,True,True,Colorado,Colorado,3935,11206,3893018,3893018,101.07839213689739,101.1,101.07839213689739,101.07839213689739,101.1
45,%null%,%null%,True,True,Indiana,Indiana,5366,15410,5276416,5276416,101.69781912570956,101.7,101.69781912570956,101.69781912570956,101.7
