,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Louisiana,Louisiana,572,2271,1499002,1499002,38.15872160277304,38.2,38.15872160277304,38.15872160277304,38.2
1,%null%,%null%,True,True,South Carolina,South Carolina,582,2508,1352562,1352562,43.02945077563912,43.0,43.02945077563912,43.02945077563912,43.0
2,%null%,%null%,True,True,Alabama,Alabama,622,2556,1336172,1336172,46.55089314848687,46.6,46.55089314848687,46.55089314848687,46.6
3,%null%,%null%,True,True,Florida,Florida,1651,7253,3386309,3386309,48.755149042807375,48.8,48.755149042807375,48.755149042807375,48.8
4,%null%,%null%,True,True,Arkansas,Arkansas,230,1057,466227,466227,49.33219225827762,49.3,49.33219225827762,49.33219225827762,49.3
5,%null%,%null%,True,True,Tennessee,Tennessee,603,2221,1158262,1158262,52.060760000759764,52.1,52.060760000759764,52.060760000759764,52.1
6,%null%,%null%,True,True,North Carolina,North Carolina,1182,4740,2248971,2248971,52.557369570350176,52.6,52.557369570350176,52.557369570350176,52.6
7,%null%,%null%,True,True,Georgia,Georgia,1832,8279,3451256,3451256,53.08212430489074,53.1,53.08212430489074,53.08212430489074,53.1
8,%null%,%null%,True,True,New York,New York,1600,6925,2857575,2857575,55.99153128089376,56.0,55.99153128089376,55.99153128089376,56.0
9,%null%,%null%,True,True,New Jersey,New Jersey,676,2912,1205848,1205848,56.060133615513735,56.1,56.060133615513735,56.060133615513735,56.1
10,%null%,%null%,True,True,District of Columbia,District of Columbia,168,657,295889,295889,56.77804852495361,56.8,56.77804852495361,56.77804852495361,56.8
11,%null%,%null%,True,True,Mississippi,Mississippi,632,2613,1107951,1107951,57.042233817199495,57.0,57.042233817199495,57.042233817199495,57.0
12,%null%,%null%,True,True,Maryland,Maryland,1127,4709,1862521,1862521,60.50938486062708,60.5,60.50938486062708,60.50938486062708,60.5
13,%null%,%null%,True,True,Illinois,Illinois,1087,4186,1791229,1791229,60.68459141740113,60.7,60.68459141740113,60.68459141740113,60.7
14,%null%,%null%,True,True,Michigan,Michigan,843,3111,1383769,1383769,60.92057272565002,60.9,60.92057272565002,60.92057272565002,60.9
15,%null%,%null%,True,True,Texas,Texas,2263,9094,3630643,3630643,62.33055687380996,62.3,62.33055687380996,62.33055687380996,62.3
16,%null%,%null%,True,True,West Virginia,West Virginia,40,176,64063,64063,62.438537065076574,62.4,62.438537065076574,62.438537065076574,62.4
17,%null%,%null%,True,True,Virginia,Virginia,1045,4125,1657724,1657724,63.038237969649956,63.0,63.038237969649956,63.038237969649956,63.0
