,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Mexico,New Mexico,361,1272,186151,186151,193.9285848585288,194,193.9285848585288,193.9285848585288,193.9
1,%null%,%null%,True,True,Arizona,Arizona,837,3198,279130,279130,299.8602801561996,300,299.8602801561996,299.8602801561996,299.9
2,%null%,%null%,True,True,North Carolina,North Carolina,475,1506,115825,115825,410.1014461472048,410,410.1014461472048,410.1014461472048,410.1
3,%null%,%null%,True,True,Alaska,Alaska,532,1522,109039,109039,487.8988251909867,488,487.8988251909867,487.8988251909867,487.9
4,%null%,%null%,True,True,Montana,Montana,365,866,66192,66192,551.4261542180324,551,551.4261542180324,551.4261542180324,551.4
5,%null%,%null%,True,True,South Dakota,South Dakota,422,990,73258,73258,576.0463021103496,576,576.0463021103496,576.0463021103496,576.0
6,%null%,%null%,True,True,Oklahoma,Oklahoma,2010,4977,339826,339826,591.4791687510667,591,591.4791687510667,591.4791687510667,591.5
7,%null%,%null%,True,True,North Dakota,North Dakota,248,632,40207,40207,616.8080185042405,617,616.8080185042405,616.8080185042405,616.8
8,%null%,%null%,True,True,Louisiana,Louisiana,203,564,30358,30358,668.6870017787734,669,668.6870017787734,668.6870017787734,668.7
9,%null%,%null%,True,True,Nevada,Nevada,181,561,26502,26502,682.9673232208889,683,682.9673232208889,682.9673232208889,683.0
10,%null%,%null%,True,True,Wyoming,Wyoming,83,226,12146,12146,683.352544047423,683,683.352544047423,683.352544047423,683.4
11,%null%,%null%,True,True,Utah,Utah,217,766,31014,31014,699.6840136712453,700,699.6840136712453,699.6840136712453,699.7
12,%null%,%null%,True,True,Mississippi,Mississippi,114,388,14992,14992,760.4055496264674,760,760.4055496264674,760.4055496264674,760.4
13,%null%,%null%,True,True,New Jersey,New Jersey,114,573,14320,14320,796.0893854748604,796,796.0893854748604,796.0893854748604,796.1
14,%null%,%null%,True,True,New York,New York,493,1867,60197,60197,818.9776899181022,819,818.9776899181022,818.9776899181022,819.0
15,%null%,%null%,True,True,Nebraska,Nebraska,143,443,16418,16418,870.995249116823,871,870.995249116823,870.995249116823,871.0
16,%null%,%null%,True,True,Wisconsin,Wisconsin,485,1396,52520,52520,923.4577303884234,923,923.4577303884234,923.4577303884234,923.5
17,%null%,%null%,True,True,Washington,Washington,903,2192,95740,95740,943.1794443283894,943,943.1794443283894,943.1794443283894,943.2
18,%null%,%null%,True,True,California,California,1573,5087,160861,160861,977.8628754017443,978,977.8628754017443,977.8628754017443,977.9
19,%null%,%null%,True,True,Virginia,Virginia,227,748,23140,23140,980.9853068280034,981,980.9853068280034,980.9853068280034,981.0
20,%null%,%null%,True,True,Maryland,Maryland,148,519,14865,14865,995.6273124789774,996,995.6273124789774,995.6273124789774,995.6
21,%null%,%null%,True,True,Texas,Texas,975,3174,96976,96976,1005.4033987790795,"1,005",1005.4033987790795,1005.4033987790795,"1,005.4"
22,%null%,%null%,True,True,Florida,Florida,563,1847,55453,55453,1015.2741961661226,"1,015",1015.2741961661226,1015.2741961661226,"1,015.3"
23,%null%,%null%,True,True,Georgia,Georgia,257,928,24975,24975,1029.029029029029,"1,029",1029.029029029029,1029.029029029029,"1,029.0"
24,%null%,%null%,True,True,South Carolina,South Carolina,201,549,19363,19363,1038.0622837370242,"1,038",1038.0622837370242,1038.0622837370242,"1,038.1"
25,%null%,%null%,True,True,Idaho,Idaho,217,687,20059,20059,1081.8086644399023,"1,082",1081.8086644399023,1081.8086644399023,"1,081.8"
26,%null%,%null%,True,True,Minnesota,Minnesota,686,1631,60687,60687,1130.3903636693196,"1,130",1130.3903636693196,1130.3903636693196,"1,130.4"
27,%null%,%null%,True,True,Alabama,Alabama,320,1167,28165,28165,1136.1619030711875,"1,136",1136.1619030711875,1136.1619030711875,"1,136.2"
28,%null%,%null%,True,True,Oregon,Oregon,537,1325,46873,46873,1145.6488810189235,"1,146",1145.6488810189235,1145.6488810189235,"1,145.6"
29,%null%,%null%,True,True,Michigan,Michigan,668,1942,57651,57651,1158.6962932126069,"1,159",1158.6962932126069,1158.6962932126069,"1,158.7"
30,%null%,%null%,True,True,Rhode Island,Rhode Island,55,136,4633,4633,1187.1357651629614,"1,187",1187.1357651629614,1187.1357651629614,"1,187.1"
31,%null%,%null%,True,True,Connecticut,Connecticut,101,381,8111,8111,1245.2225372950313,"1,245",1245.2225372950313,1245.2225372950313,"1,245.2"
32,%null%,%null%,True,True,Kansas,Kansas,294,867,23301,23301,1261.7484228144715,"1,262",1261.7484228144715,1261.7484228144715,"1,261.7"
33,%null%,%null%,True,True,Arkansas,Arkansas,306,855,23903,23903,1280.174036731791,"1,280",1280.174036731791,1280.174036731791,"1,280.2"
