,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,1019,8981,942292,942292,108.14057638184342,108.1,108.14057638184342,108.14057638184342,108.1
1,%null%,%null%,True,True,Massachusetts,Massachusetts,667,5567,520119,520119,128.23988356510722,128.2,128.23988356510722,128.23988356510722,128.2
2,%null%,%null%,True,True,California,California,8259,62258,6136428,6136428,134.58969941470835,134.6,134.58969941470835,134.58969941470835,134.6
3,%null%,%null%,True,True,New York,New York,2447,18975,1812286,1812286,135.02283855859395,135.0,135.02283855859395,135.02283855859395,135.0
4,%null%,%null%,True,True,Texas,Texas,2156,17110,1584396,1584396,136.07709183815157,136.1,136.07709183815157,136.07709183815157,136.1
5,%null%,%null%,True,True,North Carolina,North Carolina,510,3664,353832,353832,144.13620023061793,144.1,144.13620023061793,144.13620023061793,144.1
6,%null%,%null%,True,True,Illinois,Illinois,1110,8326,756590,756590,146.71090022337066,146.7,146.71090022337066,146.71090022337066,146.7
7,%null%,%null%,True,True,Maryland,Maryland,624,4786,421227,421227,148.1386520807071,148.1,148.1386520807071,148.1386520807071,148.1
8,%null%,%null%,True,True,Pennsylvania,Pennsylvania,774,5613,503783,503783,153.63757808421482,153.6,153.63757808421482,153.63757808421482,153.6
9,%null%,%null%,True,True,Virginia,Virginia,950,7048,614516,614516,154.59320831353455,154.6,154.59320831353455,154.59320831353455,154.6
10,%null%,%null%,True,True,Georgia,Georgia,764,5870,490433,490433,155.7807080681765,155.8,155.7807080681765,155.7807080681765,155.8
11,%null%,%null%,True,True,Ohio,Ohio,502,3661,313413,313413,160.17204136395108,160.2,160.17204136395108,160.17204136395108,160.2
12,%null%,%null%,True,True,Nevada,Nevada,515,3261,292101,292101,176.3088794629255,176.3,176.3088794629255,176.3088794629255,176.3
13,%null%,%null%,True,True,Tennessee,Tennessee,257,1707,139839,139839,183.78277876701065,183.8,183.78277876701065,183.78277876701065,183.8
14,%null%,%null%,True,True,Michigan,Michigan,631,4356,341843,341843,184.58766158733687,184.6,184.58766158733687,184.58766158733687,184.6
15,%null%,%null%,True,True,Washington,Washington,1503,8991,813284,813284,184.80629152915833,184.8,184.80629152915833,184.80629152915833,184.8
16,%null%,%null%,True,True,Rhode Island,Rhode Island,74,468,39360,39360,188.00813008130083,188.0,188.00813008130083,188.00813008130083,188.0
17,%null%,%null%,True,True,Louisiana,Louisiana,162,1072,85860,85860,188.67924528301887,188.7,188.67924528301887,188.67924528301887,188.7
18,%null%,%null%,True,True,South Carolina,South Carolina,189,1263,100149,100149,188.7188089746278,188.7,188.7188089746278,188.7188089746278,188.7
19,%null%,%null%,True,True,New Hampshire,New Hampshire,82,567,42740,42740,191.8577445016378,191.9,191.8577445016378,191.8577445016378,191.9
20,%null%,%null%,True,True,Florida,Florida,1248,8375,650132,650132,191.961017147287,192.0,191.961017147287,191.961017147287,192.0
21,%null%,%null%,True,True,Missouri,Missouri,285,1808,144420,144420,197.34108849189863,197.3,197.34108849189863,197.34108849189863,197.3
22,%null%,%null%,True,True,Hawaii,Hawaii,1304,7211,651433,651433,200.17407776394504,200.2,200.17407776394504,200.17407776394504,200.2
23,%null%,%null%,True,True,Wisconsin,Wisconsin,378,2527,185474,185474,203.80215016660017,203.8,203.80215016660017,203.80215016660017,203.8
24,%null%,%null%,True,True,Connecticut,Connecticut,367,2510,179054,179054,204.96609961240742,205.0,204.96609961240742,204.96609961240742,205.0
25,%null%,%null%,True,True,Minnesota,Minnesota,658,3925,305845,305845,215.14165672154198,215.1,215.14165672154198,215.14165672154198,215.1
26,%null%,%null%,True,True,Kansas,Kansas,217,1380,94576,94576,229.44510235154797,229.4,229.44510235154797,229.44510235154797,229.4
27,%null%,%null%,True,True,Oregon,Oregon,510,2709,221414,221414,230.33773835439493,230.3,230.33773835439493,230.33773835439493,230.3
28,%null%,%null%,True,True,Mississippi,Mississippi,80,599,33735,33735,237.14243367422557,237.1,237.14243367422557,237.14243367422557,237.1
29,%null%,%null%,True,True,Iowa,Iowa,218,1278,91780,91780,237.52451514491173,237.5,237.52451514491173,237.52451514491173,237.5
30,%null%,%null%,True,True,Oklahoma,Oklahoma,249,1357,102892,102892,242.00132177428762,242.0,242.00132177428762,242.00132177428762,242.0
31,%null%,%null%,True,True,Kentucky,Kentucky,201,1297,78406,78406,256.35793179093434,256.4,256.35793179093434,256.35793179093434,256.4
32,%null%,%null%,True,True,Nebraska,Nebraska,139,749,54128,54128,256.7986993792492,256.8,256.7986993792492,256.7986993792492,256.8
33,%null%,%null%,True,True,North Dakota,North Dakota,35,256,13076,13076,267.66595289079225,267.7,267.66595289079225,267.66595289079225,267.7
34,%null%,%null%,True,True,Delaware,Delaware,113,974,41957,41957,269.32335486331243,269.3,269.32335486331243,269.32335486331243,269.3
35,%null%,%null%,True,True,Utah,Utah,344,1952,119717,119717,287.3443203555051,287.3,287.3443203555051,287.3443203555051,287.3
36,%null%,%null%,True,True,Arizona,Arizona,805,4738,270631,270631,297.4529894949211,297.5,297.4529894949211,297.4529894949211,297.5
37,%null%,%null%,True,True,New Mexico,New Mexico,107,638,35760,35760,299.21700223713646,299.2,299.21700223713646,299.21700223713646,299.2
38,%null%,%null%,True,True,South Dakota,South Dakota,48,317,15358,15358,312.54069540304727,312.5,312.54069540304727,312.54069540304727,312.5
