,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Louisiana,Louisiana,1648,7481,1499002,1499002,109.93981328910834,109.9,109.93981328910834,109.93981328910834,109.9
1,%null%,%null%,True,True,South Carolina,South Carolina,1741,8283,1352562,1352562,128.7186835058208,128.7,128.7186835058208,128.7186835058208,128.7
2,%null%,%null%,True,True,Alabama,Alabama,1749,8299,1336172,1336172,130.89632173103465,130.9,130.89632173103465,130.89632173103465,130.9
3,%null%,%null%,True,True,Mississippi,Mississippi,1488,6761,1107951,1107951,134.3019682278368,134.3,134.3019682278368,134.3019682278368,134.3
4,%null%,%null%,True,True,Florida,Florida,4778,22787,3386309,3386309,141.0975785139513,141.1,141.0975785139513,141.0975785139513,141.1
5,%null%,%null%,True,True,Arkansas,Arkansas,685,3177,466227,466227,146.9241378126964,146.9,146.9241378126964,146.9241378126964,146.9
6,%null%,%null%,True,True,North Carolina,North Carolina,3455,15313,2248971,2248971,153.62581376104893,153.6,153.62581376104893,153.62581376104893,153.6
7,%null%,%null%,True,True,Tennessee,Tennessee,1863,7234,1158262,1158262,160.8444376142876,160.8,160.8444376142876,160.8444376142876,160.8
8,%null%,%null%,True,True,Georgia,Georgia,5575,25924,3451256,3451256,161.53539465052722,161.5,161.53539465052722,161.53539465052722,161.5
9,%null%,%null%,True,True,New Jersey,New Jersey,2057,9451,1205848,1205848,170.58534740697004,170.6,170.58534740697004,170.58534740697004,170.6
10,%null%,%null%,True,True,New York,New York,4957,22188,2857575,2857575,173.468762849619,173.5,173.468762849619,173.468762849619,173.5
11,%null%,%null%,True,True,Maryland,Maryland,3364,15313,1862521,1862521,180.61541319534115,180.6,180.61541319534115,180.61541319534115,180.6
12,%null%,%null%,True,True,Illinois,Illinois,3236,13360,1791229,1791229,180.65808447719417,180.7,180.65808447719417,180.65808447719417,180.7
13,%null%,%null%,True,True,Virginia,Virginia,3054,13334,1657724,1657724,184.22849642039327,184.2,184.22849642039327,184.22849642039327,184.2
14,%null%,%null%,True,True,Texas,Texas,6742,29171,3630643,3630643,185.69713408892034,185.7,185.69713408892034,185.69713408892034,185.7
15,%null%,%null%,True,True,Michigan,Michigan,2584,10141,1383769,1383769,186.7363700155156,186.7,186.7363700155156,186.7363700155156,186.7
16,%null%,%null%,True,True,District of Columbia,District of Columbia,562,2180,295889,295889,189.93609089895196,189.9,189.93609089895196,189.93609089895196,189.9
17,%null%,%null%,True,True,Pennsylvania,Pennsylvania,2767,11044,1416684,1416684,195.31525731920456,195.3,195.31525731920456,195.31525731920456,195.3
18,%null%,%null%,True,True,Ohio,Ohio,2991,11739,1510741,1510741,197.98231463897517,198.0,197.98231463897517,197.98231463897517,198.0
19,%null%,%null%,True,True,Wisconsin,Wisconsin,767,2939,378263,378263,202.76897291038247,202.8,202.76897291038247,202.76897291038247,202.8
20,%null%,%null%,True,True,Massachusetts,Massachusetts,1070,4558,522609,522609,204.74197727172702,204.7,204.74197727172702,204.74197727172702,204.7
21,%null%,%null%,True,True,Kentucky,Kentucky,781,2972,377275,377275,207.01080113975215,207.0,207.01080113975215,207.01080113975215,207.0
22,%null%,%null%,True,True,Connecticut,Connecticut,809,3641,382977,382977,211.2398394681665,211.2,211.2398394681665,211.2398394681665,211.2
23,%null%,%null%,True,True,Missouri,Missouri,1503,5528,711459,711459,211.25602459171927,211.3,211.25602459171927,211.25602459171927,211.3
24,%null%,%null%,True,True,Indiana,Indiana,1442,5626,667291,667291,216.09762457458592,216.1,216.09762457458592,216.09762457458592,216.1
25,%null%,%null%,True,True,Delaware,Delaware,488,2086,223935,223935,217.9203786813138,217.9,217.9203786813138,217.9203786813138,217.9
26,%null%,%null%,True,True,Rhode Island,Rhode Island,149,593,68125,68125,218.71559633027522,218.7,218.71559633027522,218.71559633027522,218.7
27,%null%,%null%,True,True,Nevada,Nevada,678,2738,301273,301273,225.04505880048993,225.0,225.04505880048993,225.04505880048993,225.0
28,%null%,%null%,True,True,West Virginia,West Virginia,156,618,64063,64063,243.51029455379862,243.5,243.51029455379862,243.51029455379862,243.5
29,%null%,%null%,True,True,California,California,5370,21364,2200126,2200126,244.07693013945567,244.1,244.07693013945567,244.07693013945567,244.1
30,%null%,%null%,True,True,Oklahoma,Oklahoma,723,2548,296154,296154,244.12974330922424,244.1,244.12974330922424,244.12974330922424,244.1
31,%null%,%null%,True,True,New Hampshire,New Hampshire,53,267,21519,21519,246.2939727682513,246.3,246.2939727682513,246.2939727682513,246.3
32,%null%,%null%,True,True,Minnesota,Minnesota,1032,4229,409602,409602,251.95189476613882,252.0,251.95189476613882,251.95189476613882,252.0
33,%null%,%null%,True,True,Iowa,Iowa,352,1369,131303,131303,268.082222036054,268.1,268.082222036054,268.082222036054,268.1
34,%null%,%null%,True,True,North Dakota,North Dakota,72,276,25870,25870,278.3146501739467,278.3,278.3146501739467,278.3146501739467,278.3
35,%null%,%null%,True,True,Kansas,Kansas,480,1778,168790,168790,284.37703655429823,284.4,284.37703655429823,284.37703655429823,284.4
36,%null%,%null%,True,True,South Dakota,South Dakota,60,275,20987,20987,285.891266021823,285.9,285.891266021823,285.891266021823,285.9
37,%null%,%null%,True,True,Washington,Washington,988,3534,316727,316727,311.9405671130027,311.9,311.9405671130027,311.9405671130027,311.9
38,%null%,%null%,True,True,Nebraska,Nebraska,306,1023,97729,97729,313.1107450193904,313.1,313.1107450193904,313.1107450193904,313.1
39,%null%,%null%,True,True,Arizona,Arizona,1065,4253,339424,339424,313.7668520788159,313.8,313.7668520788159,313.7668520788159,313.8
40,%null%,%null%,True,True,New Mexico,New Mexico,134,501,41152,41152,325.6220839813375,325.6,325.6220839813375,325.6220839813375,325.6
