,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,210,952,160134,160134,131.14017010753494,131.1,131.14017010753494,131.14017010753494,131.1
1,%null%,%null%,True,True,Rhode Island,Rhode Island,274,1216,187776,187776,145.91854124062712,145.9,145.91854124062712,145.91854124062712,145.9
2,%null%,%null%,True,True,Florida,Florida,8888,42332,5830908,5830908,152.42908994619705,152.4,152.42908994619705,152.42908994619705,152.4
3,%null%,%null%,True,True,New York,New York,6278,28069,3868268,3868268,162.29485650942487,162.3,162.29485650942487,162.29485650942487,162.3
4,%null%,%null%,True,True,New Jersey,New Jersey,3249,15241,1991638,1991638,163.13205512246705,163.1,163.13205512246705,163.13205512246705,163.1
5,%null%,%null%,True,True,California,California,26152,123981,15754605,15754605,165.99591040206974,166.0,165.99591040206974,165.99591040206974,166.0
6,%null%,%null%,True,True,Texas,Texas,20158,89883,11857401,11857401,170.00352775452225,170.0,170.00352775452225,170.00352775452225,170.0
7,%null%,%null%,True,True,Maryland,Maryland,1202,5693,684437,684437,175.61879325635522,175.6,175.61879325635522,175.61879325635522,175.6
8,%null%,%null%,True,True,Nevada,Nevada,1678,7079,940757,940757,178.36699594050322,178.4,178.36699594050322,178.36699594050322,178.4
9,%null%,%null%,True,True,Georgia,Georgia,2016,9583,1104836,1104836,182.47052051164155,182.5,182.47052051164155,182.47052051164155,182.5
10,%null%,%null%,True,True,North Carolina,North Carolina,2000,8786,1078224,1078224,185.4902135363338,185.5,185.4902135363338,185.4902135363338,185.5
11,%null%,%null%,True,True,Louisiana,Louisiana,497,1846,258338,258338,192.38362145716079,192.4,192.38362145716079,192.38362145716079,192.4
12,%null%,%null%,True,True,New Mexico,New Mexico,2039,7040,1059242,1059242,192.49614346863135,192.5,192.49614346863135,192.49614346863135,192.5
13,%null%,%null%,True,True,Illinois,Illinois,4446,20547,2282133,2282133,194.81774287475795,194.8,194.81774287475795,194.81774287475795,194.8
14,%null%,%null%,True,True,South Carolina,South Carolina,649,2738,330096,330096,196.60947118414038,196.6,196.60947118414038,196.60947118414038,196.6
15,%null%,%null%,True,True,Arizona,Arizona,4773,19199,2351122,2351122,203.00945676149516,203.0,203.00945676149516,203.00945676149516,203.0
16,%null%,%null%,True,True,Mississippi,Mississippi,211,826,102936,102936,204.98173622445015,205.0,204.98173622445015,204.98173622445015,205.0
17,%null%,%null%,True,True,Virginia,Virginia,1835,8346,882402,882402,207.9551043628641,208.0,207.9551043628641,207.9551043628641,208.0
18,%null%,%null%,True,True,Oklahoma,Oklahoma,973,3458,467249,467249,208.2401460463265,208.2,208.2401460463265,208.2401460463265,208.2
19,%null%,%null%,True,True,Connecticut,Connecticut,1355,5346,637112,637112,212.67846155777949,212.7,212.67846155777949,212.67846155777949,212.7
20,%null%,%null%,True,True,Idaho,Idaho,541,2079,251919,251919,214.7515669719235,214.8,214.7515669719235,214.7515669719235,214.8
21,%null%,%null%,True,True,Pennsylvania,Pennsylvania,2341,8427,1084634,1084634,215.83317506181808,215.8,215.83317506181808,215.83317506181808,215.8
22,%null%,%null%,True,True,Washington,Washington,2336,8587,1059156,1059156,220.55296859008496,220.6,220.55296859008496,220.55296859008496,220.6
23,%null%,%null%,True,True,Tennessee,Tennessee,962,3452,425839,425839,225.90697423204546,225.9,225.90697423204546,225.90697423204546,225.9
24,%null%,%null%,True,True,Massachusetts,Massachusetts,2030,7562,897349,897349,226.22190474386218,226.2,226.22190474386218,226.22190474386218,226.2
25,%null%,%null%,True,True,Nebraska,Nebraska,563,2103,235669,235669,238.89438152663269,238.9,238.89438152663269,238.89438152663269,238.9
26,%null%,%null%,True,True,Kansas,Kansas,897,3357,374093,374093,239.77994776699913,239.8,239.77994776699913,239.77994776699913,239.8
27,%null%,%null%,True,True,Delaware,Delaware,243,1113,101213,101213,240.08773576516853,240.1,240.08773576516853,240.08773576516853,240.1
28,%null%,%null%,True,True,Wisconsin,Wisconsin,1081,4267,442517,442517,244.284400373319,244.3,244.284400373319,244.284400373319,244.3
29,%null%,%null%,True,True,Utah,Utah,1209,4978,493636,493636,244.91730748972927,244.9,244.91730748972927,244.91730748972927,244.9
30,%null%,%null%,True,True,Arkansas,Arkansas,631,2636,251277,251277,251.1172928680301,251.1,251.1172928680301,251.1172928680301,251.1
31,%null%,%null%,True,True,District of Columbia,District of Columbia,194,783,76919,76919,252.21336730846735,252.2,252.21336730846735,252.21336730846735,252.2
32,%null%,%null%,True,True,Indiana,Indiana,1329,5386,522944,522944,254.13811039040507,254.1,254.13811039040507,254.13811039040507,254.1
33,%null%,%null%,True,True,Oregon,Oregon,1516,5156,596517,596517,254.14196074881355,254.1,254.14196074881355,254.14196074881355,254.1
34,%null%,%null%,True,True,Colorado,Colorado,3344,11740,1293214,1293214,258.5805597526782,258.6,258.5805597526782,258.5805597526782,258.6
35,%null%,%null%,True,True,Alabama,Alabama,636,2820,241168,241168,263.7165793140052,263.7,263.7165793140052,263.7165793140052,263.7
36,%null%,%null%,True,True,Kentucky,Kentucky,500,1891,187984,187984,265.98008341135414,266.0,265.98008341135414,265.98008341135414,266.0
37,%null%,%null%,True,True,Iowa,Iowa,600,2221,215119,215119,278.91539101613523,278.9,278.91539101613523,278.91539101613523,278.9
38,%null%,%null%,True,True,Michigan,Michigan,1575,5334,561587,561587,280.45520996746717,280.5,280.45520996746717,280.45520996746717,280.5
