,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,531,1999,291001,291001,182.47359974707993,182,182.47359974707993,182.47359974707993,182.5
1,%null%,%null%,True,True,Oklahoma,Oklahoma,1331,3184,235733,235733,564.6218391145915,565,564.6218391145915,564.6218391145915,564.6
2,%null%,%null%,True,True,Alaska,Alaska,311,920,52262,52262,595.0786422257089,595,595.0786422257089,595.0786422257089,595.1
3,%null%,%null%,True,True,Rhode Island,Rhode Island,171,588,24311,24311,703.385298835918,703,703.385298835918,703.385298835918,703.4
4,%null%,%null%,True,True,Maryland,Maryland,1174,4110,161497,161497,726.9484882072113,727,726.9484882072113,726.9484882072113,726.9
5,%null%,%null%,True,True,Washington,Washington,2491,7015,342530,342530,727.2355706069542,727,727.2355706069542,727.2355706069542,727.2
6,%null%,%null%,True,True,Michigan,Michigan,1851,5267,243379,243379,760.5421996145928,761,760.5421996145928,760.5421996145928,760.5
7,%null%,%null%,True,True,Virginia,Virginia,1919,6514,250775,250775,765.2277938390988,765,765.2277938390988,765.2277938390988,765.2
8,%null%,%null%,True,True,North Dakota,North Dakota,135,365,16837,16837,801.8055473065273,802,801.8055473065273,801.8055473065273,801.8
9,%null%,%null%,True,True,California,California,9389,32565,1170491,1170491,802.1420070722457,802,802.1420070722457,802.1420070722457,802.1
10,%null%,%null%,True,True,South Dakota,South Dakota,168,410,20807,20807,807.4205796126303,807,807.4205796126303,807.4205796126303,807.4
11,%null%,%null%,True,True,Minnesota,Minnesota,1145,3281,139747,139747,819.3378033159923,819,819.3378033159923,819.3378033159923,819.3
12,%null%,%null%,True,True,Missouri,Missouri,1181,3101,143689,143689,821.9139948082316,822,821.9139948082316,821.9139948082316,821.9
13,%null%,%null%,True,True,West Virginia,West Virginia,278,740,33519,33519,829.3803514424654,829,829.3803514424654,829.3803514424654,829.4
14,%null%,%null%,True,True,North Carolina,North Carolina,1876,5814,225732,225732,831.074016975883,831,831.074016975883,831.074016975883,831.1
15,%null%,%null%,True,True,Montana,Montana,240,529,28810,28810,833.0440819160013,833,833.0440819160013,833.0440819160013,833.0
16,%null%,%null%,True,True,Ohio,Ohio,2288,6338,274463,274463,833.62784783377,834,833.62784783377,833.62784783377,833.6
17,%null%,%null%,True,True,New York,New York,3187,10494,378698,378698,841.5676871808143,842,841.5676871808143,841.5676871808143,841.6
18,%null%,%null%,True,True,Louisiana,Louisiana,631,1738,74216,74216,850.2209766088175,850,850.2209766088175,850.2209766088175,850.2
19,%null%,%null%,True,True,Pennsylvania,Pennsylvania,2048,6082,238808,238808,857.592710461961,858,857.592710461961,857.592710461961,857.6
20,%null%,%null%,True,True,Massachusetts,Massachusetts,1206,3785,137083,137083,879.7589781373329,880,879.7589781373329,879.7589781373329,879.8
21,%null%,%null%,True,True,Nevada,Nevada,1049,3134,118795,118795,883.0337977187592,883,883.0337977187592,883.0337977187592,883.0
22,%null%,%null%,True,True,Oregon,Oregon,1333,3345,148706,148706,896.3996072787917,896,896.3996072787917,896.3996072787917,896.4
23,%null%,%null%,True,True,Mississippi,Mississippi,340,972,37834,37834,898.6625786329756,899,898.6625786329756,898.6625786329756,898.7
24,%null%,%null%,True,True,Tennessee,Tennessee,1210,3124,134263,134263,901.2162695604895,901,901.2162695604895,901.2162695604895,901.2
25,%null%,%null%,True,True,New Jersey,New Jersey,1393,5049,152237,152237,915.0206585784007,915,915.0206585784007,915.0206585784007,915.0
26,%null%,%null%,True,True,Georgia,Georgia,2005,6553,217873,217873,920.2608859289587,920,920.2608859289587,920.2608859289587,920.3
27,%null%,%null%,True,True,Utah,Utah,702,2084,76033,76033,923.2833111938238,923,923.2833111938238,923.2833111938238,923.3
28,%null%,%null%,True,True,Kansas,Kansas,759,1962,81605,81605,930.0900680105386,930,930.0900680105386,930.0900680105386,930.1
29,%null%,%null%,True,True,Alabama,Alabama,802,2393,86070,86070,931.7996979202974,932,931.7996979202974,931.7996979202974,931.8
30,%null%,%null%,True,True,South Carolina,South Carolina,922,2674,98263,98263,938.29824043638,938,938.29824043638,938.29824043638,938.3
31,%null%,%null%,True,True,Delaware,Delaware,237,806,25193,25193,940.7375064502044,941,940.7375064502044,940.7375064502044,940.7
32,%null%,%null%,True,True,Illinois,Illinois,2124,6662,224432,224432,946.3891067227489,946,946.3891067227489,946.3891067227489,946.4
33,%null%,%null%,True,True,District of Columbia,District of Columbia,156,477,16480,16480,946.6019417475728,947,946.6019417475728,946.6019417475728,946.6
34,%null%,%null%,True,True,Kentucky,Kentucky,858,2218,90573,90573,947.3021761452089,947,947.3021761452089,947.3021761452089,947.3
35,%null%,%null%,True,True,Florida,Florida,3761,12111,390375,390375,963.4325968619916,963,963.4325968619916,963.4325968619916,963.4
36,%null%,%null%,True,True,Vermont,Vermont,119,304,12316,12316,966.222799610263,966,966.222799610263,966.222799610263,966.2
37,%null%,%null%,True,True,Arkansas,Arkansas,626,1592,63545,63545,985.1286489889055,985,985.1286489889055,985.1286489889055,985.1
38,%null%,%null%,True,True,Nebraska,Nebraska,402,1164,40407,40407,994.8771252505754,995,994.8771252505754,994.8771252505754,994.9
39,%null%,%null%,True,True,Wisconsin,Wisconsin,1126,3007,109888,109888,1024.6796738497378,"1,025",1024.6796738497378,1024.6796738497378,"1,024.7"
40,%null%,%null%,True,True,Idaho,Idaho,422,1120,41056,41056,1027.8643803585346,"1,028",1027.8643803585346,1027.8643803585346,"1,027.9"
41,%null%,%null%,True,True,Indiana,Indiana,1458,4065,139946,139946,1041.8304203049747,"1,042",1041.8304203049747,1041.8304203049747,"1,041.8"
42,%null%,%null%,True,True,Iowa,Iowa,621,1630,59427,59427,1044.9795547478418,"1,045",1044.9795547478418,1044.9795547478418,"1,045.0"
43,%null%,%null%,True,True,Connecticut,Connecticut,721,2468,68017,68017,1060.0291103694665,"1,060",1060.0291103694665,1060.0291103694665,"1,060.0"
44,%null%,%null%,True,True,Maine,Maine,258,614,24338,24338,1060.070671378092,"1,060",1060.070671378092,1060.070671378092,"1,060.1"
45,%null%,%null%,True,True,New Hampshire,New Hampshire,251,626,22716,22716,1104.9480542349004,"1,105",1104.9480542349004,1104.9480542349004,"1,104.9"
46,%null%,%null%,True,True,Texas,Texas,5393,17609,473467,473467,1139.0445374228827,"1,139",1139.0445374228827,1139.0445374228827,"1,139.0"
47,%null%,%null%,True,True,Wyoming,Wyoming,126,329,11050,11050,1140.2714932126696,"1,140",1140.2714932126696,1140.2714932126696,"1,140.3"
48,%null%,%null%,True,True,Arizona,Arizona,1872,5540,163394,163394,1145.6969044150949,"1,146",1145.6969044150949,1145.6969044150949,"1,145.7"
49,%null%,%null%,True,True,Colorado,Colorado,1821,5155,144152,144152,1263.2499028802931,"1,263",1263.2499028802931,1263.2499028802931,"1,263.2"
50,%null%,%null%,True,True,New Mexico,New Mexico,475,1280,33832,33832,1403.996216599669,"1,404",1403.996216599669,1403.996216599669,"1,404.0"
