,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,9156,36050,4960795,4960795,184.5671913473546,184.6,184.5671913473546,184.5671913473546,184.6
1,%null%,%null%,True,True,New York,New York,23976,83326,10858889,10858889,220.79606854808077,220.8,220.79606854808077,220.79606854808077,220.8
2,%null%,%null%,True,True,Rhode Island,Rhode Island,1766,5966,771405,771405,228.93292109851504,228.9,228.93292109851504,228.93292109851504,228.9
3,%null%,%null%,True,True,Florida,Florida,27833,86309,11467951,11467951,242.7024670754174,242.7,242.7024670754174,242.7024670754174,242.7
4,%null%,%null%,True,True,Massachusetts,Massachusetts,11886,41092,4894728,4894728,242.8326967300328,242.8,242.8326967300328,242.8326967300328,242.8
5,%null%,%null%,True,True,Louisiana,Louisiana,6572,19221,2676273,2676273,245.56538140914623,245.6,245.56538140914623,245.56538140914623,245.6
6,%null%,%null%,True,True,Maryland,Maryland,7482,25684,3020582,3020582,247.70060869064307,247.7,247.70060869064307,247.70060869064307,247.7
7,%null%,%null%,True,True,Connecticut,Connecticut,5843,21151,2330326,2330326,250.7374504683036,250.7,250.7374504683036,250.7374504683036,250.7
8,%null%,%null%,True,True,California,California,35278,116060,13815325,13815325,255.3541085714596,255.4,255.3541085714596,255.3541085714596,255.4
9,%null%,%null%,True,True,Illinois,Illinois,19460,66004,7597266,7597266,256.1447762918924,256.1,256.1447762918924,256.1447762918924,256.1
10,%null%,%null%,True,True,Pennsylvania,Pennsylvania,25494,83129,9701126,9701126,262.7942364628601,262.8,262.7942364628601,262.7942364628601,262.8
11,%null%,%null%,True,True,North Dakota,North Dakota,1722,5803,644623,644623,267.132882320364,267.1,267.132882320364,267.132882320364,267.1
12,%null%,%null%,True,True,South Dakota,South Dakota,1970,6450,723678,723678,272.22051796517235,272.2,272.22051796517235,272.22051796517235,272.2
13,%null%,%null%,True,True,North Carolina,North Carolina,18104,55984,6528578,6528578,277.30387842498016,277.3,277.30387842498016,277.30387842498016,277.3
14,%null%,%null%,True,True,Wisconsin,Wisconsin,13229,44529,4727246,4727246,279.8458129744041,279.8,279.8458129744041,279.8458129744041,279.8
15,%null%,%null%,True,True,Minnesota,Minnesota,12721,42752,4458035,4458035,285.3499355657818,285.3,285.3499355657818,285.3499355657818,285.3
16,%null%,%null%,True,True,Nevada,Nevada,4194,11969,1464563,1464563,286.3652843885855,286.4,286.3652843885855,286.3652843885855,286.4
17,%null%,%null%,True,True,Michigan,Michigan,21428,68418,7462582,7462582,287.1392233947982,287.1,287.1392233947982,287.1392233947982,287.1
18,%null%,%null%,True,True,Virginia,Virginia,15129,49611,5213717,5213717,290.17685463173393,290.2,290.17685463173393,290.17685463173393,290.2
19,%null%,%null%,True,True,Nebraska,Nebraska,4482,14578,1519341,1519341,294.99631748238215,295.0,294.99631748238215,294.99631748238215,295.0
20,%null%,%null%,True,True,Georgia,Georgia,16255,51904,5510193,5510193,294.9987414233948,295.0,294.9987414233948,294.9987414233948,295.0
21,%null%,%null%,True,True,South Carolina,South Carolina,9767,29247,3290272,3290272,296.84475933904554,296.8,296.84475933904554,296.84475933904554,296.8
