,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,False,False,New Jersey,New Jersey,17937,79551,9267130,9267130,193.55507044791645,193.6,193.55507044791645,193.55507044791645,193.6
1,%null%,%null%,False,False,Louisiana,Louisiana,10047,33652,4624047,4624047,217.27720328102203,217.3,217.27720328102203,217.27720328102203,217.3
2,%null%,%null%,False,False,New York,New York,43879,175701,19835913,19835913,221.20988330610243,221.2,221.20988330610243,221.20988330610243,221.2
3,%null%,%null%,False,False,Florida,Florida,49146,181923,21781128,21781128,225.6356971043924,225.6,225.6356971043924,225.6356971043924,225.6
4,%null%,%null%,False,False,California,California,91598,384812,39237836,39237836,233.44304716498638,233.4,233.44304716498638,233.44304716498638,233.4
5,%null%,%null%,False,False,Maryland,Maryland,14581,58525,6165129,6165129,236.5076221438351,236.5,236.5076221438351,236.5076221438351,236.5
6,%null%,%null%,False,False,Rhode Island,Rhode Island,2610,9453,1095610,1095610,238.22345542665727,238.2,238.22345542665727,238.22345542665727,238.2
7,%null%,%null%,False,False,Hawaii,Hawaii,3470,16005,1441553,1441553,240.71262034763896,240.7,240.71262034763896,240.71262034763896,240.7
8,%null%,%null%,False,False,Texas,Texas,73543,274074,29527941,29527941,249.06240499464556,249.1,249.06240499464556,249.06240499464556,249.1
9,%null%,%null%,False,False,Illinois,Illinois,31940,121155,12671469,12671469,252.0623299476959,252.1,252.0623299476959,252.0623299476959,252.1
10,%null%,%null%,False,False,Massachusetts,Massachusetts,17829,66163,6984723,6984723,255.2570803452048,255.3,255.2570803452048,255.2570803452048,255.3
11,%null%,%null%,False,False,Georgia,Georgia,27927,105224,10799566,10799566,258.593724970059,258.6,258.593724970059,258.593724970059,258.6
12,%null%,%null%,False,False,North Carolina,North Carolina,27308,96238,10551162,10551162,258.81509543688173,258.8,258.81509543688173,258.81509543688173,258.8
13,%null%,%null%,False,False,Connecticut,Connecticut,9642,37391,3605597,3605597,267.41757328952735,267.4,267.41757328952735,267.41757328952735,267.4
14,%null%,%null%,False,False,South Carolina,South Carolina,13895,47063,5190705,5190705,267.690034398025,267.7,267.690034398025,267.690034398025,267.7
15,%null%,%null%,False,False,Mississippi,Mississippi,7912,26022,2949965,2949965,268.20657194237896,268.2,268.20657194237896,268.20657194237896,268.2
16,%null%,%null%,False,False,Pennsylvania,Pennsylvania,35095,120004,12964056,12964056,270.71003087305394,270.7,270.71003087305394,270.71003087305394,270.7
17,%null%,%null%,False,False,New Mexico,New Mexico,5735,18088,2115877,2115877,271.0460012562167,271.0,271.0460012562167,271.0460012562167,271.0
18,%null%,%null%,False,False,Nevada,Nevada,8689,30068,3143991,3143991,276.36847560950395,276.4,276.36847560950395,276.36847560950395,276.4
19,%null%,%null%,False,False,Virginia,Virginia,24132,89698,8642274,8642274,279.2320632278032,279.2,279.2320632278032,279.2320632278032,279.2
20,%null%,%null%,False,False,Michigan,Michigan,30065,100660,10050811,10050811,299.13009009919693,299.1,299.13009009919693,299.13009009919693,299.1
21,%null%,%null%,False,False,Wisconsin,Wisconsin,17646,60602,5895908,5895908,299.2923227431636,299.3,299.2923227431636,299.2923227431636,299.3
22,%null%,%null%,False,False,Alabama,Alabama,15317,54781,5039877,5039877,303.91614715994064,303.9,303.91614715994064,303.91614715994064,303.9
23,%null%,%null%,False,False,District of Columbia,District of Columbia,2037,7741,670050,670050,304.00716364450415,304.0,304.00716364450415,304.00716364450415,304.0
24,%null%,%null%,False,False,Arizona,Arizona,22453,79251,7276316,7276316,308.57648293449597,308.6,308.57648293449597,308.57648293449597,308.6
25,%null%,%null%,False,False,North Dakota,North Dakota,2394,8014,774948,774948,308.9239536072098,308.9,308.9239536072098,308.9239536072098,308.9
26,%null%,%null%,False,False,Minnesota,Minnesota,17804,61488,5707390,5707390,311.946441368121,311.9,311.946441368121,311.946441368121,311.9
27,%null%,%null%,False,False,Nebraska,Nebraska,6219,20794,1963692,1963692,316.6993601847948,316.7,316.6993601847948,316.6993601847948,316.7
