,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,New Hampshire,New Hampshire,14,74,21519,21519,18.91891891891892,18.92,18.91891891891892,18.91891891891892,18.92
1,%,%,True,True,Hawaii,Hawaii,29,150,27691,27691,19.333333333333332,19.33,19.333333333333332,19.333333333333332,19.33
2,%,%,True,True,South Carolina,South Carolina,441,2250,1352562,1352562,19.6,19.60,19.6,19.6,19.60
3,%,%,True,True,Alabama,Alabama,490,2411,1336172,1336172,20.32351721277478,20.32,20.32351721277478,20.32351721277478,20.32
4,%,%,True,True,Louisiana,Louisiana,412,2019,1499002,1499002,20.406141654284298,20.41,20.406141654284298,20.406141654284298,20.41
5,%,%,True,True,Mississippi,Mississippi,359,1736,1107951,1107951,20.67972350230415,20.68,20.67972350230415,20.67972350230415,20.68
6,%,%,True,True,Florida,Florida,1293,6220,3386309,3386309,20.787781350482316,20.79,20.787781350482316,20.787781350482316,20.79
7,%,%,True,True,North Carolina,North Carolina,925,4185,2248971,2248971,22.102747909199522,22.10,22.102747909199522,22.102747909199522,22.10
8,%,%,True,True,New Jersey,New Jersey,558,2513,1205848,1205848,22.204536410664545,22.20,22.204536410664545,22.204536410664545,22.20
9,%,%,True,True,Maryland,Maryland,912,4103,1862521,1862521,22.2276383134292,22.23,22.2276383134292,22.2276383134292,22.23
10,%,%,True,True,Georgia,Georgia,1539,6814,3451256,3451256,22.585852656295863,22.59,22.585852656295863,22.585852656295863,22.59
11,%,%,True,True,North Dakota,North Dakota,16,70,25870,25870,22.857142857142858,22.86,22.857142857142858,22.857142857142858,22.86
12,%,%,True,True,New York,New York,1410,6093,2857575,2857575,23.141309699655345,23.14,23.141309699655345,23.141309699655345,23.14
13,%,%,True,True,Alaska,Alaska,54,233,23681,23681,23.17596566523605,23.18,23.17596566523605,23.17596566523605,23.18
14,%,%,True,True,Arkansas,Arkansas,204,872,466227,466227,23.394495412844037,23.39,23.394495412844037,23.394495412844037,23.39
15,%,%,True,True,Virginia,Virginia,836,3572,1657724,1657724,23.404255319148938,23.40,23.404255319148938,23.404255319148938,23.40
16,%,%,True,True,Connecticut,Connecticut,243,1030,382977,382977,23.59223300970874,23.59,23.59223300970874,23.59223300970874,23.59
17,%,%,True,True,Texas,Texas,1839,7766,3630643,3630643,23.680144218387845,23.68,23.680144218387845,23.680144218387845,23.68
18,%,%,True,True,South Dakota,South Dakota,18,76,20987,20987,23.684210526315788,23.68,23.684210526315788,23.684210526315788,23.68
19,%,%,True,True,Arizona,Arizona,301,1270,339424,339424,23.700787401574804,23.70,23.700787401574804,23.700787401574804,23.70
20,%,%,True,True,Delaware,Delaware,127,531,223935,223935,23.91713747645951,23.92,23.91713747645951,23.91713747645951,23.92
21,%,%,True,True,Illinois,Illinois,844,3486,1791229,1791229,24.211130235226623,24.21,24.211130235226623,24.211130235226623,24.21
22,%,%,True,True,Ohio,Ohio,741,3031,1510741,1510741,24.44737710326625,24.45,24.44737710326625,24.44737710326625,24.45
23,%,%,True,True,Nevada,Nevada,190,754,301273,301273,25.198938992042443,25.20,25.198938992042443,25.198938992042443,25.20
24,%,%,True,True,Rhode Island,Rhode Island,41,162,68125,68125,25.308641975308642,25.31,25.308641975308642,25.308641975308642,25.31
25,%,%,True,True,Pennsylvania,Pennsylvania,734,2891,1416684,1416684,25.389138706329987,25.39,25.389138706329987,25.389138706329987,25.39
26,%,%,True,True,Kentucky,Kentucky,198,767,377275,377275,25.814863102998697,25.81,25.814863102998697,25.814863102998697,25.81
27,%,%,True,True,Iowa,Iowa,86,333,131303,131303,25.825825825825827,25.83,25.825825825825827,25.825825825825827,25.83
28,%,%,True,True,Idaho,Idaho,25,96,14597,14597,26.041666666666668,26.04,26.041666666666668,26.041666666666668,26.04
