,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Delaware,Delaware,67,318,101213,101213,21.069182389937108,21.07,21.069182389937108,21.069182389937108,21.07
1,%,%,True,True,Rhode Island,Rhode Island,67,318,187776,187776,21.069182389937108,21.07,21.069182389937108,21.069182389937108,21.07
2,%,%,True,True,New Jersey,New Jersey,850,3937,1991638,1991638,21.59004318008636,21.59,21.59004318008636,21.59004318008636,21.59
3,%,%,True,True,California,California,6940,31891,15754605,15754605,21.761625536985356,21.76,21.761625536985356,21.761625536985356,21.76
4,%,%,True,True,South Carolina,South Carolina,160,735,330096,330096,21.768707482993197,21.77,21.768707482993197,21.768707482993197,21.77
5,%,%,True,True,Alaska,Alaska,64,290,54732,54732,22.06896551724138,22.07,22.06896551724138,22.06896551724138,22.07
6,%,%,True,True,Florida,Florida,2526,11363,5830908,5830908,22.23004488251342,22.23,22.23004488251342,22.23004488251342,22.23
7,%,%,True,True,Illinois,Illinois,1174,5277,2282133,2282133,22.24748910365738,22.25,22.24748910365738,22.24748910365738,22.25
8,%,%,True,True,Georgia,Georgia,548,2445,1104836,1104836,22.413087934560327,22.41,22.413087934560327,22.413087934560327,22.41
9,%,%,True,True,Iowa,Iowa,120,526,215119,215119,22.813688212927758,22.81,22.813688212927758,22.813688212927758,22.81
10,%,%,True,True,Texas,Texas,5420,23743,11857401,11857401,22.82778081960999,22.83,22.82778081960999,22.82778081960999,22.83
11,%,%,True,True,Alabama,Alabama,183,797,241168,241168,22.961104140526974,22.96,22.961104140526974,22.961104140526974,22.96
12,%,%,True,True,Virginia,Virginia,495,2150,882402,882402,23.02325581395349,23.02,23.02325581395349,23.02325581395349,23.02
13,%,%,True,True,New York,New York,1748,7583,3868268,3868268,23.051562706053012,23.05,23.051562706053012,23.051562706053012,23.05
14,%,%,True,True,North Carolina,North Carolina,527,2277,1078224,1078224,23.144488361879667,23.14,23.144488361879667,23.144488361879667,23.14
15,%,%,True,True,Arkansas,Arkansas,177,756,251277,251277,23.41269841269841,23.41,23.41269841269841,23.41269841269841,23.41
16,%,%,True,True,Idaho,Idaho,121,514,251919,251919,23.540856031128403,23.54,23.540856031128403,23.540856031128403,23.54
17,%,%,True,True,Nevada,Nevada,434,1834,940757,940757,23.66412213740458,23.66,23.66412213740458,23.66412213740458,23.66
18,%,%,True,True,Arizona,Arizona,1276,5354,2351122,2351122,23.83264848711244,23.83,23.83264848711244,23.83264848711244,23.83
19,%,%,True,True,Louisiana,Louisiana,121,506,258338,258338,23.91304347826087,23.91,23.91304347826087,23.91304347826087,23.91
20,%,%,True,True,Wisconsin,Wisconsin,269,1108,442517,442517,24.27797833935018,24.28,24.27797833935018,24.27797833935018,24.28
21,%,%,True,True,Maryland,Maryland,338,1390,684437,684437,24.316546762589926,24.32,24.316546762589926,24.316546762589926,24.32
22,%,%,True,True,Indiana,Indiana,361,1438,522944,522944,25.104311543810848,25.10,25.104311543810848,25.104311543810848,25.10
23,%,%,True,True,Connecticut,Connecticut,323,1285,637112,637112,25.136186770428015,25.14,25.136186770428015,25.136186770428015,25.14
24,%,%,True,True,Hawaii,Hawaii,61,242,160134,160134,25.206611570247933,25.21,25.206611570247933,25.206611570247933,25.21
25,%,%,True,True,Utah,Utah,334,1272,493636,493636,26.257861635220124,26.26,26.257861635220124,26.257861635220124,26.26
26,%,%,True,True,Ohio,Ohio,344,1266,508643,508643,27.17219589257504,27.17,27.17219589257504,27.17219589257504,27.17
27,%,%,True,True,Washington,Washington,601,2171,1059156,1059156,27.683095347766006,27.68,27.683095347766006,27.683095347766006,27.68
28,%,%,True,True,Pennsylvania,Pennsylvania,612,2186,1084634,1084634,27.99634034766697,28.00,27.99634034766697,27.99634034766697,28.00
29,%,%,True,True,Massachusetts,Massachusetts,551,1948,897349,897349,28.28542094455852,28.29,28.28542094455852,28.28542094455852,28.29
30,%,%,True,True,Kansas,Kansas,246,868,374093,374093,28.341013824884794,28.34,28.341013824884794,28.341013824884794,28.34
31,%,%,True,True,Colorado,Colorado,848,2992,1293214,1293214,28.342245989304814,28.34,28.342245989304814,28.342245989304814,28.34
32,%,%,True,True,Maine,Maine,29,102,27037,27037,28.431372549019606,28.43,28.431372549019606,28.431372549019606,28.43
33,%,%,True,True,New Mexico,New Mexico,563,1943,1059242,1059242,28.975810602161605,28.98,28.975810602161605,28.975810602161605,28.98
34,%,%,True,True,Minnesota,Minnesota,245,836,333474,333474,29.30622009569378,29.31,29.30622009569378,29.30622009569378,29.31
35,%,%,True,True,New Hampshire,New Hampshire,51,174,60873,60873,29.310344827586203,29.31,29.310344827586203,29.310344827586203,29.31
36,%,%,True,True,Kentucky,Kentucky,140,476,187984,187984,29.411764705882355,29.41,29.411764705882355,29.411764705882355,29.41
37,%,%,True,True,Nebraska,Nebraska,170,576,235669,235669,29.51388888888889,29.51,29.51388888888889,29.51388888888889,29.51
38,%,%,True,True,Mississippi,Mississippi,61,205,102936,102936,29.756097560975608,29.76,29.756097560975608,29.756097560975608,29.76
39,%,%,True,True,Oklahoma,Oklahoma,266,887,467249,467249,29.988726042841034,29.99,29.988726042841034,29.988726042841034,29.99
40,%,%,True,True,Tennessee,Tennessee,260,859,425839,425839,30.267753201396975,30.27,30.267753201396975,30.267753201396975,30.27
41,%,%,True,True,Oregon,Oregon,414,1364,596517,596517,30.35190615835777,30.35,30.35190615835777,30.35190615835777,30.35
42,%,%,True,True,District of Columbia,District of Columbia,55,178,76919,76919,30.89887640449438,30.90,30.89887640449438,30.89887640449438,30.90
43,%,%,True,True,Michigan,Michigan,431,1393,561587,561587,30.940416367552046,30.94,30.940416367552046,30.940416367552046,30.94
44,%,%,True,True,Wyoming,Wyoming,45,143,61087,61087,31.46853146853147,31.47,31.46853146853147,31.46853146853147,31.47
