,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(Total Count of Reported Special Populations)-alias,SUM(Total Population)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Rhode Island,Rhode Island,43,177,24311,24311,24.293785310734464,24.29,24.293785310734464,24.293785310734464,24.29
1,%,%,True,True,Delaware,Delaware,68,237,25193,25193,28.691983122362867,28.69,28.691983122362867,28.691983122362867,28.69
2,%,%,True,True,Maryland,Maryland,329,1091,161497,161497,30.155820348304307,30.16,30.155820348304307,30.155820348304307,30.16
3,%,%,True,True,Connecticut,Connecticut,192,631,68017,68017,30.427892234548338,30.43,30.427892234548338,30.427892234548338,30.43
4,%,%,True,True,Virginia,Virginia,499,1636,250775,250775,30.501222493887532,30.50,30.501222493887532,30.501222493887532,30.50
5,%,%,True,True,California,California,2603,8472,1170491,1170491,30.724740321057602,30.72,30.724740321057602,30.724740321057602,30.72
6,%,%,True,True,New Jersey,New Jersey,417,1342,152237,152237,31.07302533532042,31.07,31.07302533532042,31.07302533532042,31.07
7,%,%,True,True,Georgia,Georgia,550,1769,217873,217873,31.091011871113622,31.09,31.091011871113622,31.091011871113622,31.09
8,%,%,True,True,Hawaii,Hawaii,165,530,291001,291001,31.132075471698112,31.13,31.132075471698112,31.132075471698112,31.13
9,%,%,True,True,Florida,Florida,1053,3294,390375,390375,31.967213114754102,31.97,31.967213114754102,31.967213114754102,31.97
10,%,%,True,True,Alaska,Alaska,89,278,52262,52262,32.014388489208635,32.01,32.014388489208635,32.014388489208635,32.01
11,%,%,True,True,Texas,Texas,1501,4682,473467,473467,32.05894916702264,32.06,32.05894916702264,32.05894916702264,32.06
12,%,%,True,True,New York,New York,910,2775,378698,378698,32.79279279279279,32.79,32.79279279279279,32.79279279279279,32.79
13,%,%,True,True,Alabama,Alabama,232,702,86070,86070,33.04843304843305,33.05,33.04843304843305,33.04843304843305,33.05
14,%,%,True,True,North Carolina,North Carolina,504,1520,225732,225732,33.1578947368421,33.16,33.1578947368421,33.1578947368421,33.16
15,%,%,True,True,New Hampshire,New Hampshire,53,157,22716,22716,33.75796178343949,33.76,33.75796178343949,33.75796178343949,33.76
16,%,%,True,True,Nebraska,Nebraska,96,282,40407,40407,34.04255319148936,34.04,34.04255319148936,34.04255319148936,34.04
17,%,%,True,True,South Carolina,South Carolina,255,747,98263,98263,34.13654618473896,34.14,34.13654618473896,34.13654618473896,34.14
18,%,%,True,True,Illinois,Illinois,628,1838,224432,224432,34.16757344940152,34.17,34.16757344940152,34.16757344940152,34.17
19,%,%,True,True,Massachusetts,Massachusetts,335,966,137083,137083,34.679089026915115,34.68,34.679089026915115,34.679089026915115,34.68
20,%,%,True,True,Arizona,Arizona,565,1629,163394,163394,34.683855125844076,34.68,34.683855125844076,34.683855125844076,34.68
21,%,%,True,True,Colorado,Colorado,433,1246,144152,144152,34.75120385232745,34.75,34.75120385232745,34.75120385232745,34.75
22,%,%,True,True,Nevada,Nevada,278,796,118795,118795,34.92462311557789,34.92,34.92462311557789,34.92462311557789,34.92
23,%,%,True,True,Michigan,Michigan,499,1424,243379,243379,35.04213483146067,35.04,35.04213483146067,35.04213483146067,35.04
24,%,%,True,True,Louisiana,Louisiana,185,526,74216,74216,35.17110266159696,35.17,35.17110266159696,35.17110266159696,35.17
25,%,%,True,True,Minnesota,Minnesota,286,792,139747,139747,36.11111111111111,36.11,36.11111111111111,36.11111111111111,36.11
26,%,%,True,True,Wyoming,Wyoming,33,91,11050,11050,36.26373626373626,36.26,36.26373626373626,36.26373626373626,36.26
27,%,%,True,True,Pennsylvania,Pennsylvania,612,1661,238808,238808,36.84527393136665,36.85,36.84527393136665,36.84527393136665,36.85
